,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile
38718,F,Carmelo Anthony,New York Knicks,77,25.6,526,506,0.962,251.0,184,435,42.3,44.9,6.1,13.5,12.7,46.0,2014,iso,,
38719,G,James Harden,Houston Rockets,73,23.5,411,388,0.944,190.0,105,295,35.6,40.8,9.5,20.2,18.7,43.6,2014,iso,,
38720,F,Lebron James,Miami Heat,77,20.7,388,391,1.008,175.0,145,320,45.3,49.8,7.0,14.4,12.9,46.9,2014,iso,,
38721,F,Kevin Durant,Oklahoma City Thunder,81,16.2,372,414,1.113,148.0,132,280,47.1,54.1,9.7,18.3,14.2,50.3,2014,iso,,
38722,G,Stephen Curry,Golden State Warriors,78,17.1,310,294,0.948,152.0,107,259,41.3,46.5,7.7,10.3,8.4,43.2,2014,iso,,
38723,G,Tyreke Evans,New Orleans Pelicans,72,23.0,276,216,0.783,135.0,89,224,39.7,40.6,12.0,9.1,8.3,38.4,2014,iso,,
38724,G,John Wall,Washington Wizards,82,15.2,274,247,0.901,130.0,83,213,39.0,42.5,9.1,17.2,15.7,42.7,2014,iso,,
38725,G,Jamal Crawford,Los Angeles Clippers,69,18.9,241,252,1.046,107.0,83,190,43.7,48.7,6.6,18.7,17.8,48.5,2014,iso,,
38726,G,Kyrie Irving,Cleveland Cavaliers,71,15.5,240,213,0.887,131.0,81,212,38.2,42.5,4.6,8.3,7.5,40.8,2014,iso,,
38727,FG,Paul George,Indiana Pacers,80,13.3,237,222,0.937,119.0,72,191,37.7,42.1,5.9,16.9,12.7,43.0,2014,iso,,
38728,G,JR Smith,New York Knicks,74,20.4,228,164,0.719,125.0,61,186,32.8,34.7,9.2,11.8,10.1,35.5,2014,iso,,
38729,G,DeMar DeRozan,Toronto Raptors,79,12.2,227,192,0.846,111.0,60,171,35.1,36.8,7.5,18.1,17.2,42.7,2014,iso,,
38730,GF,Nick Young,Los Angeles Lakers,64,20.3,223,191,0.857,115.0,66,181,36.5,40.1,8.1,13.0,12.1,40.4,2014,iso,,
38731,G,Jeff Teague,Atlanta Hawks,79,15.4,221,188,0.851,100.0,71,171,41.5,44.4,12.2,12.7,11.3,41.6,2014,iso,,
38732,G,Dion Waiters,Cleveland Cavaliers,70,17.5,218,168,0.771,108.0,71,179,39.7,40.8,11.5,8.7,7.3,38.5,2014,iso,,
38733,G,Joe Johnson,Brooklyn Nets,79,16.6,203,178,0.877,108.0,71,179,39.7,42.7,5.4,7.9,5.9,41.4,2014,iso,,
38734,F,Thaddeus Young,Philadelphia 76ers,79,13.1,203,155,0.764,106.0,62,168,36.9,39.3,10.8,7.4,5.9,36.9,2014,iso,,
38735,G,Damian Lillard,Portland Trail Blazers,82,12.0,201,197,0.98,93.0,59,152,38.8,46.1,9.0,17.9,15.4,44.3,2014,iso,,
38736,GF,Rudy Gay,Sacramento Kings,55,17.2,197,168,0.853,95.0,66,161,41.0,41.6,7.6,12.2,10.7,43.7,2014,iso,,
38737,G,Kevin Martin,Minnesota Timberwolves,68,15.2,193,182,0.943,92.0,60,152,39.5,44.7,8.8,13.5,12.4,43.5,2014,iso,,
38738,F,Josh Smith,Detroit Pistons,77,12.2,190,118,0.621,111.0,49,160,30.6,30.6,8.4,8.9,6.8,32.1,2014,iso,,
38739,G,Michael CarterWilliams,Philadelphia 76ers,70,13.0,190,161,0.847,92.0,52,144,36.1,38.2,8.4,20.0,17.9,42.6,2014,iso,,
38740,G,Ty Lawson,Denver Nuggets,62,16.0,190,179,0.942,80.0,61,141,43.3,46.5,10.5,17.9,14.2,46.8,2014,iso,,
38741,G,Isaiah Thomas,Sacramento Kings,72,12.6,187,183,0.979,83.0,55,138,39.9,45.3,11.2,19.3,12.8,44.4,2014,iso,,
38742,G,Brandon Jennings,Detroit Pistons,80,11.6,172,139,0.808,90.0,40,130,30.8,35.8,8.7,16.3,12.8,38.4,2014,iso,,
38743,G,Goran Dragic,Phoenix Suns,76,11.6,172,168,0.977,86.0,55,141,39.0,48.9,8.7,10.5,9.3,40.7,2014,iso,,
38744,G,Kemba Walker,Charlotte Hornets,73,11.8,172,171,0.994,84.0,58,142,40.8,47.5,5.8,13.4,12.2,44.8,2014,iso,,
38745,G,Rodney Stuckey,Detroit Pistons,73,15.0,164,145,0.884,81.0,53,134,39.6,39.9,7.3,15.2,13.4,43.3,2014,iso,,
38746,G,Monta Ellis,Dallas Mavericks,82,9.4,163,109,0.669,94.0,37,131,28.2,28.6,6.7,14.7,14.1,35.6,2014,iso,,
38747,GF,Arron Afflalo,Orlando Magic,73,12.5,161,166,1.031,68.0,53,121,43.8,47.1,8.1,18.6,15.5,49.7,2014,iso,,
38748,G,Chris Paul,Los Angeles Clippers,62,13.9,160,159,0.994,79.0,49,128,38.3,44.5,5.0,16.3,9.4,45.6,2014,iso,,
38749,G,Russell Westbrook,Oklahoma City Thunder,47,14.7,159,142,0.893,75.0,49,124,39.5,41.9,9.4,14.5,13.8,43.4,2014,iso,,
38750,F,Jeff Green,Boston Celtics,82,10.5,156,130,0.833,76.0,46,122,37.7,39.8,10.9,14.7,12.8,40.4,2014,iso,,
38751,G,Tony Wroten,Philadelphia 76ers,72,13.5,156,110,0.705,74.0,37,111,33.3,35.1,12.2,19.9,18.6,37.8,2014,iso,,
38752,C,DeMarcus Cousins,Sacramento Kings,72,9.0,153,126,0.824,76.0,55,131,42.0,42.0,9.8,10.5,9.8,39.9,2014,iso,,
38753,G,Reggie Jackson,Oklahoma City Thunder,80,12.9,150,132,0.88,75.0,52,127,40.9,44.5,8.7,8.7,8.0,41.3,2014,iso,,
38754,G,Austin Rivers,New Orleans Pelicans,69,23.8,149,129,0.866,66.0,46,112,41.1,42.0,9.4,20.1,19.5,43.0,2014,iso,,
