TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Miami Heat,8,229,26.1,0.98,225,86,187,46.0,52.1,10.5,10.0,11.4,3.1,44.1,73.3
Boston Celtics,9,180,18.6,0.93,167,61,145,42.1,49.7,7.8,12.2,7.2,0.6,40.6,33.3
Sacramento Kings,7,156,18.3,1.03,161,59,126,46.8,52.0,11.5,9.0,7.7,1.3,48.1,86.7
Atlanta Hawks,6,170,24.5,0.9,153,55,138,39.9,44.6,11.2,10.0,8.2,2.4,41.2,26.7
Los Angeles Lakers,9,178,17.5,0.86,153,61,136,44.9,47.8,7.9,16.3,6.2,0.6,41.6,20.0
Phoenix Suns,8,158,18.0,0.96,151,63,132,47.7,50.0,7.0,10.8,5.7,1.3,45.6,66.7
Denver Nuggets,8,140,16.0,1.07,150,59,118,50.0,56.8,6.4,10.0,2.1,0.7,47.9,93.3
Golden State Warriors,10,151,12.9,0.94,142,49,116,42.2,52.6,8.6,15.2,7.3,0.7,39.7,60.0
New York Knicks,8,134,15.5,0.93,125,45,104,43.3,45.7,13.4,11.2,12.7,2.2,44.8,40.0
Philadelphia 76ers,7,119,16.5,0.82,98,36,97,37.1,42.8,6.7,11.8,5.0,0.0,37.0,13.3
Memphis Grizzlies,6,116,16.5,0.78,90,33,92,35.9,40.8,7.8,13.8,6.9,0.9,35.3,6.7
LA Clippers,5,88,15.5,1.0,88,28,63,44.4,51.6,18.2,14.8,17.0,4.5,45.5,80.0
Milwaukee Bucks,5,93,16.1,0.94,87,33,74,44.6,53.4,7.5,15.1,5.4,2.2,40.9,46.7
Cleveland Cavaliers,5,115,22.5,0.74,85,31,85,36.5,40.0,8.7,17.4,7.8,0.0,35.7,0.0
Minnesota Timberwolves,5,69,13.0,1.09,75,27,56,48.2,53.6,13.0,8.7,11.6,2.9,49.3,100.0
Brooklyn Nets,4,50,12.9,0.94,47,18,36,50.0,54.2,16.0,14.0,16.0,2.0,48.0,53.3
