TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Los Angeles Lakers,10,55,4.9,0.89,49,9,15,60.0,70.0,30.9,43.6,5.5,1.8,45.5,100.0
Boston Celtics,11,72,6.1,0.68,49,12,23,52.0,59.0,19.4,50.0,4.2,1.4,33.3,73.3
Phoenix Suns,10,65,6.0,0.68,44,5,17,29.0,38.0,33.8,41.5,3.1,1.5,33.8,66.7
Golden State Warriors,11,84,6.6,0.51,43,6,15,40.0,47.0,23.8,59.5,4.8,1.2,28.6,33.3
New York Knicks,9,57,5.9,0.74,42,8,15,53.0,57.0,29.8,43.9,0.0,0.0,40.4,93.3
Denver Nuggets,10,71,6.5,0.56,40,6,17,35.0,38.0,23.9,52.1,1.4,0.0,31.0,53.3
Miami Heat,9,66,6.7,0.55,36,5,12,42.0,42.0,25.8,56.1,1.5,0.0,31.8,46.7
Atlanta Hawks,6,39,5.6,0.72,28,6,9,67.0,89.0,15.4,61.5,0.0,0.0,30.8,80.0
Memphis Grizzlies,6,35,5.0,0.63,22,3,8,38.0,50.0,22.9,57.1,2.9,2.9,28.6,60.0
Philadelphia 76ers,9,39,4.2,0.51,20,1,6,17.0,25.0,25.6,59.0,5.1,0.0,28.2,40.0
Sacramento Kings,7,41,4.8,0.41,17,2,9,22.0,22.0,24.4,53.7,2.4,0.0,26.8,20.0
Brooklyn Nets,4,18,4.7,0.72,13,2,3,67.0,100.0,27.8,55.6,0.0,0.0,38.9,86.7
Milwaukee Bucks,5,29,5.0,0.45,13,1,6,17.0,17.0,27.6,51.7,0.0,0.0,27.6,26.7
LA Clippers,5,29,5.1,0.41,12,1,6,17.0,17.0,17.2,62.1,0.0,0.0,20.7,13.3
Minnesota Timberwolves,5,24,4.5,0.29,7,1,5,20.0,20.0,16.7,62.5,0.0,0.0,20.8,6.7
Cleveland Cavaliers,5,26,5.1,0.19,5,1,3,33.0,33.0,11.5,76.9,0.0,0.0,15.4,0.0
