TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Miami Heat,11,100,8.4,1.17,117,47,88,53.4,59.1,9.0,6.0,9.0,3.0,53.0,93.3
Phoenix Suns,11,90,7.6,1.03,93,42,78,53.8,54.5,9.0,8.0,9.0,3.0,51.0,53.3
Los Angeles Lakers,13,89,6.2,0.99,88,35,78,44.9,49.4,9.0,7.0,10.0,4.0,44.0,26.7
Denver Nuggets,12,68,5.2,1.21,82,31,59,52.5,61.0,10.0,3.0,10.0,0.0,56.0,100.0
Philadelphia 76ers,11,67,5.9,1.07,72,28,50,56.0,60.0,10.0,15.0,9.0,0.0,52.0,73.3
Boston Celtics,13,67,4.8,1.01,68,28,64,43.8,49.2,4.0,1.0,4.0,1.0,45.0,46.7
Golden State Warriors,13,55,3.6,1.07,59,26,44,59.1,62.5,5.0,16.0,5.0,2.0,51.0,66.7
Atlanta Hawks,6,49,7.1,1.04,51,21,46,45.7,53.3,4.0,2.0,4.0,0.0,45.0,60.0
Milwaukee Bucks,5,41,7.1,1.12,46,19,35,54.3,61.4,5.0,12.0,5.0,2.0,49.0,80.0
Sacramento Kings,7,36,4.2,1.17,42,19,32,59.4,65.6,3.0,8.0,3.0,0.0,53.0,86.7
New York Knicks,11,38,3.2,1.0,38,14,32,43.8,48.4,13.0,3.0,13.0,0.0,50.0,35.7
Memphis Grizzlies,6,34,4.9,1.0,34,12,29,41.4,50.0,9.0,6.0,9.0,0.0,44.0,35.7
Minnesota Timberwolves,5,23,4.3,0.91,21,7,12,58.3,58.3,26.0,22.0,22.0,0.0,52.0,20.0
Cleveland Cavaliers,5,37,7.2,0.49,18,7,29,24.1,25.9,5.0,16.0,5.0,0.0,24.0,0.0
Brooklyn Nets,4,16,4.1,0.81,13,5,13,38.5,42.3,6.0,12.0,6.0,0.0,38.0,13.3
LA Clippers,5,14,2.5,0.79,11,5,11,45.5,50.0,14.0,14.0,14.0,7.0,36.0,6.7
