TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Golden State Warriors,11,107,8.4,0.92,98,35,99,35.4,47.5,3.7,6.5,3.7,2.8,33.6,60.0
Boston Celtics,10,49,4.5,1.04,51,19,42,45.2,56.0,8.2,6.1,8.2,0.0,44.9,73.3
Denver Nuggets,9,47,4.8,0.87,41,14,40,35.0,43.8,10.6,10.6,8.5,6.4,34.0,46.7
Memphis Grizzlies,6,34,4.9,1.06,36,10,24,41.7,52.1,14.7,14.7,14.7,0.0,44.1,80.0
Phoenix Suns,9,26,2.7,1.15,30,12,21,57.1,59.5,11.5,7.7,11.5,0.0,57.7,86.7
Miami Heat,9,35,3.6,0.8,28,10,34,29.4,39.7,2.9,2.9,2.9,2.9,28.6,26.7
Atlanta Hawks,6,20,2.9,1.2,24,9,20,45.0,60.0,0.0,0.0,0.0,0.0,45.0,93.3
LA Clippers,5,19,3.3,1.21,23,9,18,50.0,61.1,5.3,5.3,5.3,5.3,47.4,100.0
Minnesota Timberwolves,5,20,3.8,0.9,18,6,16,37.5,50.0,10.0,15.0,10.0,5.0,35.0,53.3
Brooklyn Nets,4,18,4.7,0.83,15,6,15,40.0,50.0,5.6,11.1,5.6,0.0,33.3,35.7
Sacramento Kings,7,13,1.5,1.0,13,3,9,33.3,44.4,23.1,7.7,23.1,0.0,46.2,66.7
Los Angeles Lakers,10,14,1.2,0.79,11,5,14,35.7,39.3,0.0,0.0,0.0,0.0,35.7,20.0
New York Knicks,9,12,1.2,0.83,10,4,12,33.3,41.7,0.0,0.0,0.0,0.0,33.3,35.7
Philadelphia 76ers,8,11,1.3,0.73,8,3,11,27.3,36.4,0.0,0.0,0.0,0.0,27.3,13.3
Milwaukee Bucks,5,10,1.7,0.7,7,3,9,33.3,38.9,0.0,10.0,0.0,0.0,30.0,6.7
Cleveland Cavaliers,5,14,2.7,0.5,7,2,12,16.7,20.8,7.1,7.1,7.1,0.0,21.4,0.0
