TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Boston Celtics,11,289,24.4,1.19,344,119,262,45.4,60.5,5.9,4.2,5.9,1.0,46.0,86.7
Los Angeles Lakers,10,250,22.2,1.1,275,99,241,41.1,55.2,2.4,1.6,2.4,0.4,41.6,60.0
Philadelphia 76ers,9,213,22.9,1.24,265,92,197,46.7,63.7,3.8,3.8,3.8,0.0,46.9,100.0
Golden State Warriors,11,251,19.6,0.99,248,88,234,37.6,50.2,3.6,3.6,3.2,0.4,37.8,40.0
Phoenix Suns,10,241,22.1,0.99,238,88,224,39.3,50.4,3.3,4.6,3.3,0.8,39.0,33.3
New York Knicks,9,263,27.1,0.89,235,82,233,35.2,45.9,5.7,6.8,4.9,1.1,35.7,13.3
Miami Heat,9,181,18.4,1.18,214,74,173,42.8,57.8,5.5,0.6,5.5,1.7,44.8,80.0
Denver Nuggets,10,163,15.0,1.13,184,62,150,41.3,56.3,6.1,3.1,5.5,1.2,42.9,66.7
Sacramento Kings,7,166,19.5,0.97,161,58,151,38.4,49.7,4.2,4.8,3.6,0.0,39.2,26.7
Milwaukee Bucks,5,139,24.0,1.13,157,52,129,40.3,56.2,6.5,2.9,6.5,2.2,41.7,73.3
Atlanta Hawks,6,147,21.2,1.03,151,55,137,40.1,52.9,3.4,5.4,3.4,2.0,38.8,46.7
Minnesota Timberwolves,5,150,28.4,0.97,145,48,127,37.8,50.0,8.7,9.3,6.7,2.7,38.0,20.0
Memphis Grizzlies,6,177,25.2,0.76,134,48,166,28.9,39.2,1.7,4.5,1.1,0.0,28.8,0.0
Cleveland Cavaliers,5,107,20.9,1.2,128,44,99,44.4,60.1,7.5,2.8,7.5,2.8,45.8,93.3
LA Clippers,5,117,20.6,1.06,124,45,110,40.9,54.1,2.6,4.3,2.6,0.9,40.2,53.3
Brooklyn Nets,4,118,30.5,0.81,96,33,104,31.7,39.9,5.9,7.6,5.1,1.7,32.2,6.7
