Player,Team,Age,GP,Min,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots
Aaron Gordon,DEN,25,50,1384,26,61,51,21,11,32,65.6,34.4,0,123,66,189
Aaron Holiday,IND,24,66,1176,2,4,97,11,15,26,42.3,57.7,0,85,119,204
Aaron Nesmith,BOS,21,46,669,6,14,24,15,11,26,57.7,42.3,1,84,48,132
Abdel Nader,PHX,27,24,355,1,2,18,4,5,9,44.4,55.6,0,46,30,76
Adam Mokoka,CHI,22,14,56,0,0,4,1,0,1,100.0,0.0,0,3,1,4
Al Horford,OKC,35,28,782,62,140,33,8,8,16,50.0,50.0,0,194,53,247
Al-Farouq Aminu,CHI,30,23,434,17,40,33,6,8,14,42.9,57.1,0,43,49,92
Alec Burks,NYK,29,49,1255,3,6,70,15,15,30,50.0,50.0,0,111,126,237
Aleksej Pokusevski,OKC,19,45,1090,23,57,36,5,5,10,50.0,50.0,0,171,130,301
Alen Smailagic,GSW,20,15,84,11,29,7,0,1,1,0.0,100.0,0,25,6,31
Alex Caruso,LAL,27,58,1216,17,41,129,14,24,38,36.8,63.2,15,85,97,182
Alex Len,WAS,28,64,979,131,303,58,11,7,18,61.1,38.9,0,399,60,459
Alfonzo McKinnie,LAL,28,39,258,3,7,9,4,1,5,80.0,20.0,4,20,24,44
Alize Johnson,BKN,25,18,189,2,5,3,9,7,16,56.3,43.8,1,21,18,39
Amida Brimah,IND,27,5,29,5,11,0,0,0,0,0.0,0.0,0,13,1,14
Amir Coffey,LAC,24,44,395,3,7,17,4,4,8,50.0,50.0,0,27,28,55
Anderson Varejao,CLE,38,5,36,3,7,1,0,1,1,0.0,100.0,0,5,3,8
Andre Drummond,LAL,27,46,1242,130,283,130,29,20,49,59.2,40.8,4,306,100,406
Andre Iguodala,MIA,37,63,1339,16,42,103,11,23,34,32.4,67.6,4,93,131,224
Andre Roberson,BKN,29,5,63,5,14,5,2,0,2,100.0,0.0,0,12,4,16
