TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Cleveland Cavaliers,18,18,33.8,264,507,52.1,55.2,28.1,232,422,55.0,5.7,32,85,37.6
Boston Celtics,18,18,34.9,271,501,54.1,56.4,29.9,248,429,57.8,5.0,23,72,31.9
Golden State Warriors,17,17,34.3,244,484,50.4,52.8,29.5,221,417,53.0,4.7,23,67,34.3
San Antonio Spurs,16,16,30.8,199,383,52.0,55.2,25.0,174,311,55.9,5.8,25,72,34.7
Utah Jazz,11,11,41.2,186,346,53.8,56.4,34.7,168,291,57.7,6.6,18,55,32.7
Houston Rockets,11,11,33.9,162,316,51.3,53.6,29.0,147,271,54.2,4.8,15,45,33.3
Washington Wizards,13,13,30.0,164,300,54.7,56.3,26.4,154,264,58.3,3.6,10,36,27.8
Toronto Raptors,10,10,35.0,132,260,50.8,54.0,29.3,115,218,52.8,5.7,17,42,40.5
LA Clippers,7,7,36.6,96,188,51.1,52.7,31.8,90,163,55.2,4.9,6,25,24.0
Milwaukee Bucks,6,6,40.0,88,165,53.3,54.5,35.1,84,145,57.9,4.8,4,20,20.0
Memphis Grizzlies,6,6,33.0,86,148,58.1,60.5,29.2,79,131,60.3,3.8,7,17,41.2
Oklahoma City Thunder,5,5,36.1,79,137,57.7,60.9,25.3,70,96,72.9,10.8,9,41,22.0
Chicago Bulls,6,6,28.8,74,136,54.4,55.9,23.7,70,112,62.5,5.1,4,24,16.7
Atlanta Hawks,6,6,27.0,68,135,50.4,52.2,25.2,63,126,50.0,1.8,5,9,55.6
Portland Trail Blazers,4,4,36.1,64,119,53.8,58.8,27.3,52,90,57.8,8.8,12,29,41.4
Indiana Pacers,4,4,31.6,54,100,54.0,58.5,25.0,45,79,57.0,6.6,9,21,42.9
