TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
BOS,48,48,35.199999999999996,690,1544,44.7,53.900000000000006,16.1,406,706,57.49999999999999,19.1,284,838,33.900000000000006
NYK,48,48,34.4,655,1499,43.7,53.900000000000006,15.2,348,661,52.6,19.3,307,838,36.6
CLE,48,48,32.1,583,1409,41.4,51.5,11.799999999999999,299,519,57.599999999999994,20.3,284,890,31.900000000000002
IND,48,48,32.7,580,1406,41.3,48.0,17.599999999999998,390,756,51.6,15.1,190,650,29.2
PHI,47,47,32.2,569,1366,41.699999999999996,50.6,14.299999999999999,325,609,53.400000000000006,17.8,244,757,32.2
SAC,50,50,30.9,597,1359,43.9,51.2,17.0,399,746,53.5,13.900000000000002,198,613,32.300000000000004
ATL,50,50,29.799999999999997,593,1358,43.7,53.300000000000004,13.100000000000001,332,599,55.400000000000006,16.6,261,759,34.4
LAL,47,47,34.5,619,1357,45.6,53.400000000000006,17.8,407,698,58.3,16.8,212,659,32.2
PHX,47,47,31.6,605,1324,45.7,54.2,16.1,381,676,56.39999999999999,15.4,224,648,34.599999999999994
MIN,48,48,30.8,589,1313,44.9,53.800000000000004,14.899999999999999,353,634,55.7,15.9,236,679,34.8
WAS,47,47,30.599999999999998,573,1302,44.0,52.5,14.6,351,622,56.39999999999999,16.0,222,680,32.6
UTA,47,47,30.599999999999998,569,1299,43.8,52.800000000000004,13.100000000000001,334,555,60.199999999999996,17.5,235,744,31.6
DAL,47,47,30.5,585,1285,45.5,54.1,15.7,365,660,55.300000000000004,14.799999999999999,220,625,35.199999999999996
GSW,49,49,29.2,567,1276,44.4,54.50000000000001,11.899999999999999,309,520,59.4,17.299999999999997,258,756,34.1
OKC,48,48,29.599999999999998,619,1268,48.8,56.89999999999999,16.1,415,687,60.4,13.600000000000001,204,581,35.099999999999994
POR,49,49,28.7,523,1267,41.3,51.0,10.9,276,481,57.4,17.8,247,786,31.4
DEN,48,48,30.2,593,1257,47.199999999999996,56.8,14.399999999999999,352,601,58.599999999999994,15.7,241,656,36.7
CHA,49,49,28.799999999999997,555,1254,44.3,54.900000000000006,11.3,288,493,58.4,17.5,267,761,35.099999999999994
MIL,45,45,32.4,563,1242,45.300000000000004,55.60000000000001,15.1,307,578,53.1,17.299999999999997,256,664,38.6
SAS,46,46,30.0,559,1228,45.5,55.2,13.200000000000001,322,542,59.4,16.7,237,686,34.5
MEM,46,46,28.7,511,1203,42.5,51.7,12.3,290,517,56.10000000000001,16.400000000000002,221,686,32.2
MIA,46,46,27.400000000000002,514,1187,43.3,52.900000000000006,12.7,285,549,51.9,14.7,229,638,35.9
BKN,45,45,30.4,468,1164,40.2,50.6,10.8,227,415,54.7,19.6,241,749,32.2
NOP,49,49,25.4,499,1134,44.0,51.9,12.7,320,567,56.39999999999999,12.7,179,567,31.6
TOR,49,49,25.6,525,1124,46.7,54.0,14.099999999999998,361,618,58.4,11.5,164,506,32.4
ORL,47,47,26.3,480,1097,43.8,51.5,13.5,309,564,54.800000000000004,12.8,171,533,32.1
HOU,46,46,26.1,511,1088,47.0,54.7,14.299999999999999,342,596,57.4,11.799999999999999,169,492,34.300000000000004
LAC,45,45,28.999999999999996,488,1085,45.0,54.900000000000006,13.100000000000001,272,490,55.50000000000001,15.9,216,595,36.3
CHI,48,48,23.599999999999998,457,1026,44.5,54.400000000000006,9.6,254,419,60.6,14.000000000000002,203,607,33.4
DET,45,45,24.099999999999998,444,972,45.7,53.5,12.9,291,518,56.2,11.3,153,454,33.7
