PLAYER_ID,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
1629650,Moses Brown,DAL,12,5,7,97.0,3,1,2,50.0,1,2,50.0,3,100.0,0,0.0,0,0.0,0,0.0,1,33.300000000000004
1630541,Moses Moody,GSW,50,29,21,992.0,150,35,68,51.5,19,28,67.9,90,60.0,53,35.3,17,11.3,9,6.0,14,9.3
1631243,Mouhamed Gueye,ATL,12,3,9,176.0,10,1,2,50.0,4,4,100.0,6,60.0,5,50.0,2,20.0,0,0.0,2,20.0
1631217,Moussa Diabaté,CHA,49,10,39,931.0,22,7,13,53.800000000000004,2,2,100.0,16,72.7,3,13.600000000000001,0,0.0,4,18.2,1,4.5
1626167,Myles Turner,IND,50,29,21,1539.0,77,15,47,31.900000000000002,15,22,68.2,49,63.6,10,13.0,1,1.3,8,10.4,11,14.299999999999999
1641772,Nae'Qwan Tomlin,CLE,3,3,0,14.0,3,2,3,66.7,0,0,0.0,4,133.29999999999998,0,0.0,0,0.0,0,0.0,0,0.0
1630230,Naji Marshall,DAL,47,25,22,1171.0,301,90,162,55.60000000000001,43,48,89.60000000000001,227,75.4,89,29.599999999999998,23,7.6,21,7.000000000000001,24,8.0
1631466,Nate Williams,HOU,8,7,1,44.0,10,5,6,83.3,0,0,0.0,10,100.0,2,20.0,1,10.0,1,10.0,0,0.0
1629675,Naz Reid,MIN,59,31,28,1613.0,265,78,173,45.1,39,46,84.8,200,75.5,51,19.2,18,6.800000000000001,15,5.7,23,8.7
1629674,Neemias Queta,BOS,45,31,14,626.0,16,4,7,57.099999999999994,2,2,100.0,10,62.5,6,37.5,2,12.5,1,6.3,1,6.3
1629651,Nic Claxton,BKN,50,16,34,1344.0,126,35,76,46.1,17,28,60.699999999999996,88,69.8,24,19.0,4,3.2,6,4.8,14,11.1
1630208,Nick Richards,PHX,40,11,29,875.0,18,5,10,50.0,7,10,70.0,17,94.39999999999999,1,5.6000000000000005,0,0.0,2,11.1,5,27.800000000000004
1641733,Nick Smith Jr.,CHA,39,9,30,811.0,210,44,100,44.0,9,10,90.0,99,47.099999999999994,91,43.3,20,9.5,12,5.7,5,2.4
1629638,Nickeil Alexander-Walker,MIN,60,32,28,1516.0,221,42,88,47.699999999999996,20,26,76.9,108,48.9,91,41.199999999999996,19,8.6,20,9.0,13,5.8999999999999995
