PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj,PLAYER_ID,TEAM_ID,FT_AST
AJ Green,MIL,8,2,6,113.0,124,115,6,1,11,15,7,0.048,0.056,1631260,1610612749,0.0
AJ Johnson,MIL,3,1,2,6.0,10,11,0,0,0,0,0,0.0,0.0,1642358,1610612749,0.0
Aaron Gordon,DEN,7,4,3,212.0,206,199,22,1,39,55,25,0.107,0.121,203932,1610612743,2.0
Aaron Holiday,HOU,4,2,2,31.0,41,43,7,0,13,17,7,0.171,0.171,1628988,1610612745,0.0
Aaron Nesmith,IND,6,2,4,136.0,163,130,6,1,10,15,9,0.037,0.055,1630174,1610612754,2.0
Aaron Wiggins,OKC,9,8,1,189.0,157,156,17,2,25,42,20,0.108,0.127,1630598,1610612760,1.0
Adam Flagler,OKC,4,4,0,7.0,8,7,0,0,0,0,0,0.0,0.0,1641745,1610612760,0.0
Adama Sanogo,CHI,2,1,1,9.0,5,7,1,0,0,2,1,0.2,0.2,1641766,1610612741,0.0
Adem Bona,PHI,6,0,6,14.0,12,7,0,0,0,0,0,0.0,0.0,1641737,1610612755,0.0
Ajay Mitchell,OKC,9,8,1,125.0,142,151,18,3,27,46,21,0.127,0.148,1642349,1610612760,0.0
Al Horford,BOS,9,7,2,235.0,249,189,20,2,25,48,21,0.08,0.084,201143,1610612738,0.0
Alec Burks,MIA,5,3,2,91.0,103,90,9,1,7,18,9,0.087,0.087,202692,1610612748,0.0
Alex Caruso,OKC,9,8,1,173.0,268,160,21,4,35,57,26,0.078,0.097,1627936,1610612760,1.0
Alex Ducas,OKC,4,4,0,7.0,3,7,0,0,0,0,0,0.0,0.0,1642505,1610612760,0.0
Alex Len,SAC,7,4,3,61.0,78,62,6,0,14,17,7,0.077,0.09,203458,1610612758,1.0
Alex Reese,OKC,1,1,0,2.0,0,0,0,0,0,0,0,0.0,0.0,1642024,1610612760,
Alexandre Sarr,WAS,7,2,5,175.0,226,165,15,3,32,37,18,0.066,0.08,1642259,1610612764,0.0
Alperen Sengun,HOU,8,5,3,232.0,290,295,35,1,60,89,38,0.121,0.131,1630578,1610612745,2.0
Amen Thompson,HOU,8,5,3,198.0,223,196,16,1,38,42,18,0.072,0.081,1641708,1610612745,1.0
Amir Coffey,LAC,10,6,4,229.0,146,157,6,3,14,15,9,0.041,0.062,1629599,1610612746,0.0
Andre Drummond,PHI,8,1,7,212.0,191,164,4,0,12,9,4,0.021,0.021,203083,1610612755,0.0
Andre Jackson Jr.,MIL,8,2,6,118.0,104,81,12,1,24,34,13,0.115,0.125,1641748,1610612749,0.0
Andrew Nembhard,IND,7,4,3,187.0,264,266,33,1,59,85,38,0.125,0.144,1629614,1610612754,4.0
Andrew Wiggins,GSW,7,5,2,177.0,166,197,13,4,26,35,18,0.078,0.108,203952,1610612744,1.0
Anfernee Simons,POR,10,3,7,332.0,472,575,50,5,99,125,56,0.106,0.119,1629014,1610612757,1.0
Anthony Black,ORL,10,4,6,248.0,388,371,41,5,66,107,51,0.106,0.131,1641710,1610612753,4.0
Anthony Davis,LAL,8,5,3,290.0,392,403,22,3,34,55,26,0.056,0.066,203076,1610612747,1.0
Anthony Edwards,MIN,9,6,3,325.0,391,505,32,8,66,72,39,0.082,0.1,1630162,1610612750,0.0
Anthony Gill,WAS,5,1,4,14.0,14,12,2,0,3,5,2,0.143,0.143,1630264,1610612764,0.0
Antonio Reeves,NOP,5,1,4,29.0,20,22,1,0,2,3,1,0.05,0.05,1641810,1610612740,0.0
Ariel Hukporti,NYK,5,3,2,32.0,36,23,0,1,0,0,1,0.0,0.028,1630574,1610612752,0.0
Austin Reaves,LAL,9,5,4,310.0,487,529,46,9,89,128,65,0.094,0.133,1630559,1610612747,10.0
Ayo Dosunmu,CHI,10,4,6,284.0,405,391,40,10,78,105,53,0.099,0.131,1630245,1610612741,3.0
Bam Adebayo,MIA,8,3,5,266.0,345,339,29,4,41,74,34,0.084,0.099,1628389,1610612748,1.0
Baylor Scheierman,BOS,3,3,0,18.0,15,13,0,1,2,0,1,0.0,0.067,1631248,1610612738,0.0
Ben Sheppard,IND,9,4,5,168.0,202,177,10,3,12,23,14,0.05,0.069,1641767,1610612754,1.0
Ben Simmons,BKN,7,3,4,174.0,403,354,45,2,80,114,49,0.112,0.122,1627732,1610612751,2.0
Bennedict Mathurin,IND,9,4,5,263.0,294,306,17,8,27,43,26,0.058,0.088,1631097,1610612754,1.0
Bilal Coulibaly,WAS,7,2,5,240.0,223,262,18,2,36,46,22,0.081,0.099,1641731,1610612764,2.0
Blake Wesley,SAS,8,3,5,97.0,135,158,16,1,26,40,17,0.119,0.126,1631104,1610612759,0.0
Bobby Portis,MIL,9,2,7,227.0,274,217,8,0,17,21,8,0.029,0.029,1626171,1610612749,0.0
Bogdan Bogdanović,ATL,1,1,0,28.0,18,22,2,0,4,7,3,0.111,0.167,203992,1610612737,1.0
Bones Hyland,LAC,2,1,1,8.0,13,18,0,0,1,0,0,0.0,0.0,1630538,1610612746,0.0
Bradley Beal,PHX,7,6,1,245.0,261,293,27,6,49,80,41,0.103,0.157,203078,1610612756,7.0
Brandin Podziemski,GSW,8,6,2,223.0,365,384,32,6,64,89,44,0.088,0.121,1641764,1610612744,6.0
Brandon Boston Jr.,NOP,7,1,6,179.0,261,246,21,1,28,57,23,0.08,0.088,1630527,1610612740,1.0
Brandon Clarke,MEM,10,6,4,150.0,118,108,6,5,17,18,12,0.051,0.102,1629634,1610612763,1.0
Brandon Ingram,NOP,10,3,7,325.0,455,572,46,10,83,116,59,0.101,0.13,1627742,1610612740,3.0
Brandon Miller,CHA,5,3,2,125.0,171,174,18,3,25,48,22,0.105,0.129,1641706,1610612766,1.0
Brandon Williams,DAL,3,3,0,13.0,20,23,2,0,3,8,3,0.1,0.15,1630314,1610612742,0.0
Brice Sensabaugh,UTA,8,1,7,103.0,74,93,4,0,14,11,5,0.054,0.068,1641729,1610612762,1.0
Bronny James,LAL,5,3,2,14.0,14,15,2,0,1,5,2,0.143,0.143,1642355,1610612747,0.0
Brook Lopez,MIL,9,2,7,277.0,213,220,13,2,28,40,17,0.061,0.08,201572,1610612749,2.0
Bruno Fernando,TOR,7,1,6,52.0,67,60,7,0,6,16,7,0.104,0.104,1628981,1610612761,0.0
Buddy Hield,GSW,9,7,2,228.0,275,313,19,4,35,47,24,0.069,0.087,1627741,1610612744,1.0
CJ McCollum,NOP,4,2,2,137.0,189,224,16,0,26,43,18,0.085,0.095,203468,1610612740,2.0
Cade Cunningham,DET,10,4,6,361.0,639,727,82,9,140,223,105,0.128,0.164,1630595,1610612765,14.0
Caleb Houstan,ORL,6,2,4,33.0,22,20,0,0,2,0,0,0.0,0.0,1631216,1610612753,0.0
Caleb Martin,PHI,8,1,7,264.0,308,296,24,2,42,63,30,0.078,0.097,1628997,1610612755,4.0
Cam Reddish,LAL,4,1,3,77.0,54,39,4,1,4,10,5,0.074,0.093,1629629,1610612747,0.0
Cam Thomas,BKN,10,4,6,346.0,366,531,32,9,62,83,43,0.087,0.117,1630560,1610612751,2.0
Cam Whitmore,HOU,6,4,2,53.0,30,53,3,0,5,8,3,0.1,0.1,1641715,1610612745,0.0
Cameron Johnson,BKN,10,4,6,340.0,310,332,29,1,45,74,32,0.094,0.103,1629661,1610612751,2.0
Cameron Payne,NYK,5,3,2,77.0,131,134,16,0,17,40,16,0.122,0.122,1626166,1610612752,0.0
Caris LeVert,CLE,9,9,0,210.0,230,246,42,4,63,104,49,0.183,0.213,1627747,1610612739,3.0
Carlton Carrington,WAS,7,2,5,208.0,354,316,37,3,62,88,41,0.105,0.116,1642267,1610612764,3.0
Cason Wallace,OKC,9,8,1,222.0,175,167,13,4,25,32,17,0.074,0.097,1641717,1610612760,0.0
Charles Bassey,SAS,5,3,2,16.0,26,14,1,0,1,2,1,0.038,0.038,1629646,1610612759,0.0
Chet Holmgren,OKC,9,8,1,260.0,321,260,20,2,32,47,24,0.062,0.075,1631096,1610612760,2.0
Chris Boucher,TOR,10,2,8,187.0,146,140,6,0,11,13,7,0.041,0.048,1628449,1610612761,1.0
Chris Duarte,CHI,4,0,4,16.0,15,12,2,0,1,4,2,0.133,0.133,1630537,1610612741,0.0
Chris Paul,SAS,9,3,6,257.0,489,500,72,5,144,193,88,0.147,0.18,101108,1610612759,12.0
Christian Braun,DEN,9,6,3,318.0,255,266,14,5,26,35,19,0.055,0.075,1631128,1610612743,0.0
Christian Koloko,LAL,2,1,1,15.0,19,11,1,0,2,2,1,0.053,0.053,1631132,1610612747,0.0
Clint Capela,ATL,11,4,7,250.0,180,191,12,0,13,30,13,0.067,0.072,203991,1610612737,1.0
Coby White,CHI,10,4,6,332.0,416,512,50,6,97,131,59,0.12,0.142,1629632,1610612741,3.0
Cody Martin,CHA,9,4,5,217.0,222,196,16,2,29,45,21,0.072,0.095,1628998,1610612766,3.0
Cody Williams,UTA,9,2,7,206.0,177,164,12,1,27,31,13,0.068,0.073,1642262,1610612762,0.0
Colby Jones,SAC,4,4,0,8.0,12,8,0,0,3,0,0,0.0,0.0,1641732,1610612758,0.0
Cole Anthony,ORL,8,4,4,93.0,127,139,19,2,39,52,23,0.15,0.181,1630175,1610612753,2.0
Colin Castleton,MEM,4,4,0,7.0,3,1,0,0,0,0,0,0.0,0.0,1630658,1610612763,0.0
