PLAYER,TEAM,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID
A.J. Lawson,TOR,26,486.0,29,93,31.2,29.0,93.0,31.2,46.800000000000004,87,1630639
AJ Green,MIL,73,1659.0,122,276,44.2,121.0,272.0,44.5,66.10000000000001,365,1631260
AJ Johnson,WAS,29,638.0,14,52,26.900000000000002,14.0,51.0,27.500000000000004,40.400000000000006,42,1642358
Aaron Gordon,DEN,51,1447.0,64,133,48.1,54.0,119.0,45.4,68.4,182,203932
Aaron Holiday,HOU,62,792.0,57,137,41.6,57.0,135.0,42.199999999999996,62.4,171,1628988
Aaron Nesmith,IND,45,1122.0,73,162,45.1,72.0,161.0,44.7,67.30000000000001,218,1630174
Aaron Wiggins,OKC,76,1744.0,111,285,38.9,109.0,279.0,39.1,58.099999999999994,331,1630598
Adam Flagler,OKC,37,203.0,9,50,18.0,9.0,50.0,18.0,27.0,27,1641745
Adama Sanogo,CHI,4,21.0,0,0,,,,,,0,1641766
Adem Bona,PHI,58,905.0,0,2,0.0,0.0,1.0,0.0,0.0,0,1641737
Ajay Mitchell,OKC,36,597.0,23,54,42.6,21.0,52.0,40.400000000000006,62.0,67,1642349
Al Horford,BOS,60,1659.0,112,315,35.6,110.0,306.0,35.9,53.0,334,201143
Alec Burks,MIA,49,863.0,70,166,42.199999999999996,70.0,165.0,42.4,63.3,210,202692
Alex Caruso,OKC,54,1041.0,56,149,37.6,55.0,146.0,37.7,56.00000000000001,167,1627936
Alex Ducas,OKC,21,125.0,10,21,47.599999999999994,10.0,20.0,50.0,71.39999999999999,30,1642505
Alex Len,LAL,46,380.0,3,15,20.0,1.0,8.0,12.5,23.3,7,203458
Alex Reese,PHI,15,216.0,16,41,39.0,15.0,40.0,37.5,57.3,47,1642024
Alex Sarr,WAS,67,1814.0,103,342,30.099999999999998,99.0,320.0,30.9,44.6,305,1642259
Alondes Williams,DET,1,4.0,1,1,100.0,1.0,1.0,100.0,150.0,3,1631214
Alperen Sengun,HOU,76,2395.0,66,179,36.9,18.0,71.0,25.4,41.9,150,1630578
Amen Thompson,HOU,69,2225.0,28,95,29.5,23.0,78.0,29.5,41.6,79,1641708
Amir Coffey,LAC,72,1748.0,95,226,42.0,91.0,216.0,42.1,62.2,281,1629599
Andre Drummond,PHI,40,751.0,5,24,20.8,3.0,18.0,16.7,27.1,13,203083
Andre Jackson Jr.,MIL,67,980.0,27,68,39.7,26.0,67.0,38.800000000000004,58.8,80,1641748
Andrew Nembhard,IND,65,1881.0,50,153,32.7,39.0,130.0,30.0,45.4,139,1629614
Andrew Wiggins,MIA,60,1842.0,96,244,39.300000000000004,95.0,241.0,39.4,58.8,287,203952
Anfernee Simons,POR,70,2292.0,117,311,37.6,113.0,300.0,37.7,55.800000000000004,347,1629014
Anthony Black,ORL,78,1887.0,50,146,34.2,48.0,144.0,33.300000000000004,50.7,148,1641710
Anthony Davis,DAL,51,1705.0,65,182,35.699999999999996,30.0,99.0,30.3,44.0,160,203076
Anthony Edwards,MIN,79,2871.0,92,215,42.8,88.0,209.0,42.1,63.3,272,1630162
