Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
A.J. Lawson,TOR,4,1,3,15.0,11,27,14,0.8,1.79,0.85,0.407,0,0,2,0.0,0.0,1.0,1630639,1610612761
AJ Green,MIL,41,23,18,894.0,318,1144,675,34.4,1.8,0.91,0.278,15,0,22,0.4,0.0,0.364,1631260,1610612749
AJ Johnson,MIL,7,4,3,44.0,20,97,40,7.7,4.73,4.54,0.206,0,0,2,0.0,0.0,1.0,1642358,1610612749
Aaron Gordon,DEN,28,18,10,747.0,352,1045,539,53.3,3.06,2.2,0.337,75,60,141,0.267,0.617,1.007,203932,1610612743
Aaron Holiday,HOU,35,22,13,395.0,152,574,257,37.8,3.95,3.86,0.265,1,0,2,0.0,0.0,0.0,1628988,1610612745
Aaron Nesmith,IND,13,8,5,277.0,114,418,237,11.5,1.65,1.02,0.273,3,0,12,1.333,0.0,1.25,1630174,1610612754
Aaron Wiggins,OKC,47,38,9,1001.0,472,1409,760,57.5,2.45,1.85,0.335,24,0,88,0.792,0.0,0.955,1630598,1610612760
Adam Flagler,OKC,16,14,2,72.0,17,115,69,4.8,2.48,1.85,0.148,1,0,2,0.0,0.0,0.0,1641745,1610612760
Adama Sanogo,CHI,4,2,2,21.0,8,21,17,0.5,1.46,0.48,0.381,5,0,12,0.4,0.0,0.5,1641766,1610612741
Adem Bona,PHI,33,9,24,358.0,93,374,217,10.2,1.64,0.48,0.249,20,4,68,0.55,0.5,0.794,1641737,1610612755
Ajay Mitchell,OKC,34,29,5,561.0,218,901,437,62.9,4.19,4.31,0.242,6,0,31,0.833,0.0,0.871,1642349,1610612760
Al Horford,BOS,38,26,12,1001.0,298,1274,747,26.8,1.26,0.33,0.234,28,31,83,0.071,0.548,0.831,201143,1610612738
Alec Burks,MIA,25,14,11,402.0,140,588,278,25.1,2.56,1.87,0.238,1,0,4,0.0,0.0,0.5,202692,1610612748
Alex Caruso,OKC,27,21,6,513.0,146,929,475,36.3,2.34,1.42,0.157,23,0,45,0.609,0.0,0.533,1627936,1610612760
Alex Ducas,OKC,11,11,0,51.0,20,44,32,0.9,1.16,0.43,0.455,2,0,4,0.0,0.0,0.0,1642505,1610612760
Alex Len,SAC,34,18,16,249.0,52,406,276,9.5,1.41,0.53,0.128,45,3,73,0.2,0.0,0.575,203458,1610612758
Alex Reese,OKC,1,1,0,2.0,2,1,1,0.0,0.32,0.0,2.0,0,0,1,0.0,0.0,2.0,1642024,1610612760
Alex Sarr,WAS,41,5,36,1098.0,470,1966,1135,59.6,1.82,0.83,0.239,150,11,180,0.36,0.364,0.728,1642259,1610612764
Alondes Williams,DET,1,0,1,4.0,5,4,1,0.3,4.66,3.75,1.25,0,0,0,0.0,0.0,0.0,1631214,1610612765
Alperen Sengun,HOU,46,32,14,1442.0,880,2861,2052,123.8,2.6,1.35,0.308,233,251,306,0.631,0.502,0.768,1630578,1610612745
Amen Thompson,HOU,46,30,16,1432.0,639,2331,953,130.1,3.35,2.52,0.274,62,1,247,0.597,0.0,0.818,1641708,1610612745
Amir Coffey,LAC,47,28,19,1210.0,464,1250,787,44.5,2.13,1.23,0.371,17,0,28,1.0,0.0,0.786,1629599,1610612746
Andre Drummond,PHI,28,10,18,538.0,198,715,441,19.9,1.67,0.58,0.277,45,29,137,0.4,0.897,0.876,203083,1610612755
Andre Jackson Jr.,MIL,46,25,21,804.0,186,1026,562,28.6,1.67,1.0,0.181,43,0,125,0.326,0.0,0.328,1641748,1610612749
Andrew Nembhard,IND,32,22,10,911.0,348,1857,947,107.4,3.47,3.05,0.187,18,1,28,0.667,0.0,0.571,1629614,1610612754
Andrew Wiggins,GSW,42,21,21,1259.0,730,1952,1288,91.0,2.8,2.1,0.374,30,43,117,1.067,0.628,0.906,203952,1610612744
Anfernee Simons,POR,46,18,28,1483.0,833,2963,1308,225.7,4.57,4.11,0.281,9,0,12,0.222,0.0,0.833,1629014,1610612757
Anthony Black,ORL,47,22,25,1168.0,414,2340,1045,182.3,4.67,4.17,0.177,22,4,35,0.591,1.0,0.571,1641710,1610612753
Anthony Davis,DAL,42,24,18,1439.0,1081,3175,1877,132.6,2.51,1.16,0.34,221,157,320,0.733,0.624,1.144,203076,1610612742
Anthony Edwards,MIN,49,27,22,1798.0,1298,3617,1908,284.5,4.72,4.46,0.359,17,20,41,1.059,0.5,0.683,1630162,1610612750
Anthony Gill,WAS,35,4,31,201.0,64,210,105,6.0,1.72,0.77,0.305,5,1,15,1.0,0.0,0.8,1630264,1610612764
Antonio Reeves,NOP,19,1,18,171.0,83,198,148,8.0,2.43,2.35,0.419,2,0,9,0.0,0.0,1.0,1641810,1610612740
Ariel Hukporti,NYK,18,12,6,130.0,28,163,97,4.6,1.71,0.56,0.172,13,2,24,0.308,0.5,0.833,1630574,1610612752
Armel Traoré,LAL,8,4,4,61.0,12,97,32,2.4,1.51,0.53,0.124,1,1,6,0.0,0.0,0.667,1642422,1610612747
