PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
Rayan Rupert,POR,45,19,26,315.0,4,14,28.599999999999998,1.0,9.0,11.1,32.1,9,1641712,1610612757
Reece Beekman,BKN,31,12,19,340.0,2,14,14.299999999999999,0.0,3.0,0.0,14.299999999999999,4,1641736,1610612751
Reed Sheppard,HOU,46,27,19,548.0,18,65,27.700000000000003,5.0,25.0,20.0,31.5,41,1642263,1610612745
Reggie Jackson,PHI,31,11,20,384.0,13,44,29.5,6.0,19.0,31.6,36.4,32,202704,1610612755
Richaun Holmes,WAS,29,8,21,516.0,0,4,0.0,0.0,1.0,0.0,0.0,0,1626158,1610612764
Ricky Council IV,PHI,66,15,51,1110.0,24,103,23.3,8.0,57.0,14.000000000000002,27.200000000000003,56,1641741,1610612755
Riley Minix,SAS,1,0,1,7.0,0,0,,0.0,0.0,,,0,1642434,1610612759
Rob Dillingham,MIN,45,26,19,506.0,31,82,37.8,14.0,37.0,37.8,46.300000000000004,76,1642265,1610612750
Robert Williams III,POR,20,7,13,351.0,0,2,0.0,0.0,0.0,,0.0,0,1629057,1610612757
Ronald Holland II,DET,75,42,33,1170.0,15,45,33.300000000000004,5.0,22.0,22.7,38.9,35,1641842,1610612765
Royce O'Neale,PHX,69,32,37,1708.0,22,69,31.900000000000002,15.0,50.0,30.0,42.8,59,1626220,1610612756
Rudy Gobert,MIN,65,37,28,2135.0,0,2,0.0,,,,0.0,0,203497,1610612750
Rui Hachimura,LAL,54,33,21,1703.0,17,56,30.4,2.0,6.0,33.300000000000004,32.1,36,1629060,1610612747
Russell Westbrook,DEN,68,40,28,1904.0,43,156,27.6,17.0,59.0,28.799999999999997,33.0,103,201566,1610612743
Ryan Dunn,PHX,67,31,36,1213.0,10,28,35.699999999999996,3.0,12.0,25.0,41.099999999999994,23,1642346,1610612756
Ryan Rollins,MIL,49,23,26,658.0,16,43,37.2,5.0,16.0,31.3,43.0,37,1631157,1610612749
Sam Hauser,BOS,63,46,17,1344.0,37,81,45.7,23.0,62.0,37.1,59.9,97,1630573,1610612738
Sam Merrill,CLE,66,51,15,1288.0,17,56,30.4,16.0,52.0,30.8,44.6,50,1630241,1610612739
Sandro Mamukelashvili,SAS,53,20,33,524.0,7,13,53.800000000000004,4.0,9.0,44.4,69.19999999999999,18,1630572,1610612759
Santi Aldama,MEM,58,35,23,1460.0,28,64,43.8,13.0,29.0,44.800000000000004,53.900000000000006,69,1630583,1610612763
