PLAYER,TEAM,GP,W,L,MIN,Touches,ElbowTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
Stephon Castle,SAS,56,23,33,1406.0,2803,47,11,21,52.400000000000006,8,8,100.0,33,70.19999999999999,21,44.7,8,38.1,1,2.1,4,8.5,1642264,1610612759
Steven Adams,HOU,41,26,15,501.0,785,65,8,16,50.0,1,4,25.0,17,26.200000000000003,43,66.2,9,20.9,4,6.2,2,3.1,203500,1610612745
Svi Mykhailiuk,UTA,22,5,17,446.0,704,6,1,2,50.0,1,2,50.0,4,66.7,2,33.300000000000004,0,0.0,1,16.7,1,16.7,1629004,1610612762
T.J. McConnell,IND,54,32,22,995.0,2825,34,13,19,68.4,0,0,0.0,26,76.5,14,41.199999999999996,3,21.4,1,2.9000000000000004,0,0.0,204456,1610612754
Taj Gibson,CHA,24,7,17,286.0,301,27,7,12,58.3,1,2,50.0,15,55.60000000000001,14,51.9,0,0.0,0,0.0,1,3.6999999999999997,201959,1610612766
Talen Horton-Tucker,CHI,42,14,28,476.0,796,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1629659,1610612741
Tari Eason,HOU,38,23,15,929.0,1277,23,10,14,71.39999999999999,0,0,0.0,20,87.0,8,34.8,2,25.0,1,4.3,0,0.0,1631106,1610612745
Taurean Prince,MIL,56,31,25,1457.0,1688,5,1,2,50.0,0,0,0.0,2,40.0,3,60.0,1,33.300000000000004,0,0.0,0,0.0,1627752,1610612749
Taylor Hendricks,UTA,3,0,3,75.0,74,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641707,1610612762
Tazé Moore,POR,2,0,2,20.0,60,1,0,0,0.0,1,2,50.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,1631386,1610612757
Terance Mann,ATL,43,24,19,834.0,1133,27,9,12,75.0,3,4,75.0,22,81.5,11,40.699999999999996,2,18.2,1,3.6999999999999997,2,7.3999999999999995,1629611,1610612737
Terrence Shannon Jr.,MIN,19,12,7,196.0,212,6,2,3,66.7,0,0,0.0,4,66.7,2,33.300000000000004,1,50.0,1,16.7,0,0.0,1630545,1610612750
Terry Rozier,MIA,49,22,27,1366.0,2506,8,4,5,80.0,0,0,0.0,8,100.0,2,25.0,0,0.0,0,0.0,0,0.0,1626179,1610612748
Thomas Bryant,IND,41,27,14,617.0,916,26,7,13,53.800000000000004,5,6,83.3,19,73.1,9,34.599999999999994,1,11.1,1,3.8,3,11.5,1628418,1610612754
Tidjane Salaün,CHA,43,10,33,832.0,1252,16,3,3,100.0,8,10,80.0,15,93.8,5,31.3,2,40.0,3,18.8,3,18.8,1642275,1610612766
Tim Hardaway Jr.,DET,55,31,24,1563.0,1701,9,5,7,71.39999999999999,0,0,0.0,10,111.1,0,0.0,0,0.0,1,11.1,0,0.0,203501,1610612765
Tobias Harris,DET,57,32,25,1829.0,2585,52,19,28,67.9,10,10,100.0,48,92.30000000000001,16,30.8,5,31.3,2,3.8,5,9.6,202699,1610612765
Torrey Craig,BOS,12,6,6,145.0,201,4,1,1,100.0,0,0,0.0,2,50.0,3,75.0,1,33.300000000000004,0,0.0,0,0.0,1628470,1610612738
Tosan Evbuomwan,BKN,21,7,14,501.0,706,15,5,8,62.5,4,4,100.0,14,93.30000000000001,4,26.700000000000003,0,0.0,1,6.7,2,13.3,1641787,1610612751
Toumani Camara,POR,57,24,33,1847.0,2402,47,10,13,76.9,6,8,75.0,26,55.300000000000004,26,55.300000000000004,6,23.1,4,8.5,4,8.5,1641739,1610612757
Trae Young,ATL,55,25,30,1996.0,5134,24,9,13,69.19999999999999,3,4,75.0,22,91.7,4,16.7,1,25.0,3,12.5,2,8.3,1629027,1610612737
