TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Miami Heat,6,51,7.7,1.25,64,26,47,55.3,62.8,9.8,3.9,9.8,5.9,54.9,100.0
Phoenix Suns,6,60,9.1,0.92,55,25,50,50.0,50.0,10.0,10.0,10.0,3.3,46.7,33.3
Atlanta Hawks,6,49,7.1,1.04,51,21,46,45.7,53.3,4.1,2.0,4.1,0.0,44.9,66.7
Denver Nuggets,6,39,5.9,1.21,47,16,32,50.0,59.4,15.4,2.6,15.4,0.0,56.4,93.3
Milwaukee Bucks,5,41,7.1,1.12,46,19,35,54.3,61.4,4.9,12.2,4.9,2.4,48.8,73.3
Sacramento Kings,7,36,4.2,1.17,42,19,32,59.4,65.6,2.8,8.3,2.8,0.0,52.8,80.0
Boston Celtics,6,36,5.5,1.0,36,14,34,41.2,48.5,5.6,2.8,5.6,2.8,41.7,50.0
Los Angeles Lakers,6,45,6.6,0.78,35,15,40,37.5,38.8,6.7,6.7,6.7,2.2,37.8,6.7
Memphis Grizzlies,6,34,4.9,1.0,34,12,29,41.4,50.0,8.8,5.9,8.8,0.0,44.1,50.0
Golden State Warriors,7,22,2.7,1.0,22,9,15,60.0,63.3,9.1,27.3,9.1,4.5,45.5,50.0
Philadelphia 76ers,4,21,5.0,1.0,21,9,14,64.3,64.3,9.5,23.8,4.8,0.0,52.4,50.0
Minnesota Timberwolves,5,23,4.3,0.91,21,7,12,58.3,58.3,26.1,21.7,21.7,0.0,52.2,26.7
New York Knicks,6,17,2.6,1.18,20,7,14,50.0,60.7,17.6,0.0,17.6,0.0,58.8,86.7
Cleveland Cavaliers,5,37,7.2,0.49,18,7,29,24.1,25.9,5.4,16.2,5.4,0.0,24.3,0.0
Brooklyn Nets,4,16,4.1,0.81,13,5,13,38.5,42.3,6.3,12.5,6.3,0.0,37.5,20.0
LA Clippers,5,14,2.5,0.79,11,5,11,45.5,50.0,14.3,14.3,14.3,7.1,35.7,13.3
