,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%
16716,,James Harden,HOU,17,43.8,220,221,1.0,,68,175,38.9,46.6,9.1,15.0,14.5,42.3,2018,iso,3.6,71.4,,,,,
16717,,LeBron James,CLE,22,30.7,214,211,0.99,,80,181,44.2,47.0,5.1,15.0,13.6,47.2,2018,iso,4.7,61.2,,,,,
16718,,Kevin Durant,GSW,21,26.4,146,147,1.01,,53,120,44.2,47.9,7.5,12.0,8.9,46.6,2018,iso,1.4,73.5,,,,,
16719,,Chris Paul,HOU,15,24.4,75,88,1.17,,34,71,47.9,58.5,2.7,5.0,2.7,48.0,2018,iso,2.7,95.9,,,,,
16720,,Jayson Tatum,BOS,19,20.3,70,63,0.9,,25,60,41.7,46.7,7.1,7.0,7.1,42.9,2018,iso,0.0,51.0,,,,,
16721,,Donovan Mitchell,UTA,11,19.1,56,53,0.95,,20,48,41.7,47.9,8.9,7.0,7.1,41.1,2018,iso,1.8,57.1,,,,,
16722,,Eric Gordon,HOU,17,14.4,39,44,1.13,,15,32,46.9,57.8,12.8,10.0,10.3,43.6,2018,iso,5.1,87.8,,,,,
16723,,Stephen Curry,GSW,15,11.6,42,41,0.98,,16,35,45.7,54.3,14.3,5.0,4.8,40.5,2018,iso,2.4,59.2,,,,,
16724,,John Wall,WAS,6,22.9,40,40,1.0,,16,33,48.5,48.5,5.0,12.0,7.5,52.5,2018,iso,0.0,67.4,,,,,
16725,,Jrue Holiday,NOP,9,15.9,33,38,1.15,,16,28,57.1,60.7,9.1,6.0,6.1,54.5,2018,iso,0.0,93.9,,,,,
16726,,Russell Westbrook,OKC,6,15.2,32,34,1.06,,14,26,53.8,57.7,12.5,6.0,6.3,50.0,2018,iso,0.0,79.2,,,,,
16727,,Marcus Morris Sr.,BOS,19,14.5,39,33,0.85,,10,31,32.3,35.5,2.6,21.0,20.5,43.6,2018,iso,2.6,44.9,,,,,
16728,,Khris Middleton,MIL,7,18.5,25,32,1.28,,14,21,66.7,71.4,12.0,4.0,0.0,60.0,2018,iso,0.0,98.0,,,,,
16729,,Victor Oladipo,IND,7,19.4,33,31,0.94,,12,28,42.9,51.8,3.0,15.0,12.1,42.4,2018,iso,3.0,55.1,,,,,
16730,,Klay Thompson,GSW,21,7.3,28,28,1.0,,13,25,52.0,56.0,10.7,4.0,3.6,46.4,2018,iso,3.6,67.4,,,,,
16731,,Giannis Antetokounmpo,MIL,7,19.8,32,27,0.84,,12,23,52.2,52.2,21.9,12.0,6.3,43.8,2018,iso,6.3,42.9,,,,,
16732,,Terry Rozier,BOS,19,11.8,37,25,0.68,,8,32,25.0,29.7,5.4,8.0,5.4,29.7,2018,iso,0.0,22.4,,,,,
16733,,Marcus Smart,BOS,15,15.7,31,23,0.74,,6,23,26.1,28.3,6.5,19.0,16.1,38.7,2018,iso,0.0,34.7,,,,,
16734,,Jeff Teague,MIN,5,31.9,23,21,0.91,,8,18,44.4,44.4,8.7,22.0,21.7,47.8,2018,iso,8.7,53.1,,,,,
16735,,DeMar DeRozan,TOR,10,11.1,27,21,0.78,,9,24,37.5,39.6,7.4,11.0,7.4,37.0,2018,iso,7.4,38.8,,,,,
16736,,Paul George,OKC,6,11.9,19,20,1.05,,6,14,42.9,46.4,5.3,26.0,21.1,52.6,2018,iso,5.3,75.5,,,,,
16737,,George Hill,CLE,19,9.6,17,19,1.12,,6,13,46.2,46.2,5.9,24.0,23.5,52.9,2018,iso,5.9,85.7,,,,,
16738,,Kevin Love,CLE,21,4.4,15,17,1.13,,7,12,58.3,62.5,13.3,7.0,6.7,53.3,2018,iso,0.0,91.7,,,,,
16739,,Damian Lillard,POR,4,16.1,15,17,1.13,,6,11,54.5,63.6,20.0,20.0,20.0,46.7,2018,iso,13.3,91.7,,,,,
16740,,Jimmy Butler,MIN,5,21.3,16,17,1.06,,6,13,46.2,50.0,6.3,12.0,12.5,50.0,2018,iso,0.0,79.2,,,,,
16741,,Kyle Lowry,TOR,10,9.9,16,16,1.0,,6,13,46.2,46.2,12.5,19.0,18.8,43.8,2018,iso,12.5,67.4,,,,,
16742,,Darren Collison,IND,7,18.3,15,15,1.0,,6,13,46.2,50.0,6.7,7.0,6.7,46.7,2018,iso,0.0,67.4,,,,,
16743,,Jamal Crawford,MIN,5,28.8,17,15,0.88,,5,13,38.5,38.5,5.9,18.0,17.6,47.1,2018,iso,0.0,49.0,,,,,
16744,,Andrew Wiggins,MIN,5,24.7,21,15,0.71,,7,17,41.2,41.2,14.3,10.0,9.5,33.3,2018,iso,4.8,27.1,,,,,
16745,,Al Horford,BOS,19,7.4,20,14,0.7,,5,16,31.3,31.3,10.0,10.0,10.0,35.0,2018,iso,0.0,24.5,,,,,
16746,,Eric Bledsoe,MIL,7,9.3,10,13,1.3,,4,6,66.7,66.7,10.0,30.0,30.0,70.0,2018,iso,0.0,100.0,,,,,
16747,,CJ McCollum,POR,4,16.5,15,13,0.87,,6,13,46.2,50.0,13.3,0.0,0.0,40.0,2018,iso,0.0,46.9,,,,,
16748,,Carmelo Anthony,OKC,6,20.9,18,13,0.72,,5,15,33.3,36.7,11.1,6.0,5.6,33.3,2018,iso,0.0,30.6,,,,,
16749,,Malcolm Brogdon,MIL,7,11.3,8,12,1.5,,5,7,71.4,78.6,12.5,12.0,12.5,62.5,2018,iso,12.5,0.0,,,,,
16750,,Dwyane Wade,MIA,5,11.8,11,12,1.09,,4,9,44.4,44.4,0.0,18.0,18.2,54.5,2018,iso,0.0,81.6,,,,,
16751,,Dante Exum,UTA,10,16.4,10,11,1.1,,5,7,71.4,71.4,20.0,10.0,10.0,60.0,2018,iso,0.0,83.7,,,,,
16752,,Joe Ingles,UTA,11,9.7,15,11,0.73,,5,15,33.3,36.7,0.0,0.0,0.0,33.3,2018,iso,0.0,32.7,,,,,
16753,,Lance Stephenson,IND,7,28.2,22,11,0.5,,5,18,27.8,27.8,9.1,9.0,9.1,27.3,2018,iso,0.0,12.5,,,,,
16754,,Ben Simmons,PHI,10,7.1,14,10,0.71,,1,9,11.1,11.1,0.0,36.0,28.6,42.9,2018,iso,0.0,27.1,,,,,
16755,,Jordan Clarkson,CLE,19,11.6,16,10,0.63,,4,16,25.0,31.3,0.0,0.0,0.0,25.0,2018,iso,0.0,18.8,,,,,
16756,,Rajon Rondo,NOP,9,12.3,16,10,0.63,,4,13,30.8,34.6,12.5,6.0,6.3,31.3,2018,iso,0.0,18.8,,,,,
16757,,Jaylen Brown,BOS,18,3.8,12,9,0.75,,4,10,40.0,40.0,8.3,8.0,8.3,41.7,2018,iso,0.0,36.7,,,,,
16758,,CJ Miles,TOR,10,3.5,3,8,2.67,,3,3,100.0,116.7,0.0,33.0,33.3,100.0,2018,iso,33.3,0.0,,,,,
16759,,Quinn Cook,GSW,17,6.3,5,8,1.6,,3,5,60.0,70.0,0.0,20.0,20.0,60.0,2018,iso,20.0,0.0,,,,,
16760,,Evan Turner,POR,3,17.5,7,8,1.14,,3,5,60.0,60.0,14.3,14.0,14.3,57.1,2018,iso,0.0,0.0,,,,,
16761,,Ricky Rubio,UTA,6,8.3,9,8,0.89,,2,7,28.6,28.6,0.0,22.0,22.2,44.4,2018,iso,0.0,0.0,,,,,
16762,,Joel Embiid,PHI,8,5.1,10,8,0.8,,3,7,42.9,42.9,10.0,20.0,20.0,50.0,2018,iso,0.0,40.8,,,,,
16763,,Rodney Hood,CLE,17,11.8,13,8,0.61,,4,12,33.3,33.3,7.7,0.0,0.0,30.8,2018,iso,0.0,16.3,,,,,
16764,,Shane Larkin,BOS,11,11.6,5,7,1.4,,2,3,66.7,83.3,20.0,20.0,0.0,60.0,2018,iso,0.0,0.0,,,,,
16765,,E'Twaun Moore,NOP,9,4.8,5,7,1.4,,2,4,50.0,62.5,0.0,20.0,20.0,60.0,2018,iso,0.0,0.0,,,,,
16766,,Shaun Livingston,GSW,21,11.6,16,7,0.44,,2,15,13.3,13.3,0.0,12.0,12.5,18.8,2018,iso,6.3,8.2,,,,,
16767,,Robert Covington,PHI,10,2.0,2,6,3.0,,2,2,100.0,150.0,0.0,0.0,0.0,100.0,2018,iso,0.0,0.0,,,,,
16768,,Goran Dragic,MIA,5,3.0,3,6,2.0,,3,3,100.0,100.0,0.0,0.0,0.0,100.0,2018,iso,0.0,0.0,,,,,
16769,,Ian Clark,NOP,9,3.9,3,6,2.0,,2,2,100.0,100.0,0.0,33.0,0.0,100.0,2018,iso,0.0,0.0,,,,,
16770,,,POR,4,6.8,4,6,1.5,,3,4,75.0,75.0,0.0,0.0,0.0,75.0,2018,iso,0.0,0.0,,,,,
16771,,Jonas Valanciunas,TOR,10,3.5,5,6,1.2,,3,4,75.0,75.0,20.0,0.0,0.0,60.0,2018,iso,0.0,0.0,,,,,
16772,,Dejounte Murray,SAS,5,12.5,5,6,1.2,,3,5,60.0,60.0,0.0,0.0,0.0,60.0,2018,iso,0.0,0.0,,,,,
16773,,Jae Crowder,UTA,11,5.1,7,6,0.86,,3,7,42.9,42.9,0.0,0.0,0.0,42.9,2018,iso,0.0,0.0,,,,,
16774,,Derrick Rose,MIN,5,11.8,8,6,0.75,,3,7,42.9,42.9,12.5,0.0,0.0,37.5,2018,iso,0.0,0.0,,,,,
16775,,JR Smith,CLE,22,10.3,22,6,0.27,,3,20,15.0,15.0,9.1,0.0,0.0,13.6,2018,iso,0.0,4.2,,,,,
16776,,Nick Young,GSW,20,5.2,3,5,1.67,,1,2,50.0,75.0,0.0,33.0,33.3,66.7,2018,iso,0.0,0.0,,,,,
