PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Aaron Gordon,ORL,76,38,38,2567,439,101,23.0,620,70.8,42,76.0,6.3
Aaron Holiday,IND,28,18,10,483,62,4,6.5,98,63.3,8,68.9,9.0
Abdel Nader,OKC,45,27,18,615,100,20,20.0,158,63.3,9,67.1,7.3
Al Horford,BOS,68,41,27,1973,338,111,32.8,607,55.7,55,61.2,5.8
Al-Farouq Aminu,POR,81,52,29,2292,498,122,24.5,764,65.2,55,70.2,5.2
Alan Williams,BKN,4,1,3,24,15,7,46.7,21,71.4,0,71.4,4.9
Alec Burks,SAC,53,16,37,1228,205,42,20.5,322,63.7,33,70.9,5.2
Alex Abrines,OKC,25,16,9,504,43,6,14.0,82,52.4,7,57.3,10.1
Alex Caruso,LAL,17,5,12,455,47,8,17.0,71,66.2,5,71.2,9.2
Alex Len,ATL,74,28,46,1523,266,79,29.7,508,52.4,61,59.5,5.0
Alex Poythress,ATL,19,7,12,299,47,8,17.0,72,65.3,4,69.1,4.7
Alfonzo McKinnie,GSW,62,46,16,949,166,37,22.3,253,65.6,20,71.2,4.8
Alize Johnson,IND,5,3,2,41,15,4,26.7,24,62.5,3,71.4,3.5
Allen Crabbe,BKN,40,18,22,1071,132,28,21.2,207,63.8,16,69.1,7.1
Allonzo Trier,NYK,60,13,47,1389,164,16,9.8,276,59.4,26,65.6,8.1
Amile Jefferson,ORL,10,7,3,60,15,7,46.7,22,68.2,2,75.0,5.6
Amir Johnson,PHI,40,24,16,480,100,47,47.0,176,56.8,20,64.1,4.0
Andre Drummond,DET,79,40,39,2647,809,255,31.5,1175,68.9,70,73.2,3.8
Andre Iguodala,GSW,67,46,21,1558,204,50,24.5,346,59.0,33,65.2,8.5
Andre Ingram,LAL,1,0,1,5,1,0,0.0,2,50.0,0,50.0,7.8
Andrew Bogut,GSW,10,7,3,113,38,7,18.4,58,65.5,6,73.1,4.0
Andrew Harrison,NOP,9,2,7,118,14,3,21.4,26,53.8,1,56.0,6.5
Andrew Wiggins,MIN,72,30,42,2535,269,58,21.6,484,55.6,51,62.1,7.1
Anfernee Simons,POR,4,3,1,77,10,2,20.0,18,55.6,3,66.7,8.4
Angel Delgado,LAC,1,0,1,14,2,0,0.0,3,66.7,0,66.7,1.5
Ante Zizic,CLE,58,12,46,1081,212,73,34.4,382,55.5,40,62.0,5.0
Anthony Davis,NOP,56,25,31,1850,498,177,35.5,731,68.1,44,72.5,4.7
Anthony Tolliver,MIN,57,27,30,1021,161,31,19.3,275,58.5,29,65.4,6.5
Antonio Blakeney,CHI,44,10,34,743,99,13,13.1,144,68.8,10,73.9,7.3
Aron Baynes,BOS,49,30,19,810,152,49,32.2,298,51.0,34,57.6,4.8
Austin Rivers,HOU,66,39,27,1805,137,27,19.7,300,45.7,34,51.5,7.7
Avery Bradley,MEM,59,30,29,1813,132,17,12.9,265,49.8,32,56.7,9.2
BJ Johnson,SAC,3,1,2,38,6,0,0.0,10,60.0,0,60.0,5.0
Bam Adebayo,MIA,82,39,43,1913,432,124,28.7,709,60.9,53,65.9,5.5
Ben McLemore,SAC,10,3,7,111,14,1,7.1,23,60.9,3,70.0,8.8
Ben Simmons,PHI,77,49,28,2656,516,90,17.4,712,72.5,31,75.8,7.3
Billy Garrett,NYK,2,1,1,38,3,0,0.0,5,60.0,1,75.0,6.4
Bismack Biyombo,CHA,49,21,28,756,166,50,30.1,279,59.5,30,66.7,4.8
Blake Griffin,DET,74,39,35,2585,465,129,27.7,714,65.1,59,71.0,5.1
Boban Marjanovic,PHI,49,29,20,659,178,74,41.6,297,59.9,26,65.7,4.1
Bobby Portis,WAS,49,14,35,1276,287,78,27.2,418,68.7,17,71.6,5.5
Bogdan Bogdanovic,SAC,67,31,36,1882,203,38,18.7,350,58.0,34,64.2,8.1
Bojan Bogdanovic,IND,81,47,34,2573,300,41,13.7,463,64.8,35,70.1,7.2
Bonzie Colson,MIL,5,3,2,93,22,3,13.6,32,68.8,1,71.0,4.9
Brad Wanamaker,BOS,24,20,4,286,38,8,21.1,56,67.9,4,73.1,8.3
Bradley Beal,WAS,80,31,49,2968,317,70,22.1,539,58.8,40,63.5,7.6
Brandon Goodwin,DEN,2,1,1,7,2,1,50.0,2,100.0,0,100.0,8.3
