PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Aaron Gordon,ORL,78,2633,296,104,288,36.1,88,241,36.5,51.4
Aaron Holiday,IND,50,646,75,25,65,38.5,25,65,38.5,57.7
Abdel Nader,OKC,61,694,87,29,95,30.5,29,94,30.9,45.8
Al Horford,BOS,68,1973,379,153,344,44.5,73,203,36.0,55.1
Al-Farouq Aminu,POR,81,2292,287,97,273,35.5,93,260,35.8,52.6
Alan Williams,BKN,5,26,2,1,4,25.0,0,1,0.0,25.0
Alec Burks,SAC,64,1375,124,43,102,42.2,38,93,40.9,60.8
Alex Abrines,OKC,31,588,111,38,121,31.4,35,116,30.2,45.9
Alex Caruso,LAL,25,531,39,13,30,43.3,13,28,46.4,65.0
Alex Len,ATL,77,1544,231,79,219,36.1,73,197,37.1,52.7
Alex Poythress,ATL,21,305,27,9,24,37.5,9,22,40.9,56.3
Alfonzo McKinnie,GSW,72,1003,128,43,119,36.1,42,116,36.2,53.8
Alize Johnson,IND,14,64,3,1,3,33.3,1,2,50.0,50.0
Allen Crabbe,BKN,43,1133,274,92,238,38.7,90,229,39.3,57.6
Allonzo Trier,NYK,64,1459,87,29,66,43.9,29,66,43.9,65.9
Amile Jefferson,ORL,12,68,0,0,0,-,-,-,-,-
Amir Johnson,PHI,51,529,38,13,44,29.5,12,40,30.0,43.2
Andre Drummond,DET,79,2647,31,14,49,28.6,3,24,12.5,31.6
Andre Iguodala,GSW,68,1578,135,46,139,33.1,43,127,33.9,48.6
Andre Ingram,LAL,4,15,0,0,4,0.0,0,3,0.0,0.0
Andrew Bogut,GSW,11,134,0,0,1,0.0,-,-,-,0.0
Andrew Harrison,NOP,17,186,9,3,13,23.1,3,13,23.1,34.6
Andrew Wiggins,MIN,73,2543,278,94,264,35.6,90,247,36.4,52.7
Anfernee Simons,POR,20,141,15,5,18,27.8,5,18,27.8,41.7
Angel Delgado,LAC,2,15,0,0,0,-,-,-,-,-
Ante Zizic,CLE,59,1082,22,11,28,39.3,-,-,-,39.3
Anthony Davis,NOP,56,1850,198,76,186,40.9,46,122,37.7,53.2
Anthony Tolliver,MIN,65,1079,236,79,212,37.3,78,207,37.7,55.7
Antonio Blakeney,CHI,57,829,85,29,72,40.3,27,64,42.2,59.0
Aron Baynes,BOS,51,821,81,30,83,36.1,21,60,35.0,48.8
Austin Rivers,HOU,76,2028,183,61,165,37.0,61,165,37.0,55.5
Avery Bradley,MEM,63,1905,233,83,221,37.6,67,188,35.6,52.7
BJ Johnson,SAC,7,49,9,3,8,37.5,3,7,42.9,56.3
Bam Adebayo,MIA,82,1913,25,12,51,23.5,1,11,9.1,24.5
Ben McLemore,SAC,19,158,39,13,36,36.1,13,33,39.4,54.2
Ben Simmons,PHI,79,2700,2,1,5,20.0,0,1,0.0,20.0
