PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Terrence Jones,HOU,27,F,1,1,50.0,1.0,1.0,100.0,50.0,50.0
Thomas Welsh,DEN,23,C,7,4,20.0,4.0,4.0,100.0,57.1,42.9
Nick Young,DEN,34,G-F,3,3,30.0,3.0,3.0,100.0,59.8,40.2
George King,PHX,25,F,1,1,66.7,2.0,2.0,100.0,60.7,39.4
Yante Maten,MIA,22,F,1,1,27.3,3.0,3.0,100.0,63.0,37.0
Ike Anigbogu,IND,20,C,2,2,100.0,4.0,4.0,100.0,63.6,36.4
PJ Dozier,BOS,22,G-F,3,3,64.3,9.0,9.0,100.0,64.2,35.8
JR Smith,CLE,33,G-F,9,7,31.7,18.0,20.0,90.0,58.2,31.8
Billy Garrett,NYK,24,G-F,4,4,36.4,7.0,8.0,87.5,58.2,29.4
Justin Patton,PHI,22,C,2,2,41.7,5.0,5.0,100.0,72.9,27.1
Emanuel Terry,MIA,22,F,3,3,33.3,5.0,6.0,83.3,57.5,25.8
Edmond Sumner,IND,23,G,19,11,32.9,24.0,28.0,85.7,60.3,25.4
Milos Teodosic,LAC,32,G,13,10,31.7,15.0,19.0,78.9,56.7,22.3
Brandon Goodwin,DEN,23,G,11,4,22.2,3.0,4.0,75.0,55.2,19.9
Jodie Meeks,TOR,31,G,7,4,40.0,7.0,10.0,70.0,54.3,15.7
Johnathan Motley,LAC,24,F,18,13,41.3,20.0,26.0,76.9,61.6,15.3
BJ Johnson,SAC,23,F,7,4,40.0,6.0,8.0,75.0,60.2,14.8
Brandon Knight,CLE,27,G,39,32,34.9,64.0,87.0,73.6,59.3,14.3
Tyler Lydon,DEN,23,F,16,10,46.9,11.0,15.0,73.3,59.0,14.3
Jalen Jones,CLE,26,F,16,13,34.6,21.0,28.0,75.0,60.9,14.1
Jimmer Fredette,PHX,30,G,6,5,50.0,8.0,11.0,72.7,58.9,13.8
Sindarius Thornwell,LAC,24,G,43,28,32.5,29.0,40.0,72.5,59.0,13.5
Amile Jefferson,ORL,26,F,11,7,41.7,11.0,15.0,73.3,60.1,13.2
Ron Baker,WAS,26,G,11,9,49.1,19.0,27.0,70.4,57.4,13.0
Luc Mbah a Moute,LAC,32,F,4,3,34.8,6.0,8.0,75.0,62.6,12.5
Michael Beasley,LAL,30,F,25,19,30.0,26.0,36.0,72.2,59.9,12.3
Jerome Robinson,LAC,22,G,27,16,28.7,22.0,31.0,71.0,58.8,12.2
Jamal Crawford,PHX,39,G,59,47,38.3,76.0,105.0,72.4,60.5,11.8
Collin Sexton,CLE,20,G,82,81,37.8,257.0,361.0,71.2,59.6,11.6
Michael Carter-Williams,ORL,27,G,22,18,42.3,43.0,63.0,68.3,56.7,11.5
Seth Curry,POR,28,G,73,60,30.1,102.0,146.0,69.9,58.8,11.0
Chimezie Metu,SAS,22,F,22,10,28.3,12.0,17.0,70.6,59.6,11.0
Dzanan Musa,BKN,20,G-F,4,2,62.5,3.0,5.0,60.0,49.4,10.6
Iman Shumpert,HOU,29,G,61,57,40.3,136.0,192.0,70.8,60.3,10.5
Cameron Payne,CLE,24,G,35,31,35.7,58.0,82.0,70.7,60.3,10.4
Carmelo Anthony,HOU,35,F,10,10,37.8,31.0,45.0,68.9,58.5,10.4
D.J. Augustin,ORL,31,G,79,70,29.1,141.0,202.0,69.8,59.7,10.1
Jeff Teague,MIN,31,G,42,41,34.0,102.0,144.0,70.8,60.9,10.0
Ian Clark,NOP,28,G,54,44,36.8,83.0,120.0,69.2,59.3,9.9
J.J. Barea,DAL,35,G,38,31,31.1,52.0,75.0,69.3,59.7,9.7
Isaiah Canaan,MIL,28,G,29,27,38.6,58.0,83.0,69.9,60.6,9.3
Isaac Bonga,LAL,19,G,15,9,37.0,12.0,17.0,70.6,61.4,9.2
Quinn Cook,GSW,26,G,68,59,37.8,102.0,151.0,67.5,58.5,9.0
Cam Reynolds,MIN,24,G,17,15,40.9,27.0,38.0,71.1,62.2,8.9
Devin Harris,DAL,36,G,62,45,33.8,67.0,97.0,69.1,60.3,8.8
Stephen Curry,GSW,31,G,69,65,31.1,153.0,225.0,68.0,59.3,8.7
DeVaughn Akoon-Purcell,DEN,26,G-F,5,4,66.7,4.0,6.0,66.7,57.9,8.7
Melvin Frazier Jr.,ORL,22,G-F,9,6,42.9,4.0,6.0,66.7,57.9,8.7
Allonzo Trier,NYK,23,G,63,59,42.0,142.0,206.0,68.9,60.3,8.6
Taurean Prince,ATL,25,F,55,50,33.4,110.0,159.0,69.2,60.8,8.4
Bonzie Colson,MIL,23,F,5,5,47.4,12.0,18.0,66.7,58.3,8.4
Channing Frye,CLE,36,F-C,34,28,39.6,58.0,82.0,70.7,62.5,8.2
Bobby Portis,WAS,24,F,48,47,42.8,158.0,228.0,69.3,61.2,8.1
Rodney Hood,POR,26,G,72,66,36.3,140.0,208.0,67.3,59.5,7.8
Chasson Randle,WAS,26,G,48,45,44.6,89.0,133.0,66.9,59.1,7.8
Chandler Parsons,MEM,30,F,25,19,30.2,29.0,42.0,69.0,61.3,7.7
Drew Eubanks,SAS,22,F,19,11,33.3,16.0,23.0,69.6,61.9,7.7
Trevor Ariza,WAS,33,F,68,68,43.8,208.0,299.0,69.6,62.0,7.6
Caris LeVert,BKN,24,G,40,39,33.2,92.0,137.0,67.2,59.8,7.4
Jerryd Bayless,MIN,30,G,33,29,35.0,51.0,76.0,67.1,59.7,7.4
Walt Lemon Jr.,CHI,26,G,6,6,34.9,15.0,22.0,68.2,60.8,7.4
Khyri Thomas,DET,23,G,18,12,35.4,12.0,17.0,70.6,63.2,7.4
E'Twaun Moore,NOP,30,G,53,50,39.0,111.0,164.0,67.7,60.3,7.3
Bogdan Bogdanovic,SAC,26,G,70,70,36.6,176.0,262.0,67.2,60.1,7.1
Shabazz Napier,BKN,27,G,54,43,33.6,97.0,145.0,66.9,59.8,7.1
Jrue Holiday,NOP,29,G,67,66,33.4,246.0,368.0,66.8,59.8,7.0
Kevin Huerter,ATL,20,G,74,68,37.4,185.0,274.0,67.5,60.5,7.0
Reggie Jackson,DET,29,G,82,80,40.0,220.0,327.0,67.3,60.4,6.8
Patty Mills,SAS,30,G,82,77,30.0,145.0,216.0,67.1,60.3,6.8
Rajon Rondo,LAL,33,G,46,43,38.8,133.0,196.0,67.9,61.1,6.8
Quincy Pondexter,SAS,31,F,37,25,43.1,32.0,47.0,68.1,61.2,6.8
Marquese Chriss,CLE,21,F,41,35,40.1,67.0,99.0,67.7,60.9,6.7
Miles Plumlee,ATL,30,C,17,15,52.0,35.0,51.0,68.6,61.9,6.7
Ben McLemore,SAC,26,G,15,11,49.1,18.0,26.0,69.2,62.6,6.7
Trae Young,ATL,20,G,81,79,37.5,235.0,355.0,66.2,59.6,6.6
Malik Beasley,DEN,22,G,81,71,35.8,142.0,212.0,67.0,60.4,6.6
Eric Moreland,TOR,27,F-C,5,5,44.0,7.0,11.0,63.6,57.1,6.5
Reggie Bullock,LAL,28,G-F,62,59,40.4,157.0,237.0,66.2,59.9,6.4
Devonte' Graham,CHA,24,G,44,38,38.9,65.0,98.0,66.3,59.9,6.4
Damion Lee,GSW,26,G,29,21,35.6,38.0,57.0,66.7,60.2,6.4
Kentavious Caldwell-Pope,LAL,26,G,82,75,37.0,177.0,268.0,66.0,59.7,6.3
Tyrone Wallace,LAC,25,G,54,35,29.0,42.0,63.0,66.7,60.3,6.3
Luke Kennard,DET,23,G,62,56,34.6,89.0,136.0,65.4,59.2,6.2
Cedi Osman,CLE,24,F,76,75,34.9,214.0,321.0,66.7,60.5,6.1
Gary Clark,HOU,24,F,45,43,56.3,90.0,138.0,65.2,59.2,6.0
Frank Jackson,NOP,21,G,57,48,36.2,87.0,131.0,66.4,60.4,6.0
Jalen Brunson,DAL,22,G,68,59,32.0,123.0,188.0,65.4,59.5,5.9
Dillon Brooks,MEM,23,G-F,18,18,34.8,26.0,39.0,66.7,60.7,5.9
Austin Rivers,HOU,26,G,75,73,40.3,188.0,287.0,65.5,59.7,5.8
Yogi Ferrell,SAC,26,G,66,52,36.2,83.0,131.0,63.4,57.6,5.8
Antonio Blakeney,CHI,22,G,51,43,43.6,64.0,98.0,65.3,59.5,5.8
Kenneth Faried,HOU,29,F-C,36,32,36.3,89.0,131.0,67.9,62.2,5.7
Jerian Grant,ORL,26,G,53,48,37.2,82.0,125.0,65.6,59.9,5.7
Lance Thomas,NYK,31,F,46,40,38.4,77.0,113.0,68.1,62.4,5.7
Landry Shamet,LAC,22,G,76,72,35.1,145.0,222.0,65.3,59.8,5.5
Willy Hernangomez,CHA,25,C,58,53,46.3,146.0,216.0,67.6,62.1,5.5
Tyler Dorsey,MEM,23,G,42,33,39.7,61.0,92.0,66.3,60.8,5.5
Gary Trent Jr.,POR,20,G,12,5,33.3,11.0,17.0,64.7,59.3,5.4
Glenn Robinson III,DET,25,G-F,42,35,39.9,53.0,81.0,65.4,60.2,5.3
James Nunnally,HOU,28,F,13,9,46.2,8.0,12.0,66.7,61.4,5.3
Tim Hardaway Jr.,DAL,27,G,64,63,32.8,154.0,234.0,65.8,60.6,5.2
Jeremy Lamb,CHA,27,G,77,76,37.0,216.0,329.0,65.7,60.6,5.1
Marcus Smart,BOS,25,G,80,77,28.2,148.0,225.0,65.8,60.7,5.1
Matthew Dellavedova,CLE,28,G,48,42,39.9,90.0,138.0,65.2,60.2,5.1
Lou Williams,LAC,32,G,75,70,36.9,140.0,213.0,65.7,60.7,5.0
Alfonzo McKinnie,GSW,26,F,69,59,42.9,100.0,151.0,66.2,61.2,5.0
Sam Dekker,WAS,25,F,44,40,41.4,78.0,120.0,65.0,60.1,4.9
Dwayne Bacon,CHA,23,G-F,40,32,34.1,60.0,91.0,65.9,61.0,4.9
Alex Abrines,OKC,25,G,31,25,32.5,45.0,69.0,65.2,60.3,4.9
Wade Baldwin IV,POR,23,G,13,8,27.3,7.0,12.0,58.3,53.4,4.9
Davon Reed,IND,24,G,8,4,35.0,4.0,7.0,57.1,52.2,4.9
John Wall,WAS,28,G,32,32,37.1,90.0,140.0,64.3,59.4,4.8
