PLAYER,TEAM,GP,W,L,MIN,PTS,DrivePTS,DriveFG%,C&SPTS,C&SFG%,Pull UpPTS,Pull UpFG%,PaintTouch PTS,PaintTouch FG%,PostTouch PTS,PostTouch FG%,ElbowTouch PTS,ElbowTouch FG%,eFG%
Aaron Gordon,DEN,50,29,21,27.7,12.4,2.0,43.3,2.8,38.6,2.4,32.3,3.6,68.6,1.0,38.1,0.8,69.6,52.2
Aaron Holiday,IND,66,30,36,17.8,7.2,2.2,35.9,2.4,38.4,1.4,37.4,0.2,50.0,0.0,0.0,0.1,60.0,46.7
Aaron Nesmith,BOS,46,22,24,14.5,4.7,0.7,42.9,2.4,39.8,0.5,35.5,0.7,84.2,0.0,0.0,0.1,50.0,55.1
Abdel Nader,PHX,24,16,8,14.8,6.7,2.0,52.6,2.3,42.9,0.2,33.3,0.8,63.6,0.0,0.0,0.0,0.0,56.9
Adam Mokoka,CHI,14,3,11,4.0,1.1,0.1,33.3,0.2,12.5,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,39.5
Al Horford,OKC,28,11,17,27.9,14.2,1.6,59.5,7.1,38.1,1.0,41.2,2.6,59.6,2.1,45.3,1.1,52.0,52.8
Al-Farouq Aminu,CHI,23,5,18,18.9,4.4,0.7,53.8,1.3,28.2,0.3,44.4,1.0,52.6,0.2,28.6,0.2,33.3,42.4
Alec Burks,NYK,49,27,22,25.6,12.7,3.3,44.0,3.4,38.1,4.7,42.8,0.6,66.7,0.0,50.0,0.2,25.0,52.2
Aleksej Pokusevski,OKC,45,13,32,24.2,8.2,1.9,39.8,3.4,30.4,1.8,30.4,0.6,43.3,0.0,0.0,0.1,33.3,41.2
Alen Smailagic,GSW,15,10,5,5.6,1.9,0.6,36.4,0.8,40.0,0.1,50.0,0.5,60.0,0.0,0.0,0.1,50.0,48.1
Alex Caruso,LAL,58,32,26,21.0,6.4,1.4,38.0,2.7,40.6,0.7,30.5,0.6,77.8,0.0,0.0,0.3,70.0,52.6
Alex Len,WAS,64,30,34,15.3,6.6,0.3,70.0,0.4,25.7,0.0,50.0,4.7,66.1,0.3,58.3,1.0,63.6,62.9
Alfonzo McKinnie,LAL,39,22,17,6.6,3.1,0.4,50.0,1.2,41.7,0.3,38.5,0.9,65.4,0.0,0.0,0.0,0.0,60.2
Alize Johnson,BKN,18,10,8,10.5,5.2,1.1,50.0,0.4,30.0,0.3,50.0,2.3,70.8,0.0,0.0,0.2,50.0,59.6
Amida Brimah,IND,5,2,3,5.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6,83.3,0.0,0.0,0.0,0.0,62.5
Amir Coffey,LAC,44,32,12,9.0,3.2,0.7,46.2,1.4,38.5,0.4,50.0,0.1,66.7,0.0,0.0,0.0,100.0,54.9
Anderson Varejao,CLE,5,1,4,7.2,2.6,0.0,0.0,0.8,40.0,0.0,0.0,0.8,20.0,0.6,25.0,1.0,40.0,25.0
