PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
Aaron Gordon,DEN,50,29,21,1384,77,50,64.9,154,50.0,6,52.0,7.0
Aaron Holiday,IND,48,22,26,946,15,5,33.3,49,30.6,1,31.3,14.3
Aaron Nesmith,BOS,35,15,20,585,28,19,67.9,63,44.4,3,46.7,8.3
Abdel Nader,PHX,21,13,8,344,7,3,42.9,24,29.2,0,29.2,3.7
Adam Mokoka,CHI,4,0,4,37,1,1,100.0,3,33.3,0,33.3,7.3
Al Horford,OKC,28,11,17,782,29,13,44.8,77,37.7,0,37.7,7.9
Al-Farouq Aminu,CHI,23,5,18,434,22,10,45.5,46,47.8,2,50.0,6.2
Alec Burks,NYK,49,27,22,1255,21,9,42.9,69,30.4,5,32.8,14.5
Aleksej Pokusevski,OKC,43,13,30,1065,30,14,46.7,66,45.5,2,46.9,8.6
Alen Smailagic,GSW,8,6,2,63,6,5,83.3,16,37.5,3,46.2,3.7
Alex Caruso,LAL,57,32,25,1188,31,14,45.2,78,39.7,4,41.9,12.3
Alex Len,WAS,57,25,32,936,78,53,67.9,181,43.1,5,44.3,4.6
Alfonzo McKinnie,LAL,25,14,11,208,22,13,59.1,43,51.2,1,52.4,4.4
Alize Johnson,BKN,15,8,7,184,27,19,70.4,60,45.0,1,45.8,6.1
Amida Brimah,IND,3,1,2,23,2,2,100.0,7,28.6,0,28.6,4.0
Amir Coffey,LAC,19,15,4,318,10,4,40.0,14,71.4,0,71.4,14.9
Anderson Varejao,CLE,5,1,4,36,7,5,71.4,18,38.9,0,38.9,4.2
Andre Drummond,LAL,45,18,27,1220,166,120,72.3,319,52.0,4,52.7,4.3
Andre Iguodala,MIA,59,35,24,1274,38,20,52.6,83,45.8,3,47.5,13.2
Andre Roberson,BKN,5,4,1,63,7,3,42.9,11,63.6,0,63.6,10.2
Andrew Wiggins,GSW,71,38,33,2364,82,54,65.9,193,42.5,6,43.9,7.8
Anfernee Simons,POR,49,32,17,940,14,4,28.6,34,41.2,2,43.8,20.2
Anthony Davis,LAL,36,23,13,1162,62,45,72.6,118,52.5,3,53.9,5.1
Anthony Edwards,MIN,67,22,45,2175,59,30,50.8,141,41.8,7,44.0,9.3
Anthony Gill,WAS,19,8,11,197,16,11,68.8,29,55.2,0,55.2,7.2
Anthony Lamb,HOU,20,2,18,396,27,16,59.3,68,39.7,0,39.7,8.2
Anthony Tolliver,PHI,6,3,3,81,3,1,33.3,7,42.9,0,42.9,2.6
Anzejs Pasecniks,WAS,1,1,0,6,1,0,0.0,3,33.3,1,50.0,6.4
Armoni Brooks,HOU,19,3,16,509,10,3,30.0,21,47.6,0,47.6,12.9
Aron Baynes,TOR,50,19,31,947,87,57,65.5,191,45.5,4,46.5,4.7
Austin Rivers,DEN,31,17,14,774,8,3,37.5,31,25.8,0,25.8,10.8
Avery Bradley,HOU,25,6,19,549,8,3,37.5,24,33.3,3,38.1,16.8
Axel Toupane,MIL,4,1,3,51,0,0,0.0,2,0.0,0,0.0,0.0
Bam Adebayo,MIA,64,34,30,2143,142,92,64.8,355,40.0,9,41.0,6.7
Ben McLemore,LAL,43,17,26,808,15,6,40.0,39,38.5,0,38.5,13.0
Ben Simmons,PHI,58,42,16,1877,93,52,55.9,212,43.9,6,45.1,6.8
Bismack Biyombo,CHA,63,28,35,1330,137,89,65.0,327,41.9,6,42.7,6.5
Blake Griffin,BKN,44,24,20,1141,34,25,73.5,104,32.7,4,34.0,7.0
Boban Marjanovic,DAL,29,13,16,256,47,35,74.5,87,54.0,1,54.7,4.2
Bobby Portis,MIL,66,44,22,1372,124,87,70.2,273,45.4,11,47.3,4.8
Bogdan Bogdanovic,ATL,43,29,14,1276,20,10,50.0,53,37.7,1,38.5,10.6
Bojan Bogdanovic,UTA,70,50,20,2160,40,12,30.0,134,29.9,8,31.7,11.2
Bol Bol,DEN,19,14,5,114,0,0,0.0,3,0.0,1,0.0,0.0
