Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
Aaron Gordon,DEN,50,29,21,1384.0,618,2415,1291,145.8,3.62,2.83,0.256,63,113,192,0.619,0.451,0.938,203932,1610612743
Aaron Holiday,IND,66,30,36,1176.0,475,1620,1020,80.1,2.97,2.61,0.293,11,0,22,0.727,0.0,0.591,1628988,1610612754
Aaron Nesmith,BOS,46,22,24,669.0,218,767,435,21.4,1.67,0.81,0.284,8,1,33,0.5,0.0,0.97,1630174,1610612738
Abdel Nader,PHX,24,16,8,355.0,160,389,261,12.4,1.91,1.19,0.411,0,0,17,0.0,0.0,1.176,1627846,1610612756
Adam Mokoka,CHI,14,3,11,56.0,15,58,43,1.3,1.37,0.78,0.259,1,0,1,0.0,0.0,2.0,1629690,1610612741
Al Horford,BOS,28,11,17,782.0,398,1500,1079,53.7,2.15,0.73,0.265,75,109,97,0.4,0.55,0.753,201143,1610612738
Al-Farouq Aminu,CHI,23,5,18,434.0,102,693,316,23.6,2.04,1.02,0.147,23,24,41,0.217,0.208,0.561,202329,1610612741
Alec Burks,NYK,49,27,22,1255.0,623,1904,1210,110.9,3.5,2.78,0.327,18,2,35,0.444,1.0,0.8,202692,1610612752
Aleksej Pokusevski,OKC,45,13,32,1090.0,367,1861,1036,74.0,2.39,1.63,0.197,12,5,46,0.5,0.4,0.609,1630197,1610612760
Alen Smailagic,GSW,15,10,5,84.0,28,139,73,4.1,1.76,0.51,0.201,5,3,12,0.4,0.0,0.583,1629346,1610612744
Alex Caruso,LAL,58,32,26,1216.0,370,2553,1088,146.3,3.44,2.7,0.145,32,3,48,0.531,0.0,0.667,1627936,1610612747
Alex Len,WAS,64,30,34,979.0,423,1403,811,31.2,1.33,0.45,0.301,98,35,317,0.633,0.571,0.94,203458,1610612764
Alfonzo McKinnie,LAL,39,22,17,258.0,122,314,197,9.0,1.72,0.76,0.389,2,0,32,0.0,0.0,1.156,1628035,1610612747
Alize Johnson,BKN,18,10,8,189.0,94,288,129,12.3,2.56,1.82,0.326,6,2,47,0.667,0.0,0.894,1628993,1610612751
Amida Brimah,IND,5,2,3,29.0,13,46,25,1.0,1.32,0.35,0.283,1,4,10,0.0,0.0,1.3,1628578,1610612754
Amir Coffey,LAC,44,32,12,395.0,140,473,346,20.6,2.61,1.69,0.296,2,0,6,1.0,0.0,1.0,1629599,1610612746
Anderson Varejao,CLE,5,1,4,36.0,13,79,39,2.6,1.96,0.66,0.165,8,5,9,0.625,0.6,0.444,2760,1610612739
Andre Drummond,LAL,46,19,27,1242.0,687,2439,1379,87.3,2.15,0.89,0.282,189,294,461,0.466,0.49,0.837,203083,1610612747
Andre Iguodala,MIA,63,37,26,1339.0,275,2246,962,108.9,2.91,1.93,0.122,51,27,78,0.235,0.296,0.308,2738,1610612748
Andre Roberson,BKN,5,4,1,63.0,6,83,40,1.8,1.31,0.63,0.072,6,0,7,0.167,0.0,0.286,203460,1610612751
Andrew Wiggins,GSW,71,38,33,2364.0,1320,3405,2353,169.8,2.99,2.2,0.388,33,122,171,0.515,0.615,0.971,203952,1610612744
Anfernee Simons,POR,64,37,27,1104.0,502,1807,646,147.2,4.89,4.37,0.278,6,1,10,0.0,0.0,0.4,1629014,1610612757
