PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
Aaron Brooks,MIN,32,19,13,189.0,12,31,38.7,3.0,16.0,18.8,43.5,27,201166,1610612750
Aaron Gordon,ORL,58,19,39,1909.0,75,254,29.5,23.0,105.0,21.9,34.1,173,203932,1610612753
Aaron Harrison,DAL,9,2,7,233.0,5,21,23.799999999999997,1.0,6.0,16.7,26.200000000000003,11,1626151,1610612742
Aaron Jackson,HOU,1,0,1,35.0,1,2,50.0,1.0,2.0,50.0,75.0,3,1628935,1610612745
Abdel Nader,BOS,48,33,15,522.0,3,12,25.0,1.0,1.0,100.0,29.2,7,1627846,1610612738
Adreian Payne,ORL,5,0,5,43.0,1,2,50.0,0.0,0.0,,50.0,2,203940,1610612753
Al Horford,BOS,72,47,25,2277.0,40,108,37.0,5.0,6.0,83.3,39.4,85,201143,1610612738
Al Jefferson,IND,36,17,19,484.0,8,16,50.0,0.0,0.0,,50.0,16,2744,1610612754
Al-Farouq Aminu,POR,69,40,29,2072.0,14,67,20.9,9.0,25.0,36.0,27.6,37,202329,1610612757
Alan Williams,PHX,5,1,4,70.0,0,1,0.0,,,,0.0,0,1626210,1610612756
Alec Burks,UTA,64,37,27,1059.0,55,150,36.7,24.0,68.0,35.3,44.7,134,202692,1610612762
Alec Peters,PHX,20,2,18,225.0,2,5,40.0,1.0,3.0,33.300000000000004,50.0,5,1628409,1610612756
Alex Abrines,OKC,75,42,33,1134.0,6,21,28.599999999999998,1.0,11.0,9.1,31.0,13,203518,1610612760
Alex Caruso,LAL,37,16,21,562.0,11,38,28.9,6.0,20.0,30.0,36.8,28,1627936,1610612747
Alex Len,PHX,69,20,49,1395.0,0,3,0.0,0.0,0.0,,0.0,0,203458,1610612756
Alex Poythress,IND,25,10,15,104.0,0,0,,0.0,0.0,,,0,1627816,1610612754
Alfonzo McKinnie,TOR,14,13,1,53.0,2,2,100.0,1.0,1.0,100.0,125.0,5,1628035,1610612761
Allen Crabbe,BKN,75,25,50,2197.0,65,201,32.300000000000004,18.0,73.0,24.7,36.8,148,203459,1610612751
Amir Johnson,PHI,74,47,27,1170.0,2,6,33.300000000000004,0.0,2.0,0.0,33.300000000000004,4,101161,1610612755
Andre Drummond,DET,78,37,41,2625.0,8,33,24.2,0.0,6.0,0.0,24.2,16,203083,1610612765
Andre Iguodala,GSW,64,46,18,1622.0,26,73,35.6,11.0,29.0,37.9,43.2,63,2738,1610612744
Andre Ingram,LAL,2,1,1,64.0,3,7,42.9,0.0,1.0,0.0,42.9,6,201281,1610612747
Andre Roberson,OKC,39,24,15,1037.0,0,1,0.0,0.0,1.0,0.0,0.0,0,203460,1610612760
Andrew Bogut,LAL,24,7,17,216.0,0,1,0.0,,,,0.0,0,101106,1610612747
Andrew Harrison,MEM,56,17,39,1326.0,56,158,35.4,18.0,52.0,34.599999999999994,41.099999999999994,130,1626150,1610612763
Andrew White III,ATL,15,1,14,209.0,4,10,40.0,2.0,3.0,66.7,50.0,10,1628510,1610612737
Andrew Wiggins,MIN,82,47,35,2979.0,152,470,32.300000000000004,20.0,77.0,26.0,34.5,324,203952,1610612750
Ante Zizic,CLE,32,21,11,214.0,0,1,0.0,,,,0.0,0,1627790,1610612739
Anthony Brown,MIN,1,0,1,4.0,0,0,,0.0,0.0,,,0,1626148,1610612750
Anthony Davis,NOP,75,45,30,2727.0,138,356,38.800000000000004,8.0,18.0,44.4,39.900000000000006,284,203076,1610612740
Anthony Tolliver,DET,79,37,42,1757.0,6,16,37.5,2.0,9.0,22.2,43.8,14,201229,1610612765
Antonio Blakeney,CHI,19,3,16,314.0,22,61,36.1,5.0,19.0,26.3,40.2,49,1628469,1610612741
Antonius Cleveland,ATL,17,7,10,123.0,3,8,37.5,1.0,1.0,100.0,43.8,7,1628499,1610612737
Aron Baynes,BOS,81,54,27,1484.0,4,14,28.599999999999998,0.0,0.0,,28.599999999999998,8,203382,1610612738
Arron Afflalo,ORL,53,16,37,682.0,21,52,40.400000000000006,2.0,10.0,20.0,42.3,44,201167,1610612753
Austin Rivers,LAC,61,30,31,2057.0,99,261,37.9,73.0,192.0,38.0,51.9,271,203085,1610612746
Avery Bradley,LAC,46,22,24,1433.0,58,155,37.4,8.0,30.0,26.700000000000003,40.0,124,202340,1610612746
Bam Adebayo,MIA,69,34,35,1368.0,2,12,16.7,0.0,3.0,0.0,16.7,4,1628389,1610612748
Ben McLemore,MEM,56,7,49,1091.0,33,85,38.800000000000004,8.0,36.0,22.2,43.5,74,203463,1610612763
Ben Moore,IND,2,1,1,9.0,0,0,,,,,,0,1628500,1610612754
Ben Simmons,PHI,81,51,30,2732.0,64,194,33.0,0.0,4.0,0.0,33.0,128,1627732,1610612755
Bismack Biyombo,ORL,82,25,57,1495.0,1,8,12.5,,,,12.5,2,202687,1610612753
Blake Griffin,DET,58,28,30,1970.0,72,247,29.099999999999998,42.0,131.0,32.1,37.7,186,201933,1610612765
Boban Marjanović,LAC,39,18,21,338.0,2,6,33.300000000000004,,,,33.300000000000004,4,1626246,1610612746
Bobby Brown,HOU,20,17,3,115.0,12,37,32.4,8.0,27.0,29.599999999999998,43.2,32,201628,1610612745
