PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Aaron Brooks,MIN,13,6,7,136,10,2,20.0,20,50.0,4,62.5,7.2
Aaron Gordon,ORL,58,19,39,1909,370,86,23.2,576,64.2,34,68.3,5.6
Aaron Harrison,DAL,7,2,5,190,20,2,10.0,36,55.6,2,58.8,10.5
Aaron Jackson,HOU,1,0,1,35,1,0,0.0,2,50.0,0,50.0,13.8
Abdel Nader,BOS,26,18,8,347,58,14,24.1,85,68.2,6,73.4,7.2
Adreian Payne,ORL,3,0,3,40,7,2,28.6,11,63.6,0,63.6,4.2
Al Horford,BOS,69,44,25,2175,408,107,26.2,653,62.5,39,66.4,5.9
Al Jefferson,IND,33,15,18,469,113,32,28.3,186,60.8,12,64.9,4.4
Al-Farouq Aminu,POR,69,40,29,2072,428,96,22.4,672,63.7,41,67.8,5.2
Alan Williams,PHX,5,1,4,70,19,4,21.1,31,61.3,0,61.3,3.4
Alec Burks,UTA,58,32,26,1011,173,31,17.9,277,62.5,20,67.3,6.0
Alec Peters,PHX,15,1,14,179,29,6,20.7,42,69.0,1,70.7,5.7
Alex Abrines,OKC,53,32,21,938,86,19,22.1,176,48.9,14,53.1,8.5
Alex Caruso,LAL,27,13,14,461,50,6,12.0,88,56.8,7,61.7,10.1
Alex Len,PHX,68,20,48,1393,343,113,32.9,588,58.3,31,61.6,4.1
Alex Poythress,IND,12,4,8,70,10,2,20.0,16,62.5,0,62.5,8.6
Alfonzo McKinnie,TOR,5,4,1,29,6,2,33.3,11,54.5,2,66.7,3.6
Allen Crabbe,BKN,72,24,48,2104,288,48,16.7,457,63.0,22,66.2,6.8
Amir Johnson,PHI,71,44,27,1133,207,75,36.2,410,50.5,49,57.3,5.4
Andre Drummond,DET,78,37,41,2625,848,283,33.4,1239,68.4,61,72.0,3.5
Andre Iguodala,GSW,61,44,17,1556,196,38,19.4,369,53.1,25,57.0,7.6
Andre Ingram,LAL,2,1,1,64,5,0,0.0,7,71.4,1,83.3,10.6
Andre Roberson,OKC,37,24,13,983,104,27,26.0,199,52.3,17,57.1,6.2
Andrew Bogut,LAL,21,6,15,207,52,16,30.8,81,64.2,6,69.3,4.7
Andrew Harrison,MEM,50,14,36,1231,108,18,16.7,213,50.7,19,55.7,9.6
Andrew White III,ATL,10,1,9,162,28,0,0.0,51,54.9,4,59.6,7.9
Andrew Wiggins,MIN,82,47,35,2979,276,61,22.1,522,52.9,44,57.7,6.5
Ante Zizic,CLE,19,11,8,181,36,9,25.0,67,53.7,5,58.1,5.0
Anthony Davis,NOP,75,45,30,2727,644,208,32.3,997,64.6,51,68.1,4.8
Anthony Tolliver,DET,75,36,39,1688,191,41,21.5,421,45.4,33,49.2,7.5
Antonio Blakeney,CHI,14,3,11,278,28,2,7.1,56,50.0,4,53.8,6.3
Antonius Cleveland,ATL,7,2,5,80,11,3,27.3,19,57.9,1,61.1,7.3
Aron Baynes,BOS,77,50,27,1431,292,99,33.9,546,53.5,57,59.7,4.5
Arron Afflalo,ORL,28,8,20,429,61,13,21.3,100,61.0,7,65.6,8.7
Austin Rivers,LAC,53,24,29,1787,116,18,15.5,261,44.4,30,50.2,8.6
Avery Bradley,LAC,41,19,22,1284,94,10,10.6,169,55.6,18,62.3,7.3
Bam Adebayo,MIA,64,31,33,1322,260,75,28.8,416,62.5,25,66.5,5.5
Ben McLemore,MEM,46,5,41,988,105,8,7.6,197,53.3,24,60.7,7.6
Ben Moore,IND,1,0,1,6,1,0,0.0,2,50.0,0,50.0,9.7
Ben Simmons,PHI,80,51,29,2703,512,84,16.4,777,65.9,35,69.0,6.6
Bismack Biyombo,ORL,79,24,55,1448,324,101,31.2,582,55.7,35,59.2,4.3
Blake Griffin,DET,58,28,30,1970,355,76,21.4,598,59.4,39,63.5,4.7
Boban Marjanovic,LAC,30,11,19,306,93,31,33.3,148,62.8,12,68.4,3.9
Bobby Brown,HOU,3,3,0,36,7,0,0.0,11,63.6,0,63.6,16.3
Bobby Portis,CHI,72,25,47,1615,331,62,18.7,530,62.5,33,66.6,4.9
Bogdan Bogdanovic,SAC,76,26,50,2137,192,36,18.8,365,52.6,38,58.7,7.5
Bojan Bogdanovic,IND,75,44,31,2326,240,33,13.8,395,60.8,23,64.5,7.1
Bradley Beal,WAS,81,42,39,2940,302,50,16.6,521,58.0,27,61.1,8.1
Brandan Wright,HOU,27,11,16,373,62,25,40.3,120,51.7,7,54.9,5.6
Brandon Ingram,LAL,59,27,32,1975,257,56,21.8,417,61.6,26,65.7,6.5
