TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,year
Cleveland Cavaliers,22,22,31.9,233,544,42.8,51.2,16.5,142,281,50.5,15.4,91,263,34.6,open,2018
Golden State Warriors,21,21,27.4,244,473,51.6,60.7,13.8,158,238,66.4,13.6,86,235,36.6,open,2018
Boston Celtics,19,19,30.8,202,454,44.5,52.6,14.6,128,215,59.5,16.2,74,239,31.0,open,2018
Houston Rockets,17,17,28.1,160,387,41.3,52.3,9.5,75,131,57.3,18.6,85,256,33.2,open,2018
Utah Jazz,11,11,28.6,105,243,43.2,50.8,14.9,68,127,53.5,13.6,37,116,31.9,open,2018
Philadelphia 76ers,10,10,29.3,95,242,39.3,47.9,14.2,53,117,45.3,15.2,42,125,33.6,open,2018
New Orleans Pelicans,9,9,25.6,85,196,43.4,49.7,15.9,60,122,49.2,9.7,25,74,33.8,open,2018
Toronto Raptors,10,10,24.9,88,193,45.6,52.8,14.1,60,109,55.0,10.8,28,84,33.3,open,2018
Milwaukee Bucks,7,7,34.7,83,180,46.1,53.9,20.5,55,106,51.9,14.3,28,74,37.8,open,2018
Indiana Pacers,7,7,31.3,75,168,44.6,52.7,17.9,48,96,50.0,13.4,27,72,37.5,open,2018
Oklahoma City Thunder,6,6,34.0,71,165,43.0,50.3,20.0,47,97,48.5,14.0,24,68,35.3,open,2018
Washington Wizards,6,6,30.8,66,146,45.2,49.7,21.1,53,100,53.0,9.7,13,46,28.3,open,2018
San Antonio Spurs,5,5,29.2,45,115,39.1,44.8,18.8,32,74,43.2,10.4,13,41,31.7,open,2018
Miami Heat,5,5,28.3,51,111,45.9,51.8,18.4,38,72,52.8,9.9,13,39,33.3,open,2018
Minnesota Timberwolves,5,5,27.6,45,105,42.9,49.0,18.6,32,71,45.1,8.9,13,34,38.2,open,2018
Portland Trail Blazers,4,4,21.4,24,72,33.3,40.3,9.5,14,32,43.8,11.9,10,40,25.0,open,2018
Golden State Warriors,21,21,41.4,359,716,50.1,53.3,32.9,314,569,55.2,8.5,45,147,30.6,tight,2018
Cleveland Cavaliers,22,22,36.5,325,622,52.3,54.2,30.5,301,520,57.9,6.0,24,102,23.5,tight,2018
Houston Rockets,17,17,39.3,278,540,51.5,55.1,29.6,239,407,58.7,9.7,39,133,29.3,tight,2018
Boston Celtics,19,19,36.4,268,536,50.0,52.3,30.4,243,448,54.2,6.0,25,88,28.4,tight,2018
Toronto Raptors,10,10,40.1,175,311,56.3,58.8,34.2,159,265,60.0,5.9,16,46,34.8,tight,2018
Utah Jazz,11,11,33.8,160,287,55.7,56.6,31.2,155,265,58.5,2.6,5,22,22.7,tight,2018
Philadelphia 76ers,10,10,34.8,145,287,50.5,51.9,29.9,137,247,55.5,4.8,8,40,20.0,tight,2018
New Orleans Pelicans,9,9,32.7,139,250,55.6,57.4,30.2,130,231,56.3,2.5,9,19,47.4,tight,2018
Indiana Pacers,7,7,37.9,128,203,63.1,65.0,33.2,120,178,67.4,4.7,8,25,32.0,tight,2018
Oklahoma City Thunder,6,6,37.0,89,180,49.4,51.9,30.2,80,147,54.4,6.8,9,33,27.3,tight,2018
Milwaukee Bucks,7,7,33.2,108,172,62.8,63.7,31.3,105,162,64.8,1.9,3,10,30.0,tight,2018
Washington Wizards,6,6,34.6,92,164,56.1,58.2,30.8,85,146,58.2,3.8,7,18,38.9,tight,2018
San Antonio Spurs,5,5,38.1,79,150,52.7,54.0,33.5,75,132,56.8,4.6,4,18,22.2,tight,2018
Minnesota Timberwolves,5,5,38.3,76,146,52.1,53.1,33.9,73,129,56.6,4.5,3,17,17.6,tight,2018
Miami Heat,5,5,34.9,63,137,46.0,47.4,31.4,59,123,48.0,3.6,4,14,28.6,tight,2018
Portland Trail Blazers,4,4,37.4,75,126,59.5,60.3,34.7,73,117,62.4,2.7,2,9,22.2,tight,2018
Golden State Warriors,21,21,10.8,98,186,52.7,53.2,10.2,96,177,54.2,0.5,2,9,22.2,very_tight,2018
Cleveland Cavaliers,22,22,9.7,96,165,58.2,58.2,9.4,96,160,60.0,0.3,0,5,0.0,very_tight,2018
Boston Celtics,19,19,10.9,83,160,51.9,52.2,10.7,82,157,52.2,0.2,1,3,33.3,very_tight,2018
Houston Rockets,17,17,10.5,63,145,43.4,43.4,10.0,63,138,45.7,0.5,0,7,0.0,very_tight,2018
New Orleans Pelicans,9,9,15.9,76,122,62.3,62.7,15.8,75,121,62.0,0.1,1,1,100,very_tight,2018
Philadelphia 76ers,10,10,14.8,64,122,52.5,53.7,14.2,61,117,52.1,0.6,3,5,60.0,very_tight,2018
Toronto Raptors,10,10,13.8,48,107,44.9,44.9,13.4,48,104,46.2,0.4,0,3,0.0,very_tight,2018
Utah Jazz,11,11,10.2,47,87,54.0,54.0,10.2,47,87,54.0,0.0,0,0,-,very_tight,2018
Minnesota Timberwolves,5,5,14.2,33,54,61.1,61.1,14.2,33,54,61.1,0.0,0,0,-,very_tight,2018
Washington Wizards,6,6,11.2,28,53,52.8,53.8,11.0,27,52,51.9,0.2,1,1,100,very_tight,2018
Oklahoma City Thunder,6,6,10.3,21,50,42.0,43.0,9.3,20,45,44.4,1.0,1,5,20.0,very_tight,2018
Milwaukee Bucks,7,7,9.5,32,49,65.3,66.3,9.3,31,48,64.6,0.2,1,1,100,very_tight,2018
Indiana Pacers,7,7,8.4,26,45,57.8,58.9,8.2,25,44,56.8,0.2,1,1,100,very_tight,2018
Portland Trail Blazers,4,4,11.9,27,40,67.5,71.3,10.7,24,36,66.7,1.2,3,4,75.0,very_tight,2018
Miami Heat,5,5,9.7,16,38,42.1,46.1,8.9,13,35,37.1,0.8,3,3,100,very_tight,2018
San Antonio Spurs,5,5,8.9,16,35,45.7,48.6,7.6,14,30,46.7,1.3,2,5,40.0,very_tight,2018
Cleveland Cavaliers,22,22,21.9,156,373,41.8,56.0,4.9,50,84,59.5,17.0,106,289,36.7,wide_open,2018
Golden State Warriors,21,21,20.5,165,354,46.6,61.0,5.4,63,94,67.0,15.0,102,260,39.2,wide_open,2018
Boston Celtics,19,19,21.9,139,323,43.0,58.4,5.2,40,77,51.9,16.7,99,246,40.2,wide_open,2018
Houston Rockets,17,17,22.0,131,303,43.2,60.4,2.6,27,36,75.0,19.4,104,267,39.0,wide_open,2018
Utah Jazz,11,11,27.4,103,233,44.2,60.5,5.2,27,44,61.4,22.2,76,189,40.2,wide_open,2018
New Orleans Pelicans,9,9,25.8,86,197,43.7,57.4,6.8,32,52,61.5,19.0,54,145,37.2,wide_open,2018
