Player,Team,Age,GP,Min,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots
Aaron Gordon,ORL,23,5,164,1,2,6,1,0,1,100.0,0.0,0,20,9,29
Aaron Holiday,IND,22,3,13,0,0,0,0,1,1,0.0,100.0,0,1,1,2
Abdel Nader,OKC,25,3,5,0,0,0,0,0,0,0.0,0.0,0,1,0,1
Al Horford,BOS,33,9,310,34,79,11,2,10,12,16.7,83.3,0,68,49,117
Al-Farouq Aminu,POR,28,16,399,17,43,24,7,8,15,46.7,53.3,0,85,42,127
Alfonzo McKinnie,GSW,26,22,235,3,8,5,2,2,4,50.0,50.0,1,22,30,52
Amir Johnson,PHI,32,4,20,0,0,2,0,0,0,0.0,0.0,0,1,1,2
Andre Drummond,DET,25,4,127,26,57,11,2,1,3,66.7,33.3,2,30,17,47
Andre Iguodala,GSW,35,21,629,20,55,55,15,20,35,42.9,57.1,1,64,67,131
Andrew Bogut,GSW,34,19,179,17,42,8,3,1,4,75.0,25.0,3,57,21,78
Anfernee Simons,POR,20,5,12,0,0,1,0,0,0,0.0,0.0,0,1,1,2
Aron Baynes,BOS,32,9,115,7,15,6,0,1,1,0.0,100.0,0,32,12,44
Austin Rivers,HOU,26,10,215,4,8,8,2,4,6,33.3,66.7,0,27,27,54
Ben Simmons,PHI,22,12,421,18,45,47,9,4,13,69.2,30.8,0,43,46,89
Blake Griffin,DET,30,2,58,5,12,6,0,1,1,0.0,100.0,0,9,9,18
Boban Marjanovic,PHI,30,11,105,19,39,2,1,0,1,100.0,0.0,0,42,17,59
Bojan Bogdanovic,IND,30,4,148,1,2,7,3,1,4,75.0,25.0,0,12,8,20
Brad Wanamaker,BOS,29,4,17,0,0,2,0,0,0,0.0,0.0,0,2,5,7
Brook Lopez,MIL,31,15,438,24,55,8,3,8,11,27.3,72.7,0,213,58,271
Bruce Brown,DET,22,4,57,0,0,3,0,0,0,0.0,0.0,1,6,8,14
Bryn Forbes,SAS,25,7,212,3,6,3,1,3,4,25.0,75.0,0,12,9,21
CJ McCollum,POR,27,16,635,0,0,21,10,15,25,40.0,60.0,0,87,63,150
Caris LeVert,BKN,24,5,144,0,0,6,6,5,11,54.5,45.5,0,11,11,22
Chris Boucher,TOR,26,2,4,0,0,0,0,0,0,0.0,0.0,0,1,1,2
Chris Paul,HOU,34,11,397,1,2,26,12,6,18,66.7,33.3,0,27,13,40
Clint Capela,HOU,25,11,331,16,34,4,9,1,10,90.0,10.0,0,89,41,130
Cory Joseph,IND,27,4,85,2,6,6,0,0,0,0.0,0.0,0,6,6,12
D'Angelo Russell,BKN,23,5,148,0,0,12,1,3,4,25.0,75.0,0,11,9,20
D.J. Augustin,ORL,31,5,141,1,2,4,2,0,2,100.0,0.0,0,3,3,6
D.J. Wilson,MIL,23,8,43,1,2,1,0,0,0,0.0,0.0,0,5,5,10
Damian Jones,GSW,24,4,8,0,0,0,0,0,0,0.0,0.0,0,3,1,4
Damian Lillard,POR,28,16,650,0,0,51,8,12,20,40.0,60.0,7,33,33,66
Daniel Theis,BOS,27,7,42,5,11,1,0,1,1,0.0,100.0,1,12,3,15
Danilo Gallinari,LAC,30,6,201,3,7,8,5,3,8,62.5,37.5,0,34,25,59
Danny Green,TOR,32,24,684,10,25,49,5,12,17,29.4,70.6,2,100,77,177
Dante Cunningham,SAS,32,5,13,0,0,0,0,0,0,0.0,0.0,0,2,0,2
Danuel House Jr.,HOU,26,7,141,3,8,2,2,4,6,33.3,66.7,1,21,24,45
Darren Collison,IND,31,4,117,1,2,4,1,1,2,50.0,50.0,1,13,11,24
Davis Bertans,SAS,26,5,79,1,3,0,0,2,2,0.0,100.0,0,13,4,17
DeMar DeRozan,SAS,29,7,251,2,5,7,7,4,11,63.6,36.4,0,11,14,25
DeMarcus Cousins,GSW,28,8,133,5,13,11,1,0,1,100.0,0.0,0,38,26,64
DeMarre Carroll,BKN,32,5,119,6,15,4,2,3,5,40.0,60.0,0,8,14,22
Dennis Schroder,OKC,25,5,151,1,3,10,2,3,5,40.0,60.0,2,18,9,27
Deonte Burton,OKC,25,3,4,0,0,0,0,1,1,0.0,100.0,0,0,1,1
Derrick Favors,UTA,27,5,103,4,8,4,0,1,1,0.0,100.0,0,43,4,47
Derrick White,SAS,24,7,191,0,0,11,3,4,7,42.9,57.1,0,42,31,73
Domantas Sabonis,IND,23,4,96,10,24,3,3,0,3,100.0,0.0,0,17,8,25
Donatas Motiejunas,SAS,28,5,19,1,2,1,0,0,0,0.0,0.0,1,5,2,7
Donovan Mitchell,UTA,22,5,193,0,0,8,3,3,6,50.0,50.0,0,9,20,29
Doug McDermott,IND,27,3,29,0,0,0,2,0,2,100.0,0.0,0,0,2,2
Draymond Green,GSW,29,22,850,41,102,68,13,17,30,43.3,56.7,8,196,119,315
Dzanan Musa,BKN,20,2,15,1,2,1,0,0,0,0.0,0.0,0,1,2,3
Ed Davis,BKN,30,3,41,15,33,1,0,0,0,0.0,0.0,0,14,2,16
Edmond Sumner,IND,23,1,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Ekpe Udoh,UTA,32,2,6,2,4,0,0,0,0,0.0,0.0,0,4,2,6
Enes Freedom,POR,27,16,461,60,144,25,3,8,11,27.3,72.7,0,112,37,149
Eric Bledsoe,MIL,29,15,423,3,6,29,14,8,22,63.6,36.4,2,49,50,99
Eric Gordon,HOU,30,11,410,5,11,15,4,5,9,44.4,55.6,0,33,22,55
Eric Moreland,TOR,27,8,28,6,14,1,1,0,1,100.0,0.0,0,11,0,11
Ersan Ilyasova,MIL,32,15,272,8,17,13,5,5,10,50.0,50.0,6,55,30,85
Evan Fournier,ORL,26,5,175,0,0,17,4,2,6,66.7,33.3,1,20,18,38
Evan Turner,POR,30,16,245,6,17,8,2,4,6,33.3,66.7,0,36,28,64
Fred VanVleet,TOR,25,24,592,7,16,44,4,9,13,30.8,69.2,0,46,63,109
Furkan Korkmaz,PHI,21,4,36,0,0,1,1,0,1,100.0,0.0,0,3,4,7
Garrett Temple,LAC,33,6,63,2,5,4,0,0,0,0.0,0.0,0,9,7,16
Gary Clark,HOU,24,2,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Gary Harris,DEN,24,14,517,2,4,23,5,10,15,33.3,66.7,1,59,34,93
George Hill,MIL,33,15,395,3,6,24,4,8,12,33.3,66.7,1,44,46,90
Georges Niang,UTA,26,5,55,0,0,1,1,1,2,50.0,50.0,0,2,5,7
Gerald Green,HOU,33,11,97,2,5,4,1,1,2,50.0,50.0,0,11,14,25
Giannis Antetokounmpo,MIL,24,15,514,13,29,22,17,13,30,56.7,43.3,1,124,42,166
Glenn Robinson III,DET,25,3,36,0,0,3,1,0,1,100.0,0.0,0,3,4,7
Gordon Hayward,BOS,29,9,267,5,12,10,3,3,6,50.0,50.0,0,31,33,64
Grayson Allen,UTA,23,2,14,0,0,1,0,1,1,0.0,100.0,0,2,3,5
Greg Monroe,PHI,29,10,90,6,14,5,1,2,3,33.3,66.7,0,38,4,42
Guerschon Yabusele,BOS,23,4,14,1,2,1,0,1,1,0.0,100.0,0,2,0,2
Iman Shumpert,HOU,29,8,109,3,9,4,0,2,2,0.0,100.0,0,10,8,18
Isaiah Hartenstein,HOU,21,2,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Ish Smith,DET,30,4,81,0,0,4,0,2,2,0.0,100.0,0,10,3,13
Ivica Zubac,LAC,22,4,39,3,8,1,1,0,1,100.0,0.0,0,14,3,17
JJ Redick,PHI,35,12,375,11,24,6,1,0,1,100.0,0.0,0,18,20,38
JaMychal Green,LAC,29,6,141,10,24,3,4,1,5,80.0,20.0,0,22,13,35
Jacob Evans,GSW,22,7,18,0,0,0,0,0,0,0.0,0.0,0,2,0,2
Jae Crowder,UTA,28,5,130,2,4,9,0,1,1,0.0,100.0,0,5,17,22
Jake Layman,POR,25,6,20,0,0,1,1,0,1,100.0,0.0,0,2,1,3
Jakob Poeltl,SAS,23,7,177,23,49,6,4,1,5,80.0,20.0,1,87,27,114
Jamal Murray,DEN,22,14,508,8,18,28,12,9,21,57.1,42.9,1,64,49,113
James Ennis III,PHI,28,11,232,3,9,8,3,3,6,50.0,50.0,4,12,18,30
James Harden,HOU,29,11,424,5,10,33,5,9,14,35.7,64.3,1,56,31,87
Jared Dudley,BKN,33,4,82,5,11,9,1,0,1,100.0,0.0,0,24,7,31
Jarell Martin,ORL,25,3,18,0,0,0,0,0,0,0.0,0.0,0,1,6,7
Jarred Vanderbilt,DEN,20,3,5,0,0,0,0,0,0,0.0,0.0,0,3,1,4
Jarrett Allen,BKN,21,5,110,18,44,5,1,0,1,100.0,0.0,0,72,9,81
Jaylen Brown,BOS,22,9,274,1,2,15,3,5,8,37.5,62.5,0,28,31,59
Jayson Tatum,BOS,21,9,295,2,5,19,2,6,8,25.0,75.0,0,29,24,53
Jerami Grant,OKC,25,5,176,11,22,7,2,3,5,40.0,60.0,1,54,17,71
Jeremy Lin,TOR,30,8,27,0,0,1,0,0,0,0.0,0.0,0,3,7,10
Jerian Grant,ORL,26,3,14,0,0,0,0,0,0,0.0,0.0,0,2,2,4
Jerome Robinson,LAC,22,5,46,1,2,3,0,2,2,0.0,100.0,0,6,4,10
Jimmy Butler,PHI,29,12,421,3,6,31,5,4,9,55.6,44.4,0,35,30,65
Jodie Meeks,TOR,31,14,67,0,0,6,2,1,3,66.7,33.3,0,5,11,16
Joe Harris,BKN,27,5,149,6,14,4,3,7,10,30.0,70.0,0,25,8,33
Joe Ingles,UTA,31,5,151,0,0,14,1,1,2,50.0,50.0,0,7,17,24
Joel Embiid,PHI,25,11,334,30,69,11,8,3,11,72.7,27.3,0,111,26,137
Jon Leuer,DET,30,1,5,0,0,0,0,0,0,0.0,0.0,0,1,2,3
Jonah Bolden,PHI,23,10,79,8,18,1,0,0,0,0.0,0.0,0,13,7,20
Jonas Jerebko,GSW,32,16,121,4,11,2,2,0,2,100.0,0.0,0,17,8,25
Jonathan Isaac,ORL,21,5,137,0,0,12,1,1,2,50.0,50.0,0,35,7,42
Jonathon Simmons,PHI,29,7,52,0,0,1,0,1,1,0.0,100.0,0,0,4,4
Jordan Bell,GSW,24,15,106,16,40,8,1,0,1,100.0,0.0,0,31,22,53
Jose Calderon,DET,37,3,10,0,0,0,0,1,1,0.0,100.0,0,2,1,3
Juancho Hernangomez,DEN,23,5,15,0,0,1,0,0,0,0.0,0.0,0,1,3,4
Kawhi Leonard,TOR,28,24,939,5,12,72,18,20,38,47.4,52.6,0,120,77,197
Kenneth Faried,HOU,29,6,56,3,7,4,0,1,1,0.0,100.0,1,9,1,10
Kevin Durant,GSW,30,12,442,1,3,19,2,3,5,40.0,60.0,3,50,46,96
Kevon Looney,GSW,23,21,431,37,96,22,3,11,14,21.4,78.6,1,128,83,211
Khem Birch,ORL,26,5,92,11,24,2,2,1,3,66.7,33.3,0,26,7,33
Khris Middleton,MIL,27,15,515,5,13,21,7,8,15,46.7,53.3,1,46,47,93
Khyri Thomas,DET,23,3,15,0,0,3,0,0,0,0.0,0.0,0,2,0,2
Klay Thompson,GSW,29,21,818,5,14,52,14,8,22,63.6,36.4,0,91,61,152
Kyle Korver,UTA,38,4,30,2,4,2,1,0,1,100.0,0.0,1,2,5,7
