TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Golden State Warriors,24,24,27.4,250,529,47.3,57.9,12.5,137,241,56.8,14.9,113,288,39.2
Toronto Raptors,20,20,31.0,201,474,42.4,48.9,18.0,139,275,50.5,13.0,62,199,31.2
Cleveland Cavaliers,21,21,29.0,219,470,46.6,56.6,15.0,125,244,51.2,13.9,94,226,41.6
Oklahoma City Thunder,18,18,23.9,170,347,49.0,56.2,14.3,120,207,58.0,9.7,50,140,35.7
Portland Trail Blazers,11,11,28.2,110,258,42.6,49.8,16.7,73,153,47.7,11.5,37,105,35.2
Miami Heat,14,14,23.2,123,250,49.2,57.8,13.9,80,150,53.3,9.3,43,100,43.0
San Antonio Spurs,10,10,28.0,105,218,48.2,54.4,20.6,78,160,48.8,7.5,27,58,46.6
Atlanta Hawks,10,10,24.3,77,193,39.9,46.6,13.0,51,103,49.5,11.3,26,90,28.9
Charlotte Hornets,7,7,29.4,57,151,37.7,43.4,18.3,40,94,42.6,11.1,17,57,29.8
Boston Celtics,6,6,28.9,51,140,36.4,42.1,16.1,35,78,44.9,12.8,16,62,25.8
LA Clippers,6,6,26.4,58,129,45.0,51.6,17.4,41,85,48.2,9.0,17,44,38.6
Indiana Pacers,7,7,25.2,58,124,46.8,53.6,15.7,41,77,53.2,9.6,17,47,36.2
Dallas Mavericks,5,5,29.2,42,112,37.5,40.6,17.5,35,67,52.2,11.7,7,45,15.6
Houston Rockets,5,5,23.6,38,95,40.0,47.9,10.4,23,42,54.8,13.2,15,53,28.3
Memphis Grizzlies,4,4,28.8,34,83,41.0,47.0,19.1,24,55,43.6,9.7,10,28,35.7
Detroit Pistons,4,4,25.4,33,74,44.6,54.7,13.4,18,39,46.2,12.0,15,35,42.9
