Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Atlanta Hawks,81,38,43,19590,3130,502,1211,41.5,297,378,78.6,1334,42.6,1139,36.4,308,9.8,223,7.1,191,6.1
Boston Celtics,82,25,57,19730,2493,413,986,41.9,275,367,74.9,1133,45.4,838,33.6,243,9.7,194,7.8,187,7.5
Brooklyn Nets,81,43,38,19640,2959,516,1167,44.2,411,531,77.4,1477,49.9,944,31.9,270,9.1,227,7.7,274,9.3
Charlotte Bobcats,81,42,39,19665,2830,468,1133,41.3,387,498,77.7,1352,47.8,964,34.1,253,8.9,173,6.1,252,8.9
Chicago Bulls,82,48,34,19930,2197,339,877,38.7,245,320,76.6,940,42.8,733,33.4,224,10.2,153,7.0,165,7.5
Cleveland Cavaliers,82,33,49,19930,3075,591,1322,44.7,279,376,74.2,1506,49.0,987,32.1,281,9.1,233,7.6,192,6.2
Dallas Mavericks,82,49,33,19830,2685,470,1059,44.4,306,382,80.1,1280,47.7,824,30.7,368,13.7,181,6.7,193,7.2
Denver Nuggets,82,36,46,19755,3210,538,1258,42.8,370,497,74.4,1478,46.0,1112,34.6,315,9.8,196,6.1,253,7.9
Detroit Pistons,82,29,53,19780,2741,542,1269,42.7,330,455,72.5,1464,53.4,763,27.8,256,9.3,180,6.6,230,8.4
Golden State Warriors,81,50,31,19590,2291,414,967,42.8,260,342,76.0,1109,48.4,670,29.2,253,11.0,175,7.6,175,7.6
Houston Rockets,82,54,28,19830,3437,613,1364,44.9,443,564,78.5,1708,49.7,1140,33.2,321,9.3,250,7.3,285,8.3
Indiana Pacers,82,56,26,19780,2316,472,1020,46.3,285,357,79.8,1268,54.7,687,29.7,214,9.2,172,7.4,181,7.8
Los Angeles Clippers,82,57,25,19755,2286,420,927,45.3,279,338,82.5,1153,50.4,768,33.6,240,10.5,134,5.9,174,7.6
Los Angeles Lakers,82,27,55,19705,2695,425,1014,41.9,255,354,72.0,1134,42.1,929,34.5,298,11.1,212,7.9,178,6.6
Memphis Grizzlies,82,50,32,19805,2483,434,976,44.5,254,333,76.3,1138,45.8,885,35.6,211,8.5,182,7.3,172,6.9
Miami Heat,82,54,28,19880,3188,600,1166,51.5,329,447,73.6,1579,49.5,1146,35.9,322,10.1,241,7.6,230,7.2
Milwaukee Bucks,81,15,66,19640,2738,460,1150,40.0,330,416,79.3,1270,46.4,894,32.7,230,8.4,187,6.8,213,7.8
Minnesota Timberwolves,82,40,42,19855,2638,410,1031,39.8,321,399,80.5,1174,44.5,895,33.9,266,10.1,194,7.4,202,7.7
New Orleans Pelicans,82,34,48,19855,3444,702,1651,42.5,387,527,73.4,1837,53.3,903,26.2,323,9.4,237,6.9,268,7.8
New York Knicks,82,37,45,19855,2307,404,913,44.2,284,372,76.3,1125,48.8,744,32.2,242,10.5,177,7.7,189,8.2
Oklahoma City Thunder,82,59,23,19805,2609,553,1186,46.6,396,470,84.3,1541,59.1,691,26.5,244,9.4,193,7.4,241,9.2
Orlando Magic,82,23,59,19955,2738,466,1111,41.9,321,417,77.0,1297,47.4,896,32.7,244,8.9,214,7.8,212,7.7
Philadelphia 76ers,82,19,63,19855,3490,673,1638,41.1,403,568,71.0,1796,51.5,961,27.5,253,7.2,265,7.6,291,8.3
Phoenix Suns,82,48,34,19755,2960,549,1202,45.7,311,418,74.4,1446,48.9,1009,34.1,271,9.2,210,7.1,213,7.2
Portland Trail Blazers,82,54,28,19855,2276,404,947,42.7,317,384,82.6,1149,50.5,700,30.8,240,10.5,145,6.4,198,8.7
Sacramento Kings,81,28,53,19590,2682,537,1237,43.4,356,433,82.2,1482,55.3,751,28.0,207,7.7,210,7.8,224,8.4
San Antonio Spurs,82,62,20,19755,2926,547,1124,48.7,259,321,80.7,1376,47.0,1049,35.9,315,10.8,195,6.7,162,5.5
Toronto Raptors,81,47,34,19715,3090,522,1214,43.0,357,436,81.9,1434,46.4,1049,33.9,314,10.2,213,6.9,224,7.2
Utah Jazz,82,25,57,19780,2719,447,1078,41.5,268,356,75.3,1214,44.6,932,34.3,262,9.6,186,6.8,181,6.7
Washington Wizards,81,44,37,19815,2222,331,796,41.6,249,335,74.3,941,42.3,786,35.4,227,10.2,186,8.4,168,7.6
