PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Jared Butler,OKC,22,G,2,1,14.3,2.0,2.0,100.0,52.4,47.7
Dylan Windler,CLE,26,G-F,2,1,20.0,1.0,1.0,100.0,57.8,42.2
Facundo Campazzo,DAL,32,G,5,2,14.3,2.0,2.0,100.0,58.7,41.4
Deonte Burton,SAC,29,G-F,1,1,100.0,1.0,1.0,100.0,59.2,40.8
Jordan Hall,SAS,21,G,8,6,30.0,9.0,9.0,100.0,59.7,40.3
Cole Swider,LAL,23,F,5,3,23.8,5.0,5.0,100.0,61.9,38.1
Tyler Dorsey,DAL,27,G,2,1,66.7,2.0,2.0,100.0,62.4,37.6
Devon Dotson,WAS,23,G,4,2,20.0,3.0,3.0,100.0,63.2,36.8
Isaiah Mobley,CLE,23,F,7,3,25.0,3.0,3.0,100.0,63.6,36.4
A.J. Lawson,DAL,22,G,6,3,26.1,6.0,6.0,100.0,64.8,35.2
Mfiondu Kabengele,BOS,25,C,2,1,33.3,1.0,1.0,100.0,67.7,32.3
Jamaree Bouyea,WAS,23,G,5,4,39.1,8.0,9.0,88.9,61.6,27.3
Chima Moneke,SAC,27,F,1,1,25.0,1.0,1.0,100.0,75.4,24.6
Ryan Rollins,GSW,20,G,7,4,23.8,4.0,5.0,80.0,55.7,24.3
Buddy Boeheim,DET,23,F,7,6,29.4,9.0,10.0,90.0,68.0,22.0
Danny Green,CLE,35,G,8,4,25.8,7.0,8.0,87.5,65.9,21.6
Lindell Wigginton,MIL,25,G,2,2,66.7,2.0,2.0,100.0,78.4,21.6
Kendall Brown,IND,19,G,4,3,30.0,5.0,6.0,83.3,62.7,20.6
Jamal Cain,MIA,24,F,14,9,23.1,14.0,18.0,77.8,58.0,19.8
Micah Potter,UTA,24,C,4,4,57.1,6.0,8.0,75.0,58.7,16.3
Ish Smith,DEN,34,G,30,23,34.4,34.0,44.0,77.3,61.4,15.9
Kenneth Lofton Jr.,MEM,20,F,15,9,42.1,12.0,16.0,75.0,61.4,13.6
Saben Lee,PHX,23,G,20,16,31.9,28.0,37.0,75.7,62.2,13.5
Patrick Baldwin Jr.,GSW,20,F,24,22,49.4,30.0,40.0,75.0,61.7,13.3
