Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
A.J. Lawson,DAL,13,5,8,63,34,63,42,2,1.39,0.62,0.54,0,0,2,0.0,0.0,2.0
AJ Green,MIL,31,25,6,294,139,372,227,16,2.63,1.85,0.374,3,0,10,0.0,0.0,0.8
AJ Griffin,ATL,61,28,33,1182,534,1282,872,44,2.05,1.47,0.417,29,1,39,0.793,2.0,1.0
Aaron Gordon,DEN,57,39,18,1717,959,2409,1341,118,2.94,2.11,0.398,103,122,394,0.505,0.754,1.18
Aaron Holiday,ATL,54,28,26,732,213,1071,429,72,4.05,3.66,0.199,7,0,21,0.286,0.0,0.571
Aaron Nesmith,IND,60,26,34,1479,579,2063,1191,57,1.65,0.79,0.281,25,0,64,0.8,0.0,0.844
Aaron Wiggins,OKC,57,31,26,1066,380,1217,777,40,1.97,1.33,0.312,31,2,122,0.387,1.0,0.852
Admiral Schofield,ORL,31,12,19,368,129,560,262,16,1.7,0.8,0.23,14,0,30,0.571,0.0,0.767
Al Horford,BOS,55,38,17,1707,540,2557,1423,65,1.52,0.46,0.211,66,54,156,0.288,0.407,0.526
Alec Burks,DET,50,12,38,1102,646,1729,1059,87,3.03,2.34,0.374,16,15,18,0.625,0.533,0.611
Aleksej Pokusevski,OKC,31,15,16,677,273,1375,749,37,1.6,0.75,0.199,51,0,105,0.608,0.0,0.724
Alex Caruso,CHI,56,24,32,1353,318,2505,1033,110,2.63,1.88,0.127,45,1,75,0.267,0.0,0.6
Alex Len,SAC,17,11,6,53,13,94,50,2,1.5,0.42,0.138,18,0,12,0.333,0.0,0.75
Alize Johnson,SAS,4,1,3,30,7,46,22,2,2.7,1.98,0.152,0,1,4,0.0,0.0,0.0
Alondes Williams,BKN,1,1,0,5,0,9,3,0,2.72,2.0,0.0,0,0,0,0.0,0.0,0.0
Alperen Sengun,HOU,63,13,50,1785,926,3430,2381,141,2.46,1.28,0.27,329,278,442,0.547,0.514,0.765
Amir Coffey,LAC,45,23,22,593,164,644,471,27,2.52,1.7,0.255,6,0,12,0.167,0.0,0.333
Andre Drummond,CHI,55,24,31,711,338,983,615,23,1.43,0.48,0.344,95,23,251,0.632,0.522,0.94
Andre Iguodala,GSW,7,2,5,95,12,171,93,5,1.76,0.68,0.07,5,0,9,0.4,0.0,0.889
Andrew Nembhard,IND,62,28,34,1668,512,2742,1397,158,3.47,3.13,0.187,27,3,39,0.519,0.0,0.59
Andrew Wiggins,GSW,36,18,18,1163,617,1663,1138,63,2.28,1.48,0.371,26,62,118,0.808,0.581,0.992
Anfernee Simons,POR,60,27,33,2099,1273,4066,1952,324,4.78,4.18,0.313,17,0,35,1.118,0.0,0.857
Anthony Davis,LAL,44,22,22,1475,1147,2993,1640,106,2.12,0.87,0.383,220,222,479,0.745,0.752,1.196
Anthony Edwards,MIN,70,35,35,2550,1747,5070,2578,339,4.01,3.49,0.345,38,43,65,0.868,0.674,0.954
Anthony Gill,WAS,46,18,28,458,145,458,300,13,1.72,0.67,0.317,21,1,56,0.571,2.0,1.25
Anthony Lamb,GSW,49,27,22,981,338,1665,898,50,1.79,0.93,0.203,33,18,87,0.333,0.0,0.54
Austin Reaves,LAL,52,26,26,1437,599,1993,1062,112,3.36,2.85,0.301,27,0,51,0.444,0.0,0.667
