PLAYER,TEAM,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID
Aaron Holiday,IND,4,72.0,4,6,66.7,4.0,6.0,66.7,100.0,12,1628988
Abdel Nader,OKC,3,25.0,1,3,33.300000000000004,1.0,3.0,33.300000000000004,50.0,3,1627846
Al Horford,PHI,4,128.0,0,4,0.0,0.0,4.0,0.0,0.0,0,201143
Alec Burks,PHI,4,95.0,2,9,22.2,2.0,9.0,22.2,33.300000000000004,6,202692
Alex Caruso,LAL,21,510.0,16,55,29.099999999999998,16.0,54.0,29.599999999999998,43.6,48,1627936
Alize Johnson,IND,1,0.0,0,0,,,,,,0,1628993
Amir Coffey,LAC,3,7.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1629599
Andre Iguodala,MIA,21,410.0,14,38,36.8,14.0,37.0,37.8,55.300000000000004,42,2738
Andre Roberson,OKC,1,3.0,0,1,0.0,0.0,1.0,0.0,0.0,0,203460
Anfernee Simons,POR,4,82.0,2,8,25.0,2.0,8.0,25.0,37.5,6,1629014
Anthony Davis,LAL,21,769.0,32,73,43.8,19.0,50.0,38.0,56.8,83,203076
Antonius Cleveland,DAL,2,9.0,0,0,,,,,,0,1628499
Austin Rivers,HOU,12,211.0,6,23,26.1,6.0,23.0,26.1,39.1,18,203085
BJ Johnson,ORL,1,4.0,0,0,,0.0,0.0,,,0,1629168
Bam Adebayo,MIA,19,687.0,17,33,51.5,0.0,0.0,,51.5,34,1628389
Ben McLemore,HOU,11,130.0,14,30,46.7,14.0,30.0,46.7,70.0,42,203463
Boban Marjanović,DAL,6,82.0,4,6,66.7,0.0,0.0,,66.7,8,1626246
Bol Bol,DEN,4,21.0,1,2,50.0,1.0,2.0,50.0,75.0,3,1629626
Brad Wanamaker,BOS,17,273.0,8,19,42.1,8.0,19.0,42.1,63.2,24,202954
Brook Lopez,MIL,10,328.0,19,49,38.800000000000004,18.0,46.0,39.1,57.099999999999994,56,201572
Bruno Caboclo,HOU,2,7.0,0,1,0.0,0.0,1.0,0.0,0.0,0,203998
CJ McCollum,POR,5,196.0,6,14,42.9,6.0,14.0,42.9,64.3,18,203468
Caris LeVert,BKN,4,140.0,5,8,62.5,5.0,8.0,62.5,93.8,15,1627747
Carmelo Anthony,POR,5,176.0,6,18,33.300000000000004,6.0,15.0,40.0,50.0,18,2546
Carsen Edwards,BOS,1,3.0,0,0,,,,,,0,1629035
Chris Boucher,TOR,7,43.0,2,5,40.0,2.0,5.0,40.0,60.0,6,1628449
Chris Chiozza,BKN,4,65.0,2,8,25.0,2.0,8.0,25.0,37.5,6,1629185
Chris Clemons,HOU,2,8.0,1,3,33.300000000000004,1.0,3.0,33.300000000000004,50.0,3,1629598
Chris Paul,OKC,7,261.0,4,13,30.8,4.0,13.0,30.8,46.2,12,101108
D.J. Augustin,ORL,5,128.0,4,8,50.0,3.0,7.0,42.9,68.8,11,201571
Damian Lillard,POR,4,143.0,2,9,22.2,2.0,9.0,22.2,33.300000000000004,6,203081
Daniel Theis,BOS,17,482.0,7,33,21.2,4.0,25.0,16.0,27.3,18,1628464
Danilo Gallinari,OKC,7,212.0,12,35,34.300000000000004,10.0,31.0,32.300000000000004,48.6,34,201568
Danny Green,LAL,21,525.0,33,99,33.300000000000004,33.0,99.0,33.300000000000004,50.0,99,201980
Danuel House Jr.,HOU,9,279.0,15,42,35.699999999999996,15.0,41.0,36.6,53.6,45,1627863
Darius Bazley,OKC,7,126.0,9,15,60.0,9.0,15.0,60.0,90.0,27,1629647
DeMarre Carroll,HOU,2,6.0,0,0,,,,,,0,201960
Delon Wright,DAL,4,53.0,1,1,100.0,1.0,1.0,100.0,150.0,3,1626153
Dennis Schröder,OKC,7,227.0,8,28,28.599999999999998,8.0,27.0,29.599999999999998,42.9,24,203471
Deonte Burton,OKC,1,2.0,0,0,,,,,,0,1629126
Derrick Jones Jr.,MIA,15,97.0,4,7,57.099999999999994,4.0,7.0,57.099999999999994,85.7,12,1627884
Dion Waiters,LAL,5,38.0,0,2,0.0,0.0,2.0,0.0,0.0,0,203079
Donovan Mitchell,UTA,7,264.0,7,12,58.3,7.0,12.0,58.3,87.5,21,1628378
Donta Hall,BKN,3,20.0,1,1,100.0,,,,100.0,2,1629743
Donte DiVincenzo,MIL,10,165.0,5,17,29.4,5.0,17.0,29.4,44.1,15,1628978
