Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
Aaron Holiday,IND,4,0,4,72.0,31,98,54,4.8,2.93,2.64,0.316,0,0,0,0.0,0.0,0.0,1628988,1610612754
Abdel Nader,OKC,3,0,3,25.0,4,30,21,1.0,2.08,1.1,0.133,0,0,1,0.0,0.0,0.0,1627846,1610612760
Al Horford,PHI,4,0,4,128.0,28,174,119,5.6,1.93,0.58,0.161,22,25,17,0.045,0.68,0.706,201143,1610612755
Alec Burks,PHI,4,0,4,95.0,42,192,84,13.7,4.28,3.98,0.219,0,2,7,0.0,1.0,0.857,202692,1610612755
Alex Caruso,LAL,21,16,5,510.0,137,896,422,44.1,2.95,2.24,0.153,22,0,37,0.409,0.0,0.649,1627936,1610612747
Alize Johnson,IND,1,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1628993,1610612754
Amir Coffey,LAC,3,3,0,7.0,2,8,6,0.3,2.4,2.13,0.25,0,0,0,0.0,0.0,0.0,1629599,1610612746
Andre Iguodala,MIA,21,14,7,410.0,79,611,292,27.2,2.67,1.65,0.129,14,4,23,0.143,0.0,0.348,2738,1610612748
Andre Roberson,OKC,1,0,1,3.0,0,4,3,0.1,0.86,0.75,0.0,0,0,0,0.0,0.0,0.0,203460,1610612760
Anfernee Simons,POR,4,0,4,82.0,27,125,39,7.7,3.71,3.22,0.216,2,0,2,0.5,0.0,0.5,1629014,1610612757
Anthony Davis,LAL,21,16,5,769.0,582,1316,833,51.2,2.34,1.01,0.442,58,159,149,0.552,0.535,1.161,203076,1610612747
Antonius Cleveland,DAL,2,0,2,9.0,4,16,12,0.4,1.66,1.06,0.25,0,0,2,0.0,0.0,1.0,1628499,1610612742
Austin Rivers,HOU,12,5,7,211.0,57,282,155,16.3,3.47,2.95,0.202,5,0,6,0.4,0.0,0.0,203085,1610612745
BJ Johnson,ORL,1,0,1,4.0,3,4,0,0.4,6.4,6.0,0.75,0,0,0,0.0,0.0,0.0,1629168,1610612753
Bam Adebayo,MIA,19,13,6,687.0,338,1269,862,55.4,2.62,1.16,0.266,180,77,174,0.428,0.182,0.931,1628389,1610612748
Ben McLemore,HOU,11,4,7,130.0,44,126,82,2.4,1.17,0.41,0.349,1,0,3,0.0,0.0,0.0,203463,1610612745
Boban Marjanović,DAL,6,2,4,82.0,41,148,69,3.8,1.56,0.48,0.277,11,18,25,0.182,0.833,1.28,1626246,1610612742
Bol Bol,DEN,4,0,4,21.0,19,21,15,0.8,2.4,1.72,0.905,2,3,2,0.0,1.333,2.0,1629626,1610612743
Brad Wanamaker,BOS,17,10,7,273.0,84,512,240,28.6,3.35,2.96,0.164,6,0,5,1.167,0.0,0.4,202954,1610612738
Brook Lopez,MIL,10,5,5,328.0,158,310,209,7.9,1.52,0.36,0.51,11,22,49,1.091,0.591,1.02,201572,1610612749
Bruno Caboclo,HOU,2,1,1,7.0,2,12,5,0.3,1.3,0.92,0.167,1,0,1,2.0,0.0,2.0,203998,1610612745
CJ McCollum,POR,5,1,4,196.0,116,378,136,31.6,5.02,4.62,0.307,4,3,6,0.0,0.0,0.667,203468,1610612757
Caris LeVert,BKN,4,0,4,140.0,81,345,159,29.3,5.1,4.86,0.235,3,6,9,0.0,0.5,0.222,1627747,1610612751
Carmelo Anthony,POR,5,1,4,176.0,76,192,128,8.0,2.51,1.37,0.396,9,18,8,1.0,0.722,1.125,2546,1610612757
Carsen Edwards,BOS,1,1,0,3.0,0,3,1,0.1,2.61,2.33,0.0,0,0,0,0.0,0.0,0.0,1629035,1610612738
Chris Boucher,TOR,7,4,3,43.0,8,58,27,1.6,1.66,0.52,0.138,1,1,5,2.0,2.0,0.4,1628449,1610612761
Chris Chiozza,BKN,4,0,4,65.0,23,155,55,9.9,3.84,3.43,0.148,0,0,2,0.0,0.0,0.0,1629185,1610612751
Chris Clemons,HOU,2,1,1,8.0,7,13,3,1.0,4.59,4.39,0.538,0,0,0,0.0,0.0,0.0,1629598,1610612745
Chris Paul,OKC,7,3,4,261.0,149,607,229,52.2,5.16,4.27,0.245,3,4,2,1.0,0.0,1.0,101108,1610612760
D.J. Augustin,ORL,5,1,4,128.0,66,276,76,30.2,6.57,7.35,0.239,1,0,1,0.0,0.0,0.0,201571,1610612753
Damian Lillard,POR,4,1,3,143.0,97,294,111,27.5,5.6,5.14,0.33,2,4,4,1.0,0.5,1.0,203081,1610612757
Daniel Theis,BOS,17,10,7,482.0,152,546,369,13.4,1.47,0.4,0.278,31,8,117,0.677,1.0,0.889,1628464,1610612738
Danilo Gallinari,OKC,7,3,4,212.0,105,336,202,12.7,2.27,0.85,0.313,11,19,16,0.364,0.526,1.125,201568,1610612760
Danny Green,LAL,21,16,5,525.0,167,692,404,17.6,1.53,0.74,0.241,6,1,31,0.0,0.0,0.452,201980,1610612747
Danuel House Jr.,HOU,9,5,4,279.0,103,319,171,9.1,1.71,0.9,0.323,9,0,18,0.333,0.0,0.722,1627863,1610612745
Darius Bazley,OKC,7,3,4,126.0,46,184,84,6.3,2.04,1.12,0.25,1,0,5,0.0,0.0,0.0,1629647,1610612760
DeMarre Carroll,HOU,2,2,0,6.0,2,15,6,0.8,3.36,2.2,0.133,0,0,0,0.0,0.0,0.0,201960,1610612745
Delon Wright,DAL,4,1,3,53.0,16,80,44,4.7,3.55,2.96,0.2,1,0,6,0.0,0.0,0.0,1626153,1610612742
Dennis Schröder,OKC,7,3,4,227.0,121,478,227,33.3,4.18,3.26,0.253,1,0,1,0.0,0.0,0.0,203471,1610612760
Deonte Burton,OKC,1,0,1,2.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1629126,1610612760
Derrick Jones Jr.,MIA,15,9,6,97.0,22,104,60,2.6,1.5,0.54,0.212,4,0,14,0.25,0.0,0.286,1627884,1610612748
Dion Waiters,LAL,5,3,2,38.0,10,56,23,4.8,5.18,4.73,0.179,0,0,0,0.0,0.0,0.0,203079,1610612747
Donovan Mitchell,UTA,7,3,4,264.0,254,553,231,54.7,5.94,5.52,0.459,5,0,7,0.4,0.0,1.143,1628378,1610612762
Donta Hall,BKN,3,0,3,20.0,7,22,15,0.5,1.24,0.27,0.318,3,0,8,0.667,0.0,0.625,1629743,1610612751
