PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Patrick Patterson,LAC,31,F,1,1,33.3,1.0,1.0,100.0,41.7,58.3
Talen Horton-Tucker,LAL,19,G,2,1,10.0,1.0,1.0,100.0,53.7,46.3
Jaylen Adams,POR,24,G,2,1,20.0,1.0,1.0,100.0,57.1,42.9
Dion Waiters,LAL,28,G,4,2,23.1,3.0,3.0,100.0,57.5,42.5
Mike Muscala,OKC,28,F-C,2,2,42.9,6.0,6.0,100.0,57.7,42.4
Delon Wright,DAL,28,G,3,3,40.0,4.0,4.0,100.0,58.9,41.2
Amir Coffey,LAC,23,G-F,1,1,50.0,1.0,1.0,100.0,58.8,41.2
JR Smith,LAL,34,G,10,5,17.9,5.0,5.0,100.0,59.2,40.8
Andre Roberson,OKC,28,G-F,1,1,33.3,1.0,1.0,100.0,61.6,38.4
T.J. McConnell,IND,28,G,3,2,22.2,2.0,2.0,100.0,63.4,36.6
Troy Daniels,DEN,28,G,4,1,12.5,1.0,1.0,100.0,64.3,35.7
Justin Jackson,DAL,25,F,2,1,22.2,2.0,2.0,100.0,64.6,35.4
Bruno Caboclo,HOU,24,F,1,1,33.3,1.0,1.0,100.0,66.7,33.3
Chris Chiozza,BKN,24,G,4,4,30.8,8.0,8.0,100.0,66.8,33.2
Meyers Leonard,MIA,28,F-C,3,3,26.3,5.0,5.0,100.0,69.9,30.1
Terrance Ferguson,OKC,22,G,4,3,31.6,5.0,6.0,83.3,54.4,28.9
George Hill,MIL,34,G,10,9,22.4,15.0,17.0,88.2,63.2,25.0
Shake Milton,PHI,23,G-F,4,4,21.6,9.0,11.0,81.8,59.1,22.7
Quinn Cook,LAL,27,G,6,5,60.0,5.0,6.0,83.3,61.2,22.1
Jared Dudley,LAL,34,F,6,3,56.3,7.0,9.0,77.8,59.1,18.7
Josh Richardson,PHI,26,G,4,4,21.6,6.0,8.0,75.0,57.4,17.7
Joe Harris,BKN,28,G-F,2,2,48.0,9.0,12.0,75.0,58.3,16.7
Donta Hall,BKN,22,F,3,3,33.3,3.0,4.0,75.0,60.2,14.8
Terrence Ross,ORL,29,G-F,5,5,27.6,13.0,16.0,81.3,66.8,14.4
Brad Wanamaker,BOS,30,G,17,15,41.2,32.0,42.0,76.2,61.9,14.3
