PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj,PLAYER_ID,TEAM_ID,FT_AST
Aaron Holiday,IND,4,0,4,72.0,68,81,10,0,19,27,11,0.147,0.162,1628988,1610612754,1.0
Abdel Nader,OKC,3,0,3,25.0,21,22,0,0,3,0,0,0.0,0.0,1627846,1610612760,0.0
Al Horford,PHI,4,0,4,128.0,137,116,9,2,23,25,12,0.066,0.088,201143,1610612755,1.0
Alec Burks,PHI,4,0,4,95.0,126,146,7,2,14,18,10,0.056,0.079,202692,1610612755,1.0
Alex Caruso,LAL,21,16,5,510.0,711,645,59,10,105,160,77,0.083,0.108,1627936,1610612747,9.0
Alize Johnson,IND,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,1628993,1610612754,
Amir Coffey,LAC,3,3,0,7.0,4,7,4,0,3,11,4,1.0,1.0,1629599,1610612746,0.0
Andre Iguodala,MIA,21,14,7,410.0,520,384,31,3,83,87,39,0.06,0.075,2738,1610612748,5.0
Andre Roberson,OKC,1,0,1,3.0,3,3,0,0,1,2,1,0.0,0.333,203460,1610612760,1.0
Anfernee Simons,POR,4,0,4,82.0,93,76,10,1,12,27,12,0.108,0.129,1629014,1610612757,1.0
Anthony Davis,LAL,21,16,5,769.0,798,859,73,14,116,190,92,0.091,0.115,203076,1610612747,7.0
Antonius Cleveland,DAL,2,0,2,9.0,11,12,0,0,0,0,0,0.0,0.0,1628499,1610612742,0.0
Austin Rivers,HOU,12,5,7,211.0,202,195,16,2,33,41,18,0.079,0.089,203085,1610612745,0.0
BJ Johnson,ORL,1,0,1,4.0,2,2,0,0,0,0,0,0.0,0.0,1629168,1610612753,0.0
Bam Adebayo,MIA,19,13,6,687.0,906,921,84,5,183,241,105,0.093,0.116,1628389,1610612748,15.0
Ben McLemore,HOU,11,4,7,130.0,83,77,6,1,10,16,7,0.072,0.084,203463,1610612745,0.0
Boban Marjanović,DAL,6,2,4,82.0,107,76,5,0,5,12,5,0.047,0.047,1626246,1610612742,0.0
Bol Bol,DEN,4,0,4,21.0,7,11,0,0,3,0,0,0.0,0.0,1629626,1610612743,0.0
Brad Wanamaker,BOS,17,10,7,273.0,412,375,30,6,58,80,39,0.073,0.095,202954,1610612738,3.0
Brook Lopez,MIL,10,5,5,328.0,171,196,5,1,15,11,7,0.029,0.041,201572,1610612749,2.0
Bruno Caboclo,HOU,2,1,1,7.0,8,5,0,0,1,0,0,0.0,0.0,203998,1610612745,0.0
CJ McCollum,POR,5,1,4,196.0,246,279,16,5,46,46,23,0.065,0.093,203468,1610612757,2.0
Caris LeVert,BKN,4,0,4,140.0,233,296,38,5,82,98,45,0.163,0.193,1627747,1610612751,4.0
Carmelo Anthony,POR,5,1,4,176.0,100,138,10,2,19,30,17,0.1,0.17,2546,1610612757,5.0
Carsen Edwards,BOS,1,1,0,3.0,3,2,0,0,0,0,0,0.0,0.0,1629035,1610612738,0.0
Chris Boucher,TOR,7,4,3,43.0,44,24,1,1,1,3,2,0.023,0.045,1628449,1610612761,0.0
Chris Chiozza,BKN,4,0,4,65.0,119,126,17,1,34,43,20,0.143,0.168,1629185,1610612751,3.0
Chris Clemons,HOU,2,1,1,8.0,8,11,0,0,0,0,0,0.0,0.0,1629598,1610612745,0.0
Chris Paul,OKC,7,3,4,261.0,436,482,37,2,87,100,41,0.085,0.094,101108,1610612760,2.0
D.J. Augustin,ORL,5,1,4,128.0,188,259,30,2,59,87,36,0.16,0.191,201571,1610612753,4.0
Damian Lillard,POR,4,1,3,143.0,186,251,17,6,42,42,24,0.091,0.129,203081,1610612757,1.0
Daniel Theis,BOS,17,10,7,482.0,389,357,25,2,53,75,33,0.064,0.085,1628464,1610612738,7.0
Danilo Gallinari,OKC,7,3,4,212.0,217,211,7,3,13,14,10,0.032,0.046,201568,1610612760,0.0
Danny Green,LAL,21,16,5,525.0,490,415,26,7,34,61,32,0.053,0.065,201980,1610612747,0.0
Danuel House Jr.,HOU,9,5,4,279.0,218,184,13,3,24,36,15,0.06,0.069,1627863,1610612745,0.0
Darius Bazley,OKC,7,3,4,126.0,137,85,6,0,12,17,7,0.044,0.051,1629647,1610612760,1.0
DeMarre Carroll,HOU,2,2,0,6.0,11,8,1,0,3,3,1,0.091,0.091,201960,1610612745,0.0
Delon Wright,DAL,4,1,3,53.0,60,65,7,0,12,17,7,0.117,0.117,1626153,1610612742,0.0
Dennis Schröder,OKC,7,3,4,227.0,330,412,25,5,58,65,33,0.076,0.1,203471,1610612760,3.0
