PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Aaron Holiday,IND,3,0,3,59,4,1,25.0,7,57.1,0,57.1,5.3
Abdel Nader,OKC,3,0,3,25,2,0,0.0,8,25.0,2,33.3,6.7
Al Horford,PHI,4,0,4,128,20,10,50.0,39,51.3,5,58.8,5.3
Alec Burks,PHI,4,0,4,95,8,0,0.0,16,50.0,2,57.1,8.3
Alex Caruso,LAL,20,16,4,481,33,4,12.1,70,47.1,6,51.6,11.8
Andre Iguodala,MIA,19,13,6,392,42,7,16.7,58,72.4,2,75.0,7.2
Anfernee Simons,POR,3,0,3,68,10,3,30.0,13,76.9,0,76.9,7.2
Anthony Davis,LAL,21,16,5,769,149,48,32.2,220,67.7,19,74.1,4.7
Antonius Cleveland,DAL,1,0,1,7,0,0,0.0,0,0.0,0,0.0,0.0
Austin Rivers,HOU,8,4,4,175,28,1,3.6,43,65.1,2,68.3,10.2
BJ Johnson,ORL,1,0,1,4,2,0,0.0,2,100.0,0,100.0,3.5
Bam Adebayo,MIA,19,13,6,687,149,38,25.5,204,73.0,22,81.9,5.5
Ben McLemore,HOU,6,3,3,94,9,1,11.1,20,45.0,1,47.4,9.2
Boban Marjanovic,DAL,6,2,4,82,29,4,13.8,38,76.3,3,82.9,4.7
Bol Bol,DEN,3,0,3,17,2,1,50.0,4,50.0,0,50.0,3.8
Brad Wanamaker,BOS,14,9,5,243,32,3,9.4,56,57.1,4,61.5,8.2
Brook Lopez,MIL,10,5,5,328,36,8,22.2,62,58.1,5,63.2,7.0
Bruno Caboclo,HOU,2,1,1,7,3,0,0.0,4,75.0,0,75.0,6.8
CJ McCollum,POR,5,1,4,196,24,3,12.5,41,58.5,7,70.6,11.5
Caris LeVert,BKN,4,0,4,140,16,1,6.3,25,64.0,2,69.6,11.2
Carmelo Anthony,POR,4,1,3,149,24,2,8.3,29,82.8,2,88.9,7.1
Carsen Edwards,BOS,1,1,0,3,1,0,0.0,2,50.0,1,100.0,6.5
Chris Boucher,TOR,6,3,3,43,9,3,33.3,17,52.9,1,56.3,5.3
Chris Chiozza,BKN,2,0,2,45,5,1,20.0,8,62.5,1,71.4,8.3
Chris Clemons,HOU,2,1,1,8,2,2,100.0,2,100.0,0,100.0,10.0
Chris Paul,OKC,7,3,4,261,49,7,14.3,79,62.0,7,68.1,8.1
D.J. Augustin,ORL,5,1,4,128,10,0,0.0,14,71.4,1,76.9,11.8
Damian Lillard,POR,4,1,3,143,13,3,23.1,27,48.1,6,61.9,11.0
Daniel Theis,BOS,17,10,7,482,89,22,24.7,151,58.9,15,65.4,5.1
Danilo Gallinari,OKC,7,3,4,212,33,8,24.2,51,64.7,6,73.3,5.6
Danny Green,LAL,20,15,5,497,41,9,22.0,73,56.2,13,68.3,7.5
Danuel House Jr.,HOU,9,5,4,279,42,5,11.9,67,62.7,7,70.0,6.7
Darius Bazley,OKC,7,3,4,126,45,8,17.8,61,73.8,5,80.4,3.7
DeMarre Carroll,HOU,1,1,0,4,3,1,33.3,3,100.0,0,100.0,4.3
Delon Wright,DAL,2,1,1,38,2,1,50.0,2,100.0,0,100.0,9.7
Dennis Schroder,OKC,6,3,3,195,24,0,0.0,34,70.6,1,72.7,10.8
Derrick Jones Jr.,MIA,7,5,2,71,6,2,33.3,11,54.5,0,54.5,6.3
Dion Waiters,LAL,1,1,0,14,2,0,0.0,2,100.0,0,100.0,11.0
Donovan Mitchell,UTA,7,3,4,264,29,7,24.1,39,74.4,3,80.6,7.7
Donta Hall,BKN,2,0,2,14,2,1,50.0,2,100.0,0,100.0,3.9
Donte DiVincenzo,MIL,10,5,5,165,24,1,4.2,39,61.5,9,80.0,5.4
Dorian Finney-Smith,DAL,6,2,4,191,22,9,40.9,44,50.0,10,64.7,5.0
Doug McDermott,IND,2,0,2,30,3,1,33.3,4,75.0,0,75.0,2.5
Duncan Robinson,MIA,20,14,6,578,53,14,26.4,91,58.2,4,60.9,7.1
Dwight Howard,LAL,17,12,5,281,51,17,33.3,100,51.0,11,57.3,4.1
Dzanan Musa,BKN,2,0,2,35,2,2,100.0,5,40.0,0,40.0,5.2
Edmond Sumner,IND,1,0,1,27,5,0,0.0,6,83.3,0,83.3,7.9
Emmanuel Mudiay,UTA,3,2,1,34,5,0,0.0,8,62.5,0,62.5,7.1
Enes Freedom,BOS,9,6,3,99,24,5,20.8,33,72.7,1,75.0,4.9
Eric Bledsoe,MIL,9,5,4,267,36,4,11.1,61,59.0,7,66.7,9.2
Eric Gordon,HOU,12,5,7,410,26,4,15.4,49,53.1,3,56.5,10.4
Ersan Ilyasova,MIL,2,2,0,16,4,0,0.0,4,100.0,0,100.0,5.6
Evan Fournier,ORL,5,1,4,171,17,0,0.0,23,73.9,1,77.3,9.6
Fred VanVleet,TOR,11,7,4,430,43,7,16.3,63,68.3,5,74.1,9.0
Furkan Korkmaz,PHI,3,0,3,36,6,0,0.0,8,75.0,1,85.7,6.9
Garrett Temple,BKN,3,0,3,106,11,1,9.1,23,47.8,2,52.4,9.1
Gary Clark,ORL,5,1,4,144,24,9,37.5,42,57.1,4,63.2,6.0
Gary Harris,DEN,12,5,7,318,21,6,28.6,30,70.0,0,70.0,10.4
Gary Trent Jr.,POR,5,1,4,153,5,1,20.0,12,41.7,0,41.7,9.1
George Hill,MIL,9,4,5,250,19,5,26.3,34,55.9,0,55.9,5.7
Georges Niang,UTA,7,3,4,114,11,3,27.3,21,52.4,3,61.1,7.5
Giannis Antetokounmpo,MIL,9,5,4,277,97,21,21.6,130,74.6,9,80.2,5.1
Goran Dragic,MIA,17,12,5,553,56,9,16.1,87,64.4,7,70.0,8.7
Gordon Hayward,BOS,5,3,2,157,17,5,29.4,33,51.5,5,60.7,8.5
Grant Williams,BOS,11,7,4,117,19,5,26.3,29,65.5,2,70.4,7.1
Hamidou Diallo,OKC,2,0,2,22,4,1,25.0,6,66.7,0,66.7,5.2
Hassan Whiteside,POR,5,1,4,106,28,12,42.9,49,57.1,5,63.6,4.3
Ivica Zubac,LAC,13,7,6,320,62,20,32.3,93,66.7,10,74.7,4.2
JR Smith,LAL,2,1,1,10,2,0,0.0,1,200.0,0,200.0,5.7
JaKarr Sampson,IND,4,0,4,50,12,6,50.0,14,85.7,1,92.3,3.8
JaMychal Green,LAC,11,5,6,190,35,11,31.4,47,74.5,1,76.1,4.4
JaVale McGee,LAL,12,9,3,118,28,3,10.7,48,58.3,2,60.9,4.9
Jae Crowder,MIA,21,14,7,660,106,29,27.4,171,62.0,19,69.7,5.9
Jamal Murray,DEN,19,9,10,753,72,12,16.7,110,65.5,9,71.3,8.0
James Ennis III,ORL,5,1,4,119,23,2,8.7,32,71.9,3,79.3,4.7
James Harden,HOU,12,5,7,448,55,11,20.0,97,56.7,9,62.5,8.5
Jared Dudley,LAL,1,1,0,8,2,1,50.0,2,100.0,0,100.0,7.0
Jarrell Brantley,UTA,2,2,0,13,1,0,0.0,4,25.0,1,33.3,2.3
Jarrett Allen,BKN,4,0,4,132,42,8,19.0,49,85.7,1,87.5,4.9
Javonte Green,BOS,1,1,0,6,1,0,0.0,3,33.3,1,50.0,11.4
Jaylen Adams,POR,2,0,2,19,2,0,0.0,4,50.0,1,66.7,8.9
Jaylen Brown,BOS,17,10,7,672,103,22,21.4,170,60.6,15,66.5,6.4
Jaylen Hoard,POR,3,0,3,41,4,1,25.0,7,57.1,1,66.7,4.8
Jayson Tatum,BOS,17,10,7,690,148,23,15.5,200,74.0,10,77.9,5.6
Jeff Green,HOU,11,5,6,320,55,10,18.2,94,58.5,7,63.2,6.2
Jerami Grant,DEN,15,7,8,534,55,12,21.8,80,68.8,6,74.3,8.2
Jeremiah Martin,BKN,2,0,2,18,3,0,0.0,4,75.0,1,100.0,9.5
Jimmy Butler,MIA,21,14,7,806,90,24,26.7,162,55.6,16,61.6,7.0
Joe Harris,BKN,2,0,2,72,18,4,22.2,27,66.7,3,75.0,5.3
Joe Ingles,UTA,6,3,3,205,23,4,17.4,34,67.6,2,71.9,6.7
Joel Embiid,PHI,4,0,4,145,38,16,42.1,71,53.5,9,61.3,4.6
Jordan Clarkson,UTA,7,3,4,200,22,4,18.2,38,57.9,4,64.7,7.6
Josh Reaves,DAL,1,0,1,7,2,1,50.0,2,100.0,0,100.0,3.2
Josh Richardson,PHI,4,0,4,144,11,0,0.0,23,47.8,3,55.0,9.3
Justin Anderson,BKN,3,0,3,28,8,1,12.5,10,80.0,1,88.9,9.8
Justin Holiday,IND,4,0,4,131,11,2,18.2,20,55.0,2,61.1,5.7
Justin Jackson,DAL,2,0,2,11,3,0,0.0,3,100.0,0,100.0,6.6
Jusuf Nurkic,POR,5,1,4,161,38,14,36.8,65,58.5,8,66.7,3.4
Juwan Morgan,UTA,6,3,3,85,15,5,33.3,24,62.5,3,71.4,4.3
Kawhi Leonard,LAC,13,7,6,511,97,23,23.7,137,70.8,12,77.6,6.2
Keita Bates-Diop,DEN,3,0,3,22,3,1,33.3,6,50.0,0,50.0,4.3
Kelly Olynyk,MIA,16,10,6,255,66,17,25.8,105,62.9,11,70.2,5.6
Kemba Walker,BOS,17,10,7,628,63,14,22.2,121,52.1,15,59.4,8.9
Kendrick Nunn,MIA,12,7,5,210,29,7,24.1,43,67.4,2,70.7,8.4
Kentavious Caldwell-Pope,LAL,19,14,5,546,35,6,17.1,58,60.3,9,71.4,8.4
Khem Birch,ORL,5,1,4,89,16,6,37.5,26,61.5,5,76.2,6.7
Khris Middleton,MIL,10,5,5,355,64,6,9.4,92,69.6,4,72.7,6.4
Kristaps Porzingis,DAL,3,1,2,94,23,10,43.5,44,52.3,6,60.5,3.4
Kyle Korver,MIL,4,2,2,61,7,1,14.3,10,70.0,0,70.0,8.3
Kyle Kuzma,LAL,19,14,5,443,47,12,25.5,69,68.1,5,73.4,7.8
Kyle Lowry,TOR,11,7,4,413,64,10,15.6,109,58.7,12,66.0,8.1
Kyle O'Quinn,PHI,1,0,1,6,1,0,0.0,1,100.0,0,100.0,1.2
Lance Thomas,BKN,1,0,1,7,2,0,0.0,3,66.7,0,66.7,10.1
Landry Shamet,LAC,9,6,3,199,22,2,9.1,32,68.8,2,73.3,11.4
LeBron James,LAL,21,16,5,762,198,30,15.2,252,78.6,8,81.1,6.3
Lou Williams,LAC,13,7,6,341,34,11,32.4,48,70.8,3,75.6,7.7
Luguentz Dort,OKC,5,3,2,152,17,3,17.6,28,60.7,3,68.0,7.9
Luka Doncic,DAL,6,2,4,215,55,9,16.4,73,75.3,3,78.6,5.7
Malcolm Brogdon,IND,4,0,4,160,17,5,29.4,27,63.0,4,73.9,6.2
Marc Gasol,TOR,11,7,4,228,44,13,29.5,74,59.5,5,63.8,5.2
