PLAYER,TEAM,GP,W,L,MIN,Touches,PostUps,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Holiday,IND,4,0,4,72,98,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Abdel Nader,OKC,3,0,3,25,30,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,PHI,4,0,4,128,174,25,7,14,50.0,3,4,75.0,17,68.0,7,28.0,2,8.0,2,8.0,2,8.0
Alec Burks,PHI,4,0,4,95,192,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Alex Caruso,LAL,21,16,5,510,896,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alize Johnson,IND,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Amir Coffey,LAC,3,3,0,7,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andre Iguodala,MIA,21,14,7,410,611,4,0,0,0.0,0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0
Andre Roberson,OKC,1,0,1,3,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anfernee Simons,POR,4,0,4,82,125,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthony Davis,LAL,21,16,5,769,1316,159,32,67,47.8,18,23,78.3,85,53.5,59,37.1,8,5.0,13,8.2,12,7.5
Antonius Cleveland,DAL,2,0,2,9,16,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austin Rivers,HOU,12,5,7,211,282,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BJ Johnson,ORL,1,0,1,4,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bam Adebayo,MIA,19,13,6,687,1269,77,6,24,25.0,2,2,100.0,14,18.2,44,57.1,8,10.4,4,5.2,1,1.3
Ben McLemore,HOU,11,4,7,130,126,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Boban Marjanovic,DAL,6,2,4,82,148,18,5,8,62.5,5,6,83.3,15,83.3,4,22.2,1,5.6,1,5.6,3,16.7
Bol Bol,DEN,4,0,4,21,21,3,0,1,0.0,4,4,100.0,4,133.3,0,0.0,0,0.0,0,0.0,2,66.7
Brad Wanamaker,BOS,17,10,7,273,512,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brook Lopez,MIL,10,5,5,328,310,22,5,12,41.7,2,4,50.0,13,59.1,4,18.2,0,0.0,2,9.1,2,9.1
Bruno Caboclo,HOU,2,1,1,7,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CJ McCollum,POR,5,1,4,196,378,3,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Caris LeVert,BKN,4,0,4,140,345,6,1,1,100.0,0,0,0.0,3,50.0,4,66.7,0,0.0,1,16.7,0,0.0
Carmelo Anthony,POR,5,1,4,176,192,18,6,11,54.5,1,2,50.0,13,72.2,3,16.7,3,16.7,3,16.7,1,5.6
Carsen Edwards,BOS,1,1,0,3,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Boucher,TOR,7,4,3,43,58,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Chiozza,BKN,4,0,4,65,155,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Clemons,HOU,2,1,1,8,13,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Paul,OKC,7,3,4,261,607,4,0,0,0.0,0,0,0.0,0,0.0,4,100.0,1,25.0,0,0.0,0,0.0
