PLAYER,TEAM,GP,W,L,MIN,PTS,DrivePTS,DriveFG%,C&SPTS,C&SFG%,Pull UpPTS,Pull UpFG%,PaintTouch PTS,PaintTouch FG%,PostTouch PTS,PostTouch FG%,ElbowTouch PTS,ElbowTouch FG%,eFG%
Aaron Brooks,MIN,2,1,1,3,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,66.7
Aaron Jackson,HOU,7,5,2,17,5,2,100.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,50.0
Abdel Nader,BOS,11,6,5,33,12,2,20.0,2,50.0,2,16.7,4,100.0,0,0.0,0,0.0,33.3
Al Horford,BOS,19,11,8,679,299,38,51.7,63,42.9,18,31.0,81,66.0,79,60.0,16,45.5,58.1
Al-Farouq Aminu,POR,4,0,4,131,69,14,77.8,39,48.1,4,33.3,6,33.3,0,0.0,2,50.0,64.4
Alec Burks,UTA,9,4,5,120,82,11,21.1,20,63.6,17,41.2,0,0.0,0,0.0,6,100.0,53.9
Alex Abrines,OKC,6,2,4,110,24,2,25.0,15,41.7,5,40.0,0,0.0,0,0.0,0,0.0,55.0
Amir Johnson,PHI,8,4,4,94,26,6,66.7,0,0.0,0,0.0,17,50.0,0,0.0,2,33.3,52.4
Andre Iguodala,GSW,15,12,3,401,122,6,37.5,39,36.1,5,25.0,37,89.5,0,0.0,11,100.0,57.6
Andrew Wiggins,MIN,5,1,4,164,79,22,50.0,18,30.0,13,33.3,6,60.0,10,45.5,0,0.0,49.3
Ante Zizic,CLE,8,2,6,23,13,0,0.0,2,50.0,0,0.0,4,66.7,2,25.0,4,66.7,50.0
Anthony Davis,NOP,9,5,4,358,271,15,21.1,34,30.4,20,31.3,148,73.3,26,36.7,45,60.0,53.4
Aron Baynes,BOS,19,11,8,389,114,1,0.0,40,42.9,3,25.0,60,63.0,2,20.0,5,50.0,56.7
Bam Adebayo,MIA,5,1,4,77,17,0,0.0,2,100.0,0,0.0,8,40.0,0,0.0,2,100.0,46.7
Ben Simmons,PHI,10,5,5,369,163,69,45.9,0,0.0,10,23.8,33,55.6,9,66.7,11,83.3,48.8
Bojan Bogdanovic,IND,7,3,4,238,87,19,53.3,44,40.5,13,23.8,0,0.0,0,0.0,2,33.3,50.0
Bradley Beal,WAS,6,2,4,216,139,23,40.0,39,41.9,50,42.0,8,100.0,2,100.0,4,66.7,55.1
Brandon Jennings,MIL,1,1,0,5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Brandon Paul,SAS,1,0,1,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Bryn Forbes,SAS,4,0,4,54,17,2,25.0,3,14.3,7,42.9,0,0.0,0,0.0,0,0.0,35.3
CJ McCollum,POR,4,0,4,155,101,38,59.3,22,53.3,37,45.7,3,100.0,0,0.0,0,0.0,59.1
CJ Miles,TOR,10,4,6,227,96,12,60.0,54,43.9,9,44.4,2,25.0,0,0.0,6,66.7,58.5
Caleb Swanigan,POR,1,0,1,8,3,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0.0
Carmelo Anthony,OKC,6,2,4,194,71,9,50.0,16,22.2,30,46.7,4,50.0,16,50.0,2,0.0,41.7
Cedi Osman,CLE,14,5,9,62,14,6,75.0,3,20.0,2,14.3,0,0.0,0,0.0,0,0.0,36.1
Cheick Diallo,NOP,7,4,3,48,10,0,0.0,0,0.0,0,0.0,4,66.7,0,0.0,0,0.0,41.7
Chinanu Onuaku,HOU,1,1,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Chris Paul,HOU,15,11,4,517,317,120,54.3,27,47.6,162,40.2,4,25.0,12,60.0,4,50.0,53.1
Clint Capela,HOU,17,11,6,520,216,6,37.5,0,0.0,0,0.0,177,68.0,2,50.0,30,76.5,66.0
Corey Brewer,OKC,6,2,4,151,37,4,66.7,17,50.0,0,0.0,6,60.0,0,0.0,0,0.0,62.0
Cory Joseph,IND,7,3,4,143,33,8,44.4,9,30.0,6,20.0,0,0.0,0,0.0,0,0.0,40.9
Dakari Johnson,OKC,2,0,2,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Damian Jones,GSW,4,4,0,11,4,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,50.0
Damian Lillard,POR,4,0,4,162,74,15,35.0,17,37.5,20,27.6,4,100.0,2,100.0,0,0.0,41.5
Danny Green,SAS,5,1,4,103,21,4,50.0,9,20.0,5,22.2,5,66.7,0,0.0,2,100.0,35.0
Dante Exum,UTA,10,5,5,114,51,28,58.3,6,25.0,0,0.0,4,100.0,0,0.0,0,0.0,51.2
Dario Saric,PHI,10,5,5,329,172,26,55.0,68,39.3,6,21.4,40,53.6,18,46.2,10,25.0,49.3
Darius Miller,NOP,9,5,4,162,43,6,60.0,21,33.3,10,50.0,0,0.0,0,0.0,0,0.0,54.4
Darren Collison,IND,7,3,4,214,79,22,52.6,18,42.9,16,25.0,0,0.0,0,0.0,0,0.0,51.5
David Stockton,UTA,2,1,1,6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33.3
David West,GSW,18,14,4,175,59,2,100.0,17,53.3,2,25.0,36,72.0,4,40.0,8,57.1,61.1
Davis Bertans,SAS,5,1,4,82,17,0,0.0,9,18.8,0,0.0,0,0.0,0,0.0,0,0.0,25.0
DeAndre Liggins,NOP,3,2,1,14,1,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0
DeMar DeRozan,TOR,10,4,6,354,227,97,46.1,18,35.0,54,32.9,5,50.0,0,0.0,4,28.6,46.2
Dejounte Murray,SAS,5,1,4,96,39,14,50.0,9,42.9,5,22.2,2,50.0,0,0.0,0,0.0,51.6
Delon Wright,TOR,10,4,6,215,86,28,38.7,15,50.0,11,30.8,4,50.0,0,0.0,2,0.0,52.2
Derrick Favors,UTA,11,5,6,286,102,3,100.0,10,26.7,2,33.3,73,78.6,6,25.0,20,60.0,63.2
Derrick Rose,MIN,5,1,4,119,71,10,30.8,18,66.7,15,41.2,10,45.5,0,0.0,6,50.0,57.0
Derrick White,SAS,3,0,3,18,7,0,0.0,2,100.0,3,33.3,0,0.0,0,0.0,0,0.0,58.3
Domantas Sabonis,IND,7,3,4,166,87,6,75.0,15,35.0,2,100.0,31,60.9,12,71.4,17,66.7,58.9
Donovan Mitchell,UTA,11,5,6,411,268,120,45.6,24,36.4,68,31.0,14,46.7,0,0.0,4,66.7,47.1
Draymond Green,GSW,21,16,5,819,226,16,33.3,63,26.5,7,20.0,62,58.7,12,60.0,23,71.4,48.7
Dwyane Wade,MIA,5,1,4,127,83,15,35.3,2,33.3,30,41.7,4,40.0,6,60.0,0,0.0,44.3
E'Twaun Moore,NOP,9,5,4,284,102,25,50.0,21,31.8,22,40.0,13,75.0,0,0.0,6,50.0,51.7
