,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
7,Quincy Acy,acyqu01,2016,1852,876,-0.008327617,0.340783371,0.332455754,-2.798489653,0.130300896,-2.668188757,-0.58754047,0.353933379,-0.233607091,1.123479142,1.123479142,0.0,-1.406107738,0.021970053,-1.384137685,-0.102988345
15,Jordan Adams,adamsjo01,2016,34,15,-8.211586061,0.497957857,-7.713628204,-4.240012778,4.118457854,-0.121554925,-7.734475447,1.417734677,-6.31674077,-0.028101725,-0.028101725,0.0,-6.124879997,4.675153284,-1.449726713,2.883209016
18,Steven Adams,adamsst01,2016,5203,2567,1.478173715,4.165262884,5.643436599,0.572685058,3.068726555,3.641411614,1.305029655,4.157908948,5.462938603,10.71133281,8.899270344,1.812062468,1.905361444,3.711730317,5.617091761,-0.807926917
35,Arron Afflalo,afflaar01,2016,4648,2371,-0.902059415,-2.108745951,-3.010805367,0.610708527,-3.333767098,-2.723058571,-0.625410261,-2.481338924,-3.106749185,-0.424460423,-0.424460423,0.0,-0.840530106,-2.375143951,-3.215674058,-1.606045594
40,Alexis Ajinca,ajincal01,2016,1777,861,-3.28929192,0.832909863,-2.456382057,-3.115926436,2.521849552,-0.594076884,-3.444059038,1.2915655,-2.152493538,0.262838216,0.262838216,0.0,-3.409499894,0.797343456,-2.612156438,0.135601825
47,Cole Aldrich,aldrico01,2016,1770,877,-1.121396285,2.989030557,1.867634272,-1.799382414,1.992568158,0.193185744,-1.340703831,2.88412763,1.543423799,1.936260175,1.526349689,0.409910486,-0.830005575,4.124676179,3.294670604,0.392257458
52,LaMarcus Aldridge,aldrila01,2016,5096,2598,1.090660987,1.995642347,3.086303334,0.685763711,0.127790026,0.813553737,0.982099464,1.616412491,2.598511954,7.059470295,5.790129719,1.269340576,0.51483322,2.016064272,2.530897493,-1.033026966
59,Cliff Alexander,alexacl01,2016,78,36,-5.080260813,4.082701373,-0.99755944,-9.717044304,-2.938221729,-12.65526603,-6.354905756,2.898182484,-3.456723273,-0.012889206,-0.012889206,0.0,-4.073126081,-1.865014645,-5.938140727,-0.687410904
80,Lavoy Allen,allenla01,2016,3305,1650,-1.415370607,-0.762667674,-2.178038281,2.123619743,1.3155466,3.439166344,-0.763857588,-0.427440292,-1.191297881,1.288226225,1.450783119,-0.162556894,-0.967302791,-0.692940523,-1.660243314,-1.102126113
85,Tony Allen,allento01,2016,3347,1714,-1.306404147,1.593844132,0.287439986,0.560973641,1.522050532,2.083024172,-0.987826565,1.699715111,0.711888546,3.045469198,2.687354587,0.358114611,-1.206005699,2.582172499,1.376166799,0.072291154
91,Al-Farouq Aminu,aminual01,2016,5573,2713,-0.734192991,1.226666017,0.492473026,1.402195012,0.564229045,1.966424057,-0.361509284,1.174910554,0.81340127,5.016918475,3.140314263,1.876604211,0.07851133,1.102045318,1.180556647,0.49729787
99,Lou Amundson,amundlo01,2016,407,204,-4.664855483,1.534265216,-3.130590268,-7.388950279,4.827298706,-2.561651573,-5.493576433,2.348716255,-3.144860178,-0.041234064,-0.041234064,0.0,-4.696075577,1.270668655,-3.425406922,0.32500765
102,Alan Anderson,anderal01,2016,403,192,0.920825461,-4.373959275,-3.453133814,-0.337935123,4.426107631,4.088172508,0.724463278,-2.814989106,-2.090525828,0.064595784,0.064595784,0.0,0.076368866,-2.585382156,-2.50901329,-0.00794136
106,Chris Andersen,anderch01,2016,934,481,0.03316691,0.191689194,0.224856104,-0.722463434,-3.083756351,-3.806219784,-0.148049655,-0.464202644,-0.612252299,0.526616384,0.423055258,0.103561126,0.090836998,-0.990813015,-0.899976017,-0.335702801
109,James Anderson,anderja01,2016,1548,721,-3.819700697,0.896040174,-2.923660523,-1.662276893,0.248803645,-1.413473248,-3.598586121,0.850105017,-2.748481104,0.000560113,0.000560113,0.0,-4.330683578,-0.386025501,-4.716709079,0.241374125
110,Justin Anderson,anderju01,2016,1522,742,-1.210556999,-0.799400491,-2.00995749,-2.065855492,4.166485709,2.100630217,-1.446197587,0.200054479,-1.246143108,0.610282045,0.082597356,0.527684689,-1.681800287,-1.07161521,-2.753415498,0.294487651
117,Kyle Anderson,anderky01,2016,2735,1374,-1.75048569,0.460213927,-1.290271764,-1.655685739,0.26089909,-1.394786649,-1.871196218,0.335055609,-1.536140608,0.842850635,1.001149902,-0.158299267,-2.267318383,0.594440248,-1.672878135,-0.531462258
126,Ryan Anderson,anderry01,2016,4154,2008,1.427870901,0.344583778,1.772454679,3.578902499,-0.173308064,3.405594435,1.971410252,0.294975642,2.266385895,5.151366157,5.151366157,0.0,1.526434809,-0.078163304,1.448271505,0.231404425
135,Giannis Antetokounmpo,antetgi01,2016,5625,2823,0.477609031,0.08528818,0.56289721,1.522447516,-1.613578625,-0.091131109,0.757930952,-0.228350115,0.529580837,4.707738546,4.707738546,0.0,0.813538269,0.302351688,1.115889957,-0.327328531
145,Thanasis Antetokounmpo,antetth01,2016,13,6,12.78384739,-19.70405103,-6.92020364,2.200914227,-10.82277307,-8.621858841,11.43545411,-19.02220102,-7.58674691,-0.014824454,-0.014824454,0.0,5.535620461,-19.18889375,-13.65327329,0.120132694
151,Carmelo Anthony,anthoca01,2016,4981,2530,2.96378858,-2.833458913,0.130329667,4.169887519,-1.612221029,2.55766649,3.451812128,-2.740508012,0.711304116,4.456371769,4.456371769,0.0,3.00154547,-2.841366185,0.160179285,-0.25150521
162,Joel Anthony,anthojo01,2016,191,96,-1.038058578,-3.646288271,-4.684346849,-8.389045485,-0.249200552,-8.638246037,-2.642795528,-3.155281992,-5.79807752,-0.148759635,-0.148759635,0.0,-1.391681064,-2.598918022,-3.990599086,-0.348684986
171,Keith Appling,applike01,2016,57,27,-11.64511025,4.199071528,-7.446038725,-6.230646982,14.51374069,8.283093707,-11.16318411,6.692671387,-4.470512719,-0.02415162,-0.02415162,0.0,-6.184926256,2.010587716,-4.17433854,1.858767987
179,Trevor Ariza,arizatr01,2016,6235,3040,-0.341188056,-0.586979943,-0.928167999,2.381675689,-2.103731832,0.277943857,0.185511468,-0.93005972,-0.744548252,3.103844513,3.298884199,-0.195039685,0.810786774,0.105363456,0.91615023,0.046951422
188,Metta World Peace,artesro01,2016,1174,590,-2.52990241,-0.761091149,-3.290993559,-2.087245487,4.066496255,1.979250768,-2.548532002,0.278146677,-2.270385325,0.143345407,0.143345407,0.0,-2.747137334,-0.842324591,-3.589461925,-0.695224049
192,Darrell Arthur,arthuda01,2016,3083,1516,-1.724756119,1.456301302,-0.268454817,-1.995144633,2.282614701,0.287470069,-1.883558941,1.764146962,-0.119411979,2.038822611,2.038822611,0.0,-1.870272688,1.384524886,-0.485747802,0.199753219
198,Omer Asik,asikom01,2016,2390,1178,-3.292936142,-0.196382306,-3.489318448,-3.187230841,-2.038799153,-5.226029994,-3.455651353,-0.543304898,-3.99895625,-0.748588012,-0.748588012,0.0,-3.793799146,-0.502239164,-4.29603831,-0.267387969
203,D.J. Augustin,augusdj01,2016,2402,1178,1.537707286,-3.236798786,-1.6990915,-1.139769783,-0.765562115,-1.905331898,1.052848366,-2.910641984,-1.857793618,0.538688767,0.538688767,0.0,0.834112887,-3.037869729,-2.203756842,-0.253387435
223,Luke Babbitt,babbilu01,2016,1759,845,0.829846595,-1.88956868,-1.059722085,1.176972809,-2.372043486,-1.195070677,0.973730545,-2.05590293,-1.082172385,0.71779563,0.71779563,0.0,-0.313554855,-2.107014092,-2.420568947,-0.168034254
235,Cameron Bairstow,bairsca01,2016,223,103,-5.077366207,-0.588470864,-5.665837071,-7.897012517,5.003499751,-2.893512766,-5.933374064,0.582192551,-5.351181513,-0.138074898,-0.138074898,0.0,-4.802182528,-1.394600731,-6.196783259,0.987325116
259,Leandro Barbosa,barbole01,2016,2813,1333,0.693259396,-1.913830628,-1.220571232,-2.739926128,-2.065389642,-4.80531577,-0.074113888,-2.109546262,-2.18366015,0.416889838,-0.171642182,0.588532021,-0.294372742,-1.991417966,-2.285790709,0.012877673
263,J.J. Barea,bareajo01,2016,3586,1767,0.774709394,-1.717738502,-0.943029107,1.212773933,-3.994979896,-2.782205963,0.924203973,-2.298082806,-1.373878832,1.197722992,1.718049028,-0.520326035,0.156465405,-2.885972803,-2.729507398,-0.428687059
270,Andrea Bargnani,bargnan01,2016,1283,634,-2.989049616,-4.176133572,-7.165183188,-3.66395436,-3.007281377,-6.671235737,-3.269632502,-4.136780639,-7.406413142,-1.493580173,-1.493580173,0.0,-2.50122564,-4.969374665,-7.470600305,-0.818349249
273,Harrison Barnes,barneha02,2016,5811,2785,-0.970539392,-0.223815626,-1.194355018,-0.400571897,-2.304900758,-2.705472656,-0.97063452,-0.715061557,-1.685696077,1.497559093,1.353003834,0.144555259,-0.722656895,-0.413571156,-1.136228052,-0.755922468
282,Matt Barnes,barnema02,2016,4624,2329,-0.405757922,-1.728205064,-2.133962986,-1.942469647,-1.934286619,-3.876756266,-0.738800369,-1.855389486,-2.594189855,0.163582608,0.450067038,-0.28648443,-0.489169938,-1.19993558,-1.689105517,0.978444081
291,Will Barton,bartowi01,2016,4768,2353,0.736762233,-1.003146836,-0.266384603,-1.890682302,1.058834891,-0.831847411,0.249205377,-0.599943372,-0.350737996,2.878701878,2.878701878,0.0,-0.019234524,-0.504643874,-0.523878399,-0.054738375
300,Brandon Bass,bassbr01,2016,2737,1342,-0.888203193,-0.756387087,-1.644590281,3.433524353,0.882937782,4.316462135,-0.031488239,-0.384970571,-0.41645881,1.586707134,1.586707134,0.0,-1.217809252,-1.454795365,-2.672604617,-0.67523394
