PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Aaron Gordon,DEN,5,1,4,160,2,1,8,12.5,0,2,0.0,12.5
Aaron Holiday,PHX,6,2,4,20,3,1,2,50.0,1,1,100,75.0
Aaron Nesmith,BOS,15,8,7,52,2,1,5,20.0,0,3,0.0,20.0
Al Horford,BOS,23,14,9,815,5,2,5,40.0,1,1,100,50.0
Alex Caruso,CHI,4,1,3,113,6,2,5,40.0,2,5,40.0,60.0
Andre Drummond,BKN,4,0,4,60,0,0,0,-,-,-,-,-
Andre Iguodala,GSW,7,4,3,61,2,1,3,33.3,0,0,-,33.3
Andrew Wiggins,GSW,22,16,6,767,54,25,61,41.0,4,11,36.4,44.3
Anthony Edwards,MIN,6,2,4,227,52,20,48,41.7,12,32,37.5,54.2
Armoni Brooks,TOR,4,2,2,8,0,0,2,0.0,0,2,0.0,0.0
Austin Rivers,DEN,5,1,4,108,0,0,2,0.0,0,1,0.0,0.0
Ayo Dosunmu,CHI,5,1,4,86,6,3,8,37.5,0,1,0.0,37.5
Bam Adebayo,MIA,18,11,7,614,26,13,38,34.2,0,1,0.0,34.2
Bismack Biyombo,PHX,9,5,4,86,0,0,2,0.0,-,-,-,0.0
Blake Griffin,BKN,2,0,2,25,0,0,0,-,0,0,-,-
Boban Marjanovic,DAL,3,3,0,6,0,0,2,0.0,-,-,-,0.0
Bobby Portis,MIL,12,7,5,298,14,7,20,35.0,0,4,0.0,35.0
Bogdan Bogdanovic,ATL,4,1,3,107,17,7,15,46.7,3,6,50.0,56.7
Bojan Bogdanovic,UTA,6,2,4,214,26,12,25,48.0,2,9,22.2,52.0
Bones Hyland,DEN,5,1,4,87,12,4,15,26.7,4,12,33.3,40.0
Brandon Clarke,MEM,12,6,6,296,4,2,3,66.7,0,0,-,66.7
Brandon Ingram,NOP,6,2,4,236,54,26,60,43.3,2,6,33.3,45.0
Brook Lopez,MIL,12,7,5,332,12,6,10,60.0,0,2,0.0,60.0
Bruce Brown,BKN,4,0,4,139,0,0,4,0.0,0,2,0.0,0.0
Bryn Forbes,DEN,5,1,4,76,5,2,5,40.0,1,3,33.3,50.0
CJ McCollum,NOP,6,2,4,234,59,25,67,37.3,9,25,36.0,44.0
Caleb Martin,MIA,17,11,6,209,2,1,7,14.3,0,1,0.0,14.3
Cam Thomas,BKN,1,0,1,0,0,0,0,-,-,-,-,-
Cameron Johnson,PHX,13,7,6,320,18,8,15,53.3,2,4,50.0,60.0
Cameron Payne,PHX,13,7,6,172,24,10,28,35.7,4,14,28.6,42.9
Charles Bassey,PHI,3,0,3,12,0,0,0,-,-,-,-,-
Chris Boucher,TOR,6,2,4,130,0,0,3,0.0,0,1,0.0,0.0
Chris Paul,PHX,13,7,6,448,134,60,111,54.1,14,35,40.0,60.4
Clint Capela,ATL,2,0,2,40,0,0,0,-,-,-,-,-
Coby White,CHI,5,1,4,98,9,4,15,26.7,1,6,16.7,30.0
D'Angelo Russell,MIN,6,2,4,196,25,10,34,29.4,5,12,41.7,36.8
Dalano Banton,TOR,4,2,2,8,0,0,0,-,-,-,-,-
Damion Lee,GSW,16,11,5,124,4,2,7,28.6,0,1,0.0,28.6
Daniel Theis,BOS,16,10,6,200,0,0,0,-,0,0,-,-
Danilo Gallinari,ATL,5,1,4,112,13,6,17,35.3,1,3,33.3,38.2
Danny Green,PHI,12,6,6,319,12,4,12,33.3,4,11,36.4,50.0
Danuel House Jr.,UTA,6,2,4,112,2,1,3,33.3,0,1,0.0,33.3
Davis Bertans,DAL,18,9,9,192,0,0,4,0.0,0,4,0.0,0.0
Day'Ron Sharpe,BKN,1,0,1,0,0,0,0,-,-,-,-,-
De'Andre Hunter,ATL,5,1,4,175,25,12,22,54.5,1,3,33.3,56.8
De'Anthony Melton,MEM,10,4,6,170,3,1,16,6.3,1,10,10.0,9.4
DeAndre Jordan,PHI,3,1,2,31,0,0,0,-,-,-,-,-
DeMar DeRozan,CHI,5,1,4,203,52,26,62,41.9,0,0,-,41.9
DeMarcus Cousins,DEN,5,1,4,57,2,1,4,25.0,0,0,-,25.0
Deandre Ayton,PHX,13,7,6,397,20,10,15,66.7,0,0,-,66.7
Delon Wright,ATL,5,1,4,137,3,1,4,25.0,1,4,25.0,37.5
Derrick Jones Jr.,CHI,5,1,4,59,0,0,0,-,0,0,-,-
Derrick White,BOS,23,13,10,585,22,9,27,33.3,4,13,30.8,40.7
Desmond Bane,MEM,12,6,6,428,64,24,56,42.9,16,30,53.3,57.1
Devin Booker,PHX,10,5,5,366,89,38,97,39.2,13,36,36.1,45.9
Devonte' Graham,NOP,6,2,4,60,8,3,7,42.9,2,5,40.0,57.1
Dewayne Dedmon,MIA,14,10,4,138,4,2,4,50.0,0,0,-,50.0
Dillon Brooks,MEM,11,6,5,335,41,16,58,27.6,9,26,34.6,35.3
Donovan Mitchell,UTA,6,2,4,229,39,16,57,28.1,7,32,21.9,34.2
Dorian Finney-Smith,DAL,18,9,9,688,16,6,10,60.0,4,5,80.0,80.0
Draymond Green,GSW,22,16,6,703,2,1,4,25.0,0,0,-,25.0
