PLAYER,TEAM,GP,W,L,MIN,Touches,ElbowTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,5,1,4,160,211,8,1,5,20.0,0,0,0.0,2,25.0,3,37.5,1,33.3,0,0.0,0,0.0
Aaron Holiday,PHX,6,2,4,20,41,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Aaron Nesmith,BOS,14,7,7,52,81,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,BOS,23,14,9,815,1426,54,12,21,57.1,5,6,83.3,29,53.7,29,53.7,5,17.2,1,1.9,3,5.6
Alex Caruso,CHI,4,1,3,113,241,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
Andre Drummond,BKN,4,0,4,60,80,12,1,1,100.0,3,4,75.0,5,41.7,9,75.0,1,11.1,0,0.0,2,16.7
Andre Iguodala,GSW,7,4,3,61,106,4,0,1,0.0,0,0,0.0,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0
Andrew Wiggins,GSW,22,16,6,767,959,29,11,13,84.6,3,6,50.0,25,86.2,9,31.0,1,11.1,2,6.9,3,10.3
Anthony Edwards,MIN,6,2,4,227,384,3,2,2,100.0,0,0,0.0,4,133.3,1,33.3,0,0.0,0,0.0,0,0.0
Armoni Brooks,TOR,4,2,2,8,10,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austin Rivers,DEN,5,1,4,108,128,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Ayo Dosunmu,CHI,5,1,4,86,157,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bam Adebayo,MIA,18,11,7,614,1009,79,25,38,65.8,7,9,77.8,59,74.7,26,32.9,2,7.7,7,8.9,4,5.1
Bismack Biyombo,PHX,9,5,4,86,114,12,4,5,80.0,1,2,50.0,9,75.0,5,41.7,0,0.0,0,0.0,1,8.3
