PLAYER,TEAM,GP,W,L,MIN,Touches,PaintTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,5,1,4,160,211,37,14,25,56.0,8,11,72.7,36,97.3,5,13.5,0,0.0,0,0.0,5,13.5
Aaron Holiday,PHX,6,2,4,20,41,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Aaron Nesmith,BOS,14,7,7,52,81,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Al Horford,BOS,23,14,9,815,1426,107,34,55,61.8,8,12,66.7,79,73.8,37,34.6,4,3.7,5,4.7,6,5.6
Alex Caruso,CHI,4,1,3,113,241,4,2,2,100.0,0,0,0.0,4,100.0,2,50.0,0,0.0,0,0.0,0,0.0
Andre Drummond,BKN,4,0,4,60,80,18,5,9,55.6,1,2,50.0,11,61.1,4,22.2,0,0.0,3,16.7,1,5.6
Andre Iguodala,GSW,7,4,3,61,106,6,0,1,0.0,0,0,0.0,0,0.0,5,83.3,2,33.3,0,0.0,0,0.0
Andrew Wiggins,GSW,22,16,6,767,959,83,30,54,55.6,9,15,60.0,69,83.1,18,21.7,3,3.6,3,3.6,7,8.4
Anthony Edwards,MIN,6,2,4,227,384,6,3,5,60.0,0,0,0.0,6,100.0,1,16.7,0,0.0,0,0.0,0,0.0
Armoni Brooks,TOR,4,2,2,8,10,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austin Rivers,DEN,5,1,4,108,128,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ayo Dosunmu,CHI,5,1,4,86,157,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bam Adebayo,MIA,18,11,7,614,1009,105,51,65,78.5,10,15,66.7,115,109.5,19,18.1,2,1.9,6,5.7,8,7.6
Bismack Biyombo,PHX,9,5,4,86,114,23,11,16,68.8,3,4,75.0,23,100.0,2,8.7,1,4.3,3,13.0,2,8.7
Blake Griffin,BKN,2,0,2,25,41,5,0,2,0.0,0,0,0.0,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0
Boban Marjanovic,DAL,3,3,0,6,16,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bobby Portis,MIL,12,7,5,298,505,36,9,18,50.0,6,8,75.0,24,66.7,12,33.3,2,5.6,2,5.6,4,11.1
Bogdan Bogdanovic,ATL,4,1,3,107,179,3,2,3,66.7,0,0,0.0,4,133.3,0,0.0,0,0.0,0,0.0,0,0.0
Bojan Bogdanovic,UTA,6,2,4,214,272,6,3,5,60.0,0,0,0.0,6,100.0,1,16.7,0,0.0,0,0.0,0,0.0
Bones Hyland,DEN,5,1,4,87,220,3,0,0,0.0,1,2,50.0,1,33.3,2,66.7,0,0.0,0,0.0,0,0.0
Brandon Clarke,MEM,12,6,6,296,362,99,43,59,72.9,19,26,73.1,106,107.1,20,20.2,7,7.1,3,3.0,12,12.1
Brandon Ingram,NOP,6,2,4,236,445,8,4,6,66.7,0,0,0.0,8,100.0,2,25.0,2,25.0,0,0.0,0,0.0
Brook Lopez,MIL,12,7,5,332,276,71,30,47,63.8,11,12,91.7,72,101.4,11,15.5,1,1.4,1,1.4,6,8.5
Bruce Brown,BKN,4,0,4,139,232,17,7,10,70.0,3,4,75.0,17,100.0,4,23.5,3,17.6,1,5.9,2,11.8
Bryn Forbes,DEN,5,1,4,76,79,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
CJ McCollum,NOP,6,2,4,234,498,10,3,7,42.9,0,0,0.0,6,60.0,2,20.0,0,0.0,0,0.0,0,0.0
Caleb Martin,MIA,17,11,6,209,249,16,6,9,66.7,0,0,0.0,13,81.3,6,37.5,0,0.0,0,0.0,0,0.0
Cam Thomas,BKN,1,0,1,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
