PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
Aaron Gordon,DEN,5,1,4,160,18,12,66.7,27,66.7,1,69.2,6.5
Aaron Holiday,PHX,2,2,0,10,3,1,33.3,3,100.0,0,100.0,12.5
Aaron Nesmith,BOS,10,6,4,48,4,2,50.0,6,66.7,0,66.7,15.1
Al Horford,BOS,23,14,9,815,35,26,74.3,84,41.7,2,42.7,6.6
Alex Caruso,CHI,4,1,3,113,2,1,50.0,6,33.3,1,40.0,8.6
Andre Drummond,BKN,4,0,4,60,3,3,100.0,13,23.1,1,25.0,2.9
Andre Iguodala,GSW,3,2,1,42,3,1,33.3,3,100.0,0,100.0,5.1
Andrew Wiggins,GSW,22,16,6,767,54,32,59.3,95,56.8,4,59.3,7.5
Anthony Edwards,MIN,6,2,4,227,4,1,25.0,14,28.6,0,28.6,12.7
Armoni Brooks,TOR,1,0,1,3,0,0,0.0,0,0.0,0,0.0,0.0
Austin Rivers,DEN,3,0,3,68,0,0,0.0,1,0.0,0,0.0,0.0
Ayo Dosunmu,CHI,5,1,4,86,4,1,25.0,7,57.1,0,57.1,17.6
Bam Adebayo,MIA,18,11,7,614,37,25,67.6,105,35.2,3,36.3,5.7
Bismack Biyombo,PHX,7,3,4,78,8,5,62.5,21,38.1,2,42.1,5.8
Blake Griffin,BKN,2,0,2,25,2,2,100.0,9,22.2,1,25.0,4.8
Boban Marjanovic,DAL,2,2,0,3,0,0,0.0,0,0.0,0,0.0,0.0
Bobby Portis,MIL,12,7,5,298,25,17,68.0,59,42.4,0,42.4,5.8
Bogdan Bogdanovic,ATL,4,1,3,107,4,2,50.0,9,44.4,0,44.4,9.3
Bojan Bogdanovic,UTA,6,2,4,214,3,1,33.3,10,30.0,0,30.0,14.0
Bones Hyland,DEN,4,1,3,70,1,0,0.0,3,33.3,0,33.3,8.8
Brandon Clarke,MEM,12,6,6,296,37,30,81.1,92,40.2,2,41.1,5.3
Brandon Ingram,NOP,6,2,4,236,4,3,75.0,13,30.8,2,36.4,6.8
Brook Lopez,MIL,12,7,5,332,27,17,63.0,54,50.0,0,50.0,4.4
Bruce Brown,BKN,4,0,4,139,6,1,16.7,17,35.3,0,35.3,8.8
Bryn Forbes,DEN,3,1,2,46,1,1,100.0,1,100.0,0,100.0,11.5
CJ McCollum,NOP,6,2,4,234,11,6,54.5,16,68.8,0,68.8,12.5
Caleb Martin,MIA,13,9,4,179,12,3,25.0,31,38.7,1,40.0,8.5
Cameron Johnson,PHX,13,7,6,320,9,7,77.8,25,36.0,2,39.1,7.8
Cameron Payne,PHX,11,7,4,140,2,1,50.0,5,40.0,0,40.0,12.4
Charles Bassey,PHI,3,0,3,12,1,1,100.0,7,14.3,0,14.3,4.6
Chris Boucher,TOR,6,2,4,130,12,8,66.7,18,66.7,0,66.7,5.3
Chris Paul,PHX,13,7,6,448,7,3,42.9,15,46.7,0,46.7,15.7
Clint Capela,ATL,2,0,2,40,4,4,100.0,13,30.8,1,33.3,4.9
Coby White,CHI,4,0,4,89,0,0,0.0,1,0.0,0,0.0,0.0
D'Angelo Russell,MIN,6,2,4,196,0,0,0.0,3,0.0,0,0.0,0.0
Dalano Banton,TOR,1,0,1,2,2,1,50.0,2,100.0,0,100.0,15.2
Damion Lee,GSW,9,6,3,105,5,4,80.0,8,62.5,0,62.5,10.9
Daniel Theis,BOS,15,9,6,194,13,10,76.9,30,43.3,0,43.3,4.5
Danilo Gallinari,ATL,4,1,3,91,2,1,50.0,3,66.7,0,66.7,9.3
Danny Green,PHI,11,6,5,316,9,3,33.3,28,32.1,1,33.3,11.4
Danuel House Jr.,UTA,6,2,4,112,2,0,0.0,2,100.0,0,100.0,6.8
Davis Bertans,DAL,16,7,9,183,4,1,25.0,14,28.6,1,30.8,17.6
De'Andre Hunter,ATL,4,0,4,143,2,0,0.0,10,20.0,0,20.0,13.8
De'Anthony Melton,MEM,10,4,6,170,9,2,22.2,17,52.9,1,56.3,18.5
DeAndre Jordan,PHI,2,0,2,31,1,1,100.0,3,33.3,0,33.3,2.6
DeMar DeRozan,CHI,5,1,4,203,1,1,100.0,12,8.3,1,9.1,8.2
DeMarcus Cousins,DEN,5,1,4,57,3,2,66.7,11,27.3,0,27.3,3.6
Deandre Ayton,PHX,13,7,6,397,33,22,66.7,69,47.8,1,48.5,5.4
Delon Wright,ATL,5,1,4,137,11,6,54.5,17,64.7,0,64.7,7.1
Derrick Jones Jr.,CHI,5,1,4,59,3,2,66.7,7,42.9,0,42.9,3.6
Derrick White,BOS,22,13,9,556,8,3,37.5,32,25.0,0,25.0,11.0
Desmond Bane,MEM,12,6,6,428,5,2,40.0,37,13.5,1,13.9,12.1
Devin Booker,PHX,10,5,5,366,10,4,40.0,25,40.0,0,40.0,9.2
Devonte' Graham,NOP,4,1,3,48,2,1,50.0,4,50.0,0,50.0,9.2
Dewayne Dedmon,MIA,12,8,4,130,15,10,66.7,30,50.0,0,50.0,3.7
Dillon Brooks,MEM,10,5,5,332,8,3,37.5,25,32.0,3,36.4,11.6
Donovan Mitchell,UTA,6,2,4,229,6,5,83.3,14,42.9,1,46.2,5.7
Dorian Finney-Smith,DAL,18,9,9,688,32,17,53.1,64,50.0,3,52.5,9.0
Draymond Green,GSW,22,16,6,703,26,10,38.5,64,40.6,2,41.9,9.7
