PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Aaron Gordon,DEN,5,1,4,160,18,6,33.3,30,60.0,2,64.3,5.4
Aaron Holiday,PHX,2,2,0,10,0,0,0.0,0,0.0,0,0.0,0.0
Aaron Nesmith,BOS,10,6,4,48,11,4,36.4,15,73.3,1,78.6,6.4
Al Horford,BOS,23,14,9,815,179,56,31.3,277,64.6,21,69.9,6.2
Alex Caruso,CHI,4,1,3,113,9,2,22.2,19,47.4,3,56.3,8.9
Andre Drummond,BKN,4,0,4,60,9,2,22.2,18,50.0,4,64.3,6.3
Andre Iguodala,GSW,3,2,1,42,4,2,50.0,7,57.1,0,57.1,5.5
Andrew Wiggins,GSW,22,16,6,767,111,29,26.1,185,60.0,16,65.7,6.4
Anthony Edwards,MIN,6,2,4,227,21,3,14.3,40,52.5,1,53.8,9.5
Armoni Brooks,TOR,1,0,1,3,2,0,0.0,2,100.0,0,100.0,5.6
Austin Rivers,DEN,3,0,3,68,3,1,33.3,5,60.0,1,75.0,4.8
Ayo Dosunmu,CHI,5,1,4,86,9,1,11.1,17,52.9,2,60.0,10.3
Bam Adebayo,MIA,18,11,7,614,107,33,30.8,162,66.0,8,69.5,5.3
Bismack Biyombo,PHX,7,3,4,78,11,2,18.2,24,45.8,4,55.0,8.8
Blake Griffin,BKN,2,0,2,25,2,1,50.0,4,50.0,1,66.7,4.4
Boban Marjanovic,DAL,2,2,0,3,3,1,33.3,3,100.0,0,100.0,2.8
Bobby Portis,MIL,12,7,5,298,95,18,18.9,124,76.6,6,80.5,4.7
Bogdan Bogdanovic,ATL,4,1,3,107,15,3,20.0,19,78.9,3,93.8,6.8
Bojan Bogdanovic,UTA,6,2,4,214,22,3,13.6,31,71.0,1,73.3,6.7
Bones Hyland,DEN,4,1,3,70,9,1,11.1,15,60.0,0,60.0,7.0
Brandon Clarke,MEM,12,6,6,296,46,13,28.3,84,54.8,6,59.0,5.5
Brandon Ingram,NOP,6,2,4,236,33,7,21.2,49,67.3,4,73.3,5.5
Brook Lopez,MIL,12,7,5,332,44,12,27.3,78,56.4,10,64.7,6.1
Bruce Brown,BKN,4,0,4,139,13,1,7.7,25,52.0,2,56.5,7.9
Bryn Forbes,DEN,3,1,2,46,2,0,0.0,5,40.0,0,40.0,6.0
CJ McCollum,NOP,6,2,4,234,29,3,10.3,34,85.3,1,87.9,9.4
Caleb Martin,MIA,13,9,4,179,25,7,28.0,36,69.4,3,75.8,6.7
Cameron Johnson,PHX,13,7,6,320,37,11,29.7,68,54.4,5,58.7,7.5
Cameron Payne,PHX,11,7,4,140,18,1,5.6,29,62.1,0,62.1,9.1
Charles Bassey,PHI,3,0,3,12,4,0,0.0,5,80.0,1,100.0,4.6
Chris Boucher,TOR,6,2,4,130,23,4,17.4,37,62.2,2,65.7,6.2
Chris Paul,PHX,13,7,6,448,47,10,21.3,85,55.3,7,60.3,8.0
Clint Capela,ATL,2,0,2,40,11,5,45.5,16,68.8,0,68.8,3.6
Coby White,CHI,4,0,4,89,17,4,23.5,24,70.8,3,81.0,6.0
D'Angelo Russell,MIN,6,2,4,196,15,0,0.0,26,57.7,1,60.0,12.5
Dalano Banton,TOR,1,0,1,2,0,0,0.0,0,0.0,0,0.0,0.0
Damion Lee,GSW,9,6,3,105,21,5,23.8,31,67.7,4,77.8,7.9
Daniel Theis,BOS,15,9,6,194,39,17,43.6,65,60.0,7,67.2,4.7
Danilo Gallinari,ATL,4,1,3,91,19,6,31.6,25,76.0,0,76.0,7.1
Danny Green,PHI,11,6,5,316,28,8,28.6,42,66.7,5,75.7,7.5
Danuel House Jr.,UTA,6,2,4,112,15,2,13.3,23,65.2,2,71.4,8.0
Davis Bertans,DAL,16,7,9,183,22,7,31.8,39,56.4,5,64.7,8.7
De'Andre Hunter,ATL,4,0,4,143,17,4,23.5,44,38.6,4,42.5,5.4
De'Anthony Melton,MEM,10,4,6,170,22,2,9.1,34,64.7,2,68.8,8.1
DeAndre Jordan,PHI,2,0,2,31,6,3,50.0,9,66.7,0,66.7,4.4
DeMar DeRozan,CHI,5,1,4,203,26,3,11.5,39,66.7,3,72.2,6.8
DeMarcus Cousins,DEN,5,1,4,57,14,2,14.3,16,87.5,0,87.5,3.4
Deandre Ayton,PHX,13,7,6,397,83,24,28.9,143,58.0,14,64.3,4.1
Delon Wright,ATL,5,1,4,137,13,3,23.1,19,68.4,1,72.2,7.6
Derrick Jones Jr.,CHI,5,1,4,59,4,2,50.0,8,50.0,1,57.1,4.9
Derrick White,BOS,22,13,9,556,62,14,22.6,96,64.6,6,68.9,7.6
Desmond Bane,MEM,12,6,6,428,40,7,17.5,69,58.0,8,65.6,6.7
Devin Booker,PHX,10,5,5,366,38,3,7.9,76,50.0,9,56.7,8.4
Devonte' Graham,NOP,4,1,3,48,7,1,14.3,11,63.6,1,70.0,8.2
Dewayne Dedmon,MIA,12,8,4,130,27,8,29.6,42,64.3,3,69.2,4.1
Dillon Brooks,MEM,10,5,5,332,22,6,27.3,44,50.0,6,57.9,8.0
Donovan Mitchell,UTA,6,2,4,229,20,4,20.0,35,57.1,3,62.5,8.1
Dorian Finney-Smith,DAL,18,9,9,688,67,19,28.4,125,53.6,14,60.4,5.7
Draymond Green,GSW,22,16,6,703,133,45,33.8,238,55.9,21,61.3,4.7
Duncan Robinson,MIA,10,6,4,138,21,4,19.0,29,72.4,1,75.0,6.3
Dwight Powell,DAL,17,9,8,236,30,10,33.3,57,52.6,7,60.0,5.8
Eric Paschall,UTA,4,1,3,24,4,1,25.0,9,44.4,2,57.1,10.8
Facundo Campazzo,DEN,2,0,2,9,3,1,33.3,3,100.0,0,100.0,8.7
Frank Ntilikina,DAL,6,4,2,85,10,0,0.0,14,71.4,1,76.9,9.7
Fred VanVleet,TOR,4,1,3,140,10,3,30.0,22,45.5,4,55.6,10.4
Furkan Korkmaz,PHI,5,1,4,43,11,2,18.2,14,78.6,0,78.6,6.6
Gabe Vincent,MIA,15,10,5,380,32,6,18.8,64,50.0,4,53.3,8.3
Garrett Temple,NOP,1,1,0,2,1,0,0.0,1,100.0,0,100.0,11.1
Gary Payton II,GSW,10,9,1,194,24,5,20.8,46,52.2,9,64.9,5.4
Gary Trent Jr.,TOR,5,2,3,159,9,3,33.3,18,50.0,0,50.0,9.6
George Hill,MIL,4,1,3,66,5,1,20.0,11,45.5,2,55.6,9.1
Georges Niang,PHI,9,4,5,151,14,3,21.4,27,51.9,4,60.9,6.7
Giannis Antetokounmpo,MIL,12,7,5,448,144,23,16.0,204,70.6,24,80.0,4.8
Goran Dragic,BKN,4,0,4,79,12,1,8.3,18,66.7,1,70.6,7.7
Gorgui Dieng,ATL,2,0,2,10,2,0,0.0,2,100.0,0,100.0,4.5
Grant Williams,BOS,24,14,10,654,68,24,35.3,145,46.9,19,54.0,5.6
Grayson Allen,MIL,12,7,5,305,30,2,6.7,48,62.5,5,69.8,8.4
Greg Monroe,MIN,1,0,1,7,1,0,0.0,4,25.0,0,25.0,1.5
Hassan Whiteside,UTA,6,2,4,65,23,6,26.1,31,74.2,3,82.1,4.3
Haywood Highsmith,MIA,4,1,3,18,3,0,0.0,4,75.0,1,100.0,6.5
Herbert Jones,NOP,6,2,4,226,12,3,25.0,25,48.0,3,54.5,8.1
Isaac Bonga,TOR,1,0,1,3,1,0,0.0,1,100.0,0,100.0,4.0
Isaiah Joe,PHI,2,0,2,3,2,0,0.0,2,100.0,0,100.0,9.3
Ish Wainright,PHX,4,1,3,18,4,1,25.0,5,80.0,0,80.0,14.2
Ja Morant,MEM,9,5,4,338,59,13,22.0,86,68.6,6,73.8,6.6
JaMychal Green,DEN,3,1,2,46,9,0,0.0,16,56.3,1,60.0,5.6
JaVale McGee,PHX,12,7,5,133,32,6,18.8,56,57.1,6,64.0,3.7
Jaden McDaniels,MIN,6,2,4,130,12,4,33.3,33,36.4,5,42.9,4.8
Jaden Springer,PHI,3,1,2,11,4,1,25.0,5,80.0,0,80.0,3.7
Jae Crowder,PHX,13,7,6,383,53,11,20.8,88,60.2,4,63.1,5.6
Jalen Brunson,DAL,18,9,9,629,68,7,10.3,129,52.7,16,60.2,7.3
James Harden,PHI,12,6,6,479,57,12,21.1,87,65.5,6,70.4,6.3
Jared Butler,UTA,1,0,1,5,1,0,0.0,2,50.0,0,50.0,11.5
Jaren Jackson Jr.,MEM,12,6,6,332,55,9,16.4,104,52.9,7,56.7,5.8
Jarred Vanderbilt,MIN,6,2,4,129,31,5,16.1,46,67.4,4,73.8,4.2
Jarrett Culver,MEM,3,2,1,22,5,0,0.0,5,100.0,0,100.0,4.7
Javonte Green,CHI,5,1,4,72,7,4,57.1,16,43.8,4,58.3,8.8
Jaxson Hayes,NOP,5,2,3,71,11,2,18.2,18,61.1,4,78.6,6.4
Jaylen Brown,BOS,24,14,10,920,133,26,19.5,217,61.3,22,68.2,6.4
Jayson Tatum,BOS,24,14,10,983,137,25,18.2,210,65.2,12,69.2,6.8
Jeff Green,DEN,5,1,4,113,11,1,9.1,23,47.8,0,47.8,8.6
Jevon Carter,MIL,9,6,3,123,13,4,30.8,19,68.4,0,68.4,7.5
Jimmy Butler,MIA,17,10,7,629,84,18,21.4,132,63.6,14,71.2,6.2
Joel Embiid,PHI,10,6,4,385,86,22,25.6,144,59.7,9,63.7,5.0
John Collins,ATL,5,1,4,122,21,5,23.8,42,50.0,6,58.3,5.1
John Konchar,MEM,6,4,2,51,16,3,18.8,23,69.6,1,72.7,5.4
Jonas Valanciunas,NOP,6,2,4,175,53,7,13.2,72,73.6,3,76.8,3.5
Jonathan Kuminga,GSW,8,4,4,105,23,2,8.7,35,65.7,4,74.2,6.3
Jordan Clarkson,UTA,6,2,4,170,14,3,21.4,25,56.0,3,63.6,9.4
Jordan McLaughlin,MIN,4,1,3,74,12,4,33.3,16,75.0,0,75.0,8.7
Jordan Nwora,MIL,3,2,1,12,3,0,0.0,4,75.0,0,75.0,7.6
Jordan Poole,GSW,20,15,5,563,52,4,7.7,88,59.1,3,61.2,8.2
Jose Alvarado,NOP,5,1,4,100,6,2,33.3,15,40.0,1,42.9,8.5
Josh Green,DAL,9,3,6,91,11,0,0.0,20,55.0,1,57.9,7.4
Jrue Holiday,MIL,12,7,5,463,55,11,20.0,73,75.3,3,78.6,8.6
Juan Toscano-Anderson,GSW,5,4,1,32,10,3,30.0,12,83.3,1,90.9,5.3
Juancho Hernangomez,UTA,5,2,3,50,10,2,20.0,12,83.3,0,83.3,5.6
Juwan Morgan,BOS,3,1,2,7,1,1,100.0,2,50.0,1,100.0,1.8
Karl-Anthony Towns,MIN,6,2,4,222,54,17,31.5,87,62.1,11,71.1,4.9
Kevin Durant,BKN,4,0,4,176,21,6,28.6,36,58.3,2,61.8,7.6
Kevin Huerter,ATL,5,1,4,154,14,3,21.4,25,56.0,3,63.6,8.1
Kevin Knox II,ATL,1,0,1,5,2,0,0.0,2,100.0,0,100.0,3.5
Kevon Looney,GSW,22,16,6,448,105,40,38.1,158,66.5,8,70.0,4.8
Khem Birch,TOR,5,2,3,55,5,2,40.0,15,33.3,3,41.7,3.8
Khris Middleton,MIL,2,1,1,71,9,2,22.2,11,81.8,0,81.8,7.9
Klay Thompson,GSW,22,16,6,792,79,19,24.1,150,52.7,15,58.5,7.0
Kyle Anderson,MEM,12,6,6,221,42,8,19.0,69,60.9,5,65.6,5.4
Kyle Lowry,MIA,10,4,6,295,33,6,18.2,71,46.5,8,52.4,6.8
Kyrie Irving,BKN,4,0,4,170,15,3,20.0,32,46.9,2,50.0,5.8
Landry Shamet,PHX,9,5,4,159,17,2,11.8,26,65.4,3,73.9,12.3
Larry Nance Jr.,NOP,6,2,4,130,16,6,37.5,39,41.0,8,51.6,6.1
Luca Vildoza,MIL,2,1,1,10,1,0,0.0,1,100.0,0,100.0,8.2
Luka Doncic,DAL,15,7,8,552,137,31,22.6,189,72.5,8,75.7,4.7
Luke Kornet,BOS,4,2,2,9,4,0,0.0,5,80.0,0,80.0,5.5
Malachi Flynn,TOR,3,0,3,31,1,0,0.0,2,50.0,0,50.0,11.0
Malik Beasley,MIN,6,2,4,119,18,4,22.2,25,72.0,0,72.0,9.1
Malik Fitts,BOS,2,1,1,4,2,0,0.0,2,100.0,0,100.0,9.2
Marcus Smart,BOS,21,12,9,760,75,17,22.7,129,58.1,11,63.6,9.4
Markieff Morris,MIA,1,0,1,3,1,0,0.0,1,100.0,0,100.0,13.7
Marquese Chriss,DAL,6,3,3,21,5,2,40.0,7,71.4,0,71.4,4.2
Matisse Thybulle,PHI,5,2,3,84,7,1,14.3,9,77.8,1,87.5,8.8
Max Strus,MIA,17,11,6,508,58,8,13.8,95,61.1,13,70.7,6.7
Maxi Kleber,DAL,18,9,9,456,67,19,28.4,122,54.9,12,60.9,5.1
Mikal Bridges,PHX,13,7,6,500,49,9,18.4,76,64.5,5,69.0,7.6
Mike Conley,UTA,6,2,4,174,17,3,17.6,24,70.8,0,70.8,9.8
Monte Morris,DEN,4,1,3,124,10,1,10.0,18,55.6,0,55.6,9.2
Moses Moody,GSW,5,3,2,65,6,2,33.3,9,66.7,0,66.7,8.9
Naji Marshall,NOP,4,0,4,38,3,1,33.3,5,60.0,1,75.0,6.9
Naz Reid,MIN,4,1,3,48,12,6,50.0,25,48.0,3,54.5,4.5
Nemanja Bjelica,GSW,14,10,4,147,25,7,28.0,41,61.0,5,69.4,5.6
Nic Claxton,BKN,4,0,4,98,18,4,22.2,28,64.3,2,69.2,4.3
Nickeil Alexander-Walker,UTA,1,0,1,5,1,0,0.0,1,100.0,0,100.0,1.2
Nik Stauskas,BOS,2,1,1,8,4,0,0.0,4,100.0,0,100.0,5.7
Nikola Jokic,DEN,5,1,4,171,49,12,24.5,68,72.1,3,75.4,4.0
Nikola Vucevic,CHI,5,1,4,181,48,11,22.9,63,76.2,4,81.4,5.1
