PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Rasual Butler,IND,35,G-F,8,1,7.7,1.0,1.0,100.0,52.1,47.9
Francisco Garcia,HOU,32,G-F,1,1,25.0,1.0,1.0,100.0,52.3,47.7
Andre Miller,WAS,38,G,9,3,10.7,3.0,3.0,100.0,52.9,47.1
Hasheem Thabeet,OKC,27,C,1,1,100.0,1.0,1.0,100.0,53.1,46.9
Greg Oden,MIA,26,C,2,1,50.0,1.0,1.0,100.0,53.6,46.4
Kevin Seraphin,WAS,24,C,2,1,33.3,1.0,1.0,100.0,57.8,42.2
Ed Davis,MEM,25,F,4,1,14.3,1.0,1.0,100.0,58.5,41.5
Jon Leuer,MEM,25,F,1,1,20.0,1.0,1.0,100.0,58.9,41.1
Tony Snell,CHI,22,G,5,2,23.1,3.0,3.0,100.0,59.2,40.8
Reggie Bullock,LAC,23,G,2,1,33.3,1.0,1.0,100.0,61.1,38.9
Tayshaun Prince,MEM,34,F,7,4,7.5,4.0,4.0,100.0,63.8,36.2
Landry Fields,TOR,26,F,2,2,33.3,3.0,3.0,100.0,64.7,35.3
Kyle Korver,ATL,33,G-F,7,6,25.8,22.0,23.0,95.7,61.3,34.4
Jorge Gutierrez,BKN,25,G,1,1,50.0,1.0,1.0,100.0,65.6,34.4
Earl Watson,POR,35,G,3,1,12.5,1.0,1.0,100.0,66.2,33.8
Cartier Martin,ATL,29,F,2,1,16.7,1.0,1.0,100.0,67.9,32.1
Mike Muscala,ATL,22,C,1,1,50.0,1.0,1.0,100.0,67.9,32.1
Gary Neal,CHA,29,G,4,4,17.2,5.0,5.0,100.0,71.8,28.2
Devin Harris,DAL,31,G,7,6,26.2,10.0,11.0,90.9,63.2,27.7
Chuck Hayes,TOR,31,F,3,3,41.2,6.0,7.0,85.7,59.4,26.4
Jamal Crawford,LAC,34,G,13,10,20.6,12.0,14.0,85.7,59.7,26.1
D.J. Augustin,CHI,26,G,5,4,17.4,7.0,8.0,87.5,61.6,25.9
