PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Al Harrington,WAS,7,3,4,59,7,2,3,66.7,3,4,75.0,7,100.0,0,0.0,0,0.0,1,14.3,2,28.6
Al Jefferson,CHA,3,0,3,106,1,0,0,0.0,1,2,50.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0
Alan Anderson,BKN,12,5,7,261,50,9,18,50.0,4,6,66.7,22,44.0,15,30.0,4,8.0,7,14.0,3,6.0
Amir Johnson,TOR,7,3,4,191,15,6,8,75.0,2,2,100.0,14,93.3,5,33.3,0,0.0,1,6.7,1,6.7
Andray Blatche,BKN,12,5,7,172,12,4,6,66.7,6,8,75.0,14,116.7,1,8.3,1,8.3,0,0.0,4,33.3
Andre Iguodala,GSW,7,3,4,248,26,3,8,37.5,4,6,66.7,10,38.5,7,26.9,3,11.5,1,3.8,3,11.5
Andre Miller,WAS,11,6,5,108,32,6,13,46.2,2,4,50.0,15,46.9,11,34.4,0,0.0,3,9.4,2,6.3
Andre Roberson,OKC,2,0,2,9,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Andrei Kirilenko,BKN,10,4,6,144,7,0,2,0.0,2,2,100.0,2,28.6,2,28.6,0,0.0,1,14.3,1,14.3
Anthony Tolliver,CHA,4,0,4,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Aron Baynes,SAS,14,11,3,101,3,0,0,0.0,2,2,100.0,2,66.7,1,33.3,0,0.0,1,33.3,1,33.3
Austin Daye,SAS,1,0,1,6,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Beno Udrih,MEM,7,3,4,115,42,4,9,44.4,1,2,50.0,9,21.4,23,54.8,4,9.5,4,9.5,1,2.4
Bernard James,DAL,2,1,1,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bismack Biyombo,CHA,3,0,3,48,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Blake Griffin,LAC,13,6,7,478,30,10,16,62.5,3,4,75.0,24,80.0,8,26.7,1,3.3,3,10.0,2,6.7
Boris Diaw,SAS,23,16,7,604,87,14,27,51.9,7,10,70.0,35,40.2,32,36.8,14,16.1,6,6.9,5,5.7
Bradley Beal,WAS,11,6,5,458,76,14,33,42.4,13,16,81.3,42,55.3,24,31.6,6,7.9,3,3.9,8,10.5
Brandan Wright,DAL,6,2,4,90,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
C.J. Watson,IND,19,10,9,342,39,7,21,33.3,4,4,100.0,18,46.2,15,38.5,1,2.6,0,0.0,2,5.1
CJ McCollum,POR,6,1,5,24,3,1,2,50.0,0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0
Carlos Boozer,CHI,5,1,4,121,11,4,9,44.4,0,0,0.0,8,72.7,1,9.1,0,0.0,1,9.1,0,0.0
Caron Butler,OKC,18,10,8,419,23,5,11,45.5,4,6,66.7,14,60.9,5,21.7,0,0.0,4,17.4,3,13.0
Cartier Martin,ATL,3,1,2,15,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chandler Parsons,HOU,6,2,4,250,57,11,33,33.3,6,10,60.0,28,49.1,16,28.1,2,3.5,1,1.8,5,8.8
Chris Andersen,MIA,18,12,6,317,4,1,2,50.0,1,2,50.0,3,75.0,1,25.0,0,0.0,0,0.0,1,25.0
Chris Bosh,MIA,20,13,7,686,55,21,30,70.0,8,12,66.7,51,92.7,12,21.8,2,3.6,4,7.3,6,10.9
Chris Copeland,IND,12,6,6,82,12,4,7,57.1,1,2,50.0,11,91.7,1,8.3,0,0.0,3,25.0,1,8.3
Chris Douglas-Roberts,CHA,4,0,4,70,12,1,2,50.0,7,8,87.5,9,75.0,3,25.0,2,16.7,1,8.3,4,33.3
Chris Paul,LAC,13,6,7,472,173,32,65,49.2,9,10,90.0,74,42.8,68,39.3,21,12.1,10,5.8,5,2.9
Chuck Hayes,TOR,5,2,3,38,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cody Zeller,CHA,4,0,4,53,3,0,1,0.0,1,2,50.0,1,33.3,0,0.0,1,33.3,0,0.0,1,33.3
Cory Joseph,SAS,17,12,5,87,29,11,17,64.7,7,8,87.5,31,106.9,5,17.2,3,10.3,0,0.0,4,13.8
Courtney Lee,MEM,7,3,4,224,34,8,17,47.1,2,4,50.0,19,55.9,12,35.3,1,2.9,2,5.9,2,5.9
D.J. Augustin,CHI,5,1,4,141,59,7,27,25.9,2,2,100.0,18,30.5,18,30.5,10,16.9,1,1.7,1,1.7
DJ White,CHA,1,0,1,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Damian Lillard,POR,11,5,6,466,169,30,67,44.8,17,20,85.0,81,47.9,54,32.0,24,14.2,12,7.1,10,5.9
Danny Granger,LAC,13,6,7,134,6,1,4,25.0,0,0,0.0,2,33.3,0,0.0,0,0.0,1,16.7,0,0.0
Danny Green,SAS,23,16,7,529,44,11,23,47.8,2,2,100.0,24,54.5,12,27.3,6,13.6,1,2.3,1,2.3
Darren Collison,LAC,13,6,7,249,59,11,25,44.0,17,18,94.4,40,67.8,17,28.8,5,8.5,2,3.4,9,15.3
David Lee,GSW,7,3,4,217,11,2,6,33.3,5,6,83.3,9,81.8,0,0.0,1,9.1,1,9.1,3,27.3
David West,IND,19,10,9,687,75,18,44,40.9,5,8,62.5,41,54.7,12,16.0,6,8.0,6,8.0,4,5.3
DeAndre Jordan,LAC,13,6,7,442,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
DeJuan Blair,DAL,6,3,3,81,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DeMar DeRozan,TOR,7,3,4,282,87,16,41,39.0,21,22,95.5,55,63.2,23,26.4,5,5.7,7,8.0,11,12.6
DeMarre Carroll,ATL,7,3,4,246,14,2,7,28.6,1,2,50.0,5,35.7,4,28.6,1,7.1,1,7.1,1,7.1
Dennis Schroder,ATL,2,1,1,7,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Derek Fisher,OKC,19,10,9,299,17,1,7,14.3,0,0,0.0,2,11.8,5,29.4,3,17.6,0,0.0,1,5.9
Deron Williams,BKN,12,5,7,428,141,20,48,41.7,13,14,92.9,56,39.7,54,38.3,17,12.1,12,8.5,9,6.4
