PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Al Harrington,WAS,6,3,3,59,15,3,20.0,16,93.8,1,100.0,5.4
Al Jefferson,CHA,3,0,3,106,22,4,18.2,33,66.7,4,75.9,4.0
Alan Anderson,BKN,11,5,6,241,22,4,18.2,40,55.0,2,57.9,10.3
Amir Johnson,TOR,7,3,4,191,26,9,34.6,45,57.8,7,68.4,6.6
Andray Blatche,BKN,11,5,6,168,35,19,54.3,57,61.4,6,68.6,4.4
Andre Iguodala,GSW,7,3,4,248,28,2,7.1,48,58.3,2,60.9,8.9
Andre Miller,WAS,7,4,3,81,9,2,22.2,16,56.3,1,60.0,9.7
Andre Roberson,OKC,1,0,1,7,2,1,50.0,3,66.7,1,100.0,8.4
Andrei Kirilenko,BKN,9,3,6,142,13,3,23.1,23,56.5,4,68.4,6.1
Anthony Tolliver,CHA,3,0,3,16,3,0,0.0,4,75.0,1,100.0,6.4
Aron Baynes,SAS,11,8,3,93,19,10,52.6,36,52.8,4,59.4,6.5
Austin Daye,SAS,1,0,1,6,1,0,0.0,2,50.0,0,50.0,7.5
Beno Udrih,MEM,5,3,2,77,10,2,20.0,14,71.4,0,71.4,8.7
Bernard James,DAL,1,1,0,2,0,0,0.0,0,0.0,0,0.0,0.0
Bismack Biyombo,CHA,3,0,3,48,6,0,0.0,19,31.6,3,37.5,4.6
Blake Griffin,LAC,13,6,7,478,61,26,42.6,129,47.3,9,50.8,4.4
Boris Diaw,SAS,22,16,6,587,86,24,27.9,183,47.0,18,52.1,5.2
Bradley Beal,WAS,11,6,5,458,40,10,25.0,81,49.4,9,55.6,8.9
Brandan Wright,DAL,5,2,3,83,7,5,71.4,19,36.8,2,41.2,5.6
C.J. Watson,IND,18,10,8,327,37,6,16.2,55,67.3,1,68.5,9.6
CJ McCollum,POR,1,0,1,5,1,0,0.0,1,100.0,0,100.0,41.3
Carlos Boozer,CHI,5,1,4,121,31,8,25.8,39,79.5,2,83.8,4.4
