PLAYER,TEAM,GP,W,L,MIN,Touches,ElbowTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
Al Harrington,WAS,7,3,4,59.0,77,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1733,1610612764
Al Jefferson,CHA,3,0,3,106.0,124,13,5,7,71.39999999999999,1,2,50.0,11,84.6,4,30.8,1,25.0,0,0.0,1,7.7,2744,1610612766
Alan Anderson,BKN,12,5,7,261.0,294,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,101187,1610612751
Amir Johnson,TOR,7,3,4,191.0,263,20,5,5,100.0,0,2,0.0,11,55.00000000000001,10,50.0,5,50.0,3,15.0,1,5.0,101161,1610612761
Andray Blatche,BKN,12,5,7,172.0,266,25,0,0,0.0,1,2,50.0,1,4.0,23,92.0,2,8.7,1,4.0,1,4.0,101154,1610612751
Andre Iguodala,GSW,7,3,4,248.0,332,3,1,1,100.0,0,0,0.0,2,66.7,2,66.7,1,50.0,0,0.0,0,0.0,2738,1610612744
Andre Miller,WAS,11,6,5,108.0,263,5,1,1,100.0,0,0,0.0,2,40.0,4,80.0,0,0.0,0,0.0,0,0.0,1889,1610612764
Andre Roberson,OKC,2,0,2,9.0,8,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203460,1610612760
Andrei Kirilenko,BKN,10,4,6,144.0,160,6,0,1,0.0,1,2,50.0,1,16.7,4,66.7,2,50.0,0,0.0,1,16.7,1905,1610612751
Anthony Tolliver,CHA,4,0,4,21.0,42,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,201229,1610612766
Aron Baynes,SAS,14,11,3,101.0,113,11,1,2,50.0,0,0,0.0,2,18.2,8,72.7,0,0.0,1,9.1,0,0.0,203382,1610612759
Austin Daye,SAS,1,0,1,6.0,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,201948,1610612759
Beno Udrih,MEM,7,3,4,115.0,291,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0,2757,1610612763
Bernard James,DAL,2,1,1,8.0,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203108,1610612742
Bismack Biyombo,CHA,3,0,3,48.0,24,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,202687,1610612766
Blake Griffin,LAC,13,6,7,478.0,982,124,15,26,57.699999999999996,9,12,75.0,41,33.1,85,68.5,14,16.5,5,4.0,5,4.0,201933,1610612746
Boris Diaw,SAS,23,16,7,604.0,1216,42,5,7,71.39999999999999,0,0,0.0,11,26.200000000000003,33,78.60000000000001,3,9.1,2,4.8,0,0.0,2564,1610612759
Bradley Beal,WAS,11,6,5,458.0,727,12,2,4,50.0,0,0,0.0,5,41.699999999999996,6,50.0,0,0.0,1,8.3,0,0.0,203078,1610612764
