PLAYER,TEAM,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID
Al Harrington,WAS,7,59.0,0,7,0.0,0.0,7.0,0.0,0.0,0,1733
Al Jefferson,CHA,3,106.0,8,15,53.300000000000004,,,,53.300000000000004,16,2744
Alan Anderson,BKN,12,261.0,9,29,31.0,8.0,28.0,28.599999999999998,44.800000000000004,26,101187
Amir Johnson,TOR,7,191.0,0,4,0.0,0.0,2.0,0.0,0.0,0,101161
Andray Blatche,BKN,12,172.0,0,4,0.0,0.0,2.0,0.0,0.0,0,101154
Andre Iguodala,GSW,7,248.0,7,16,43.8,7.0,12.0,58.3,65.60000000000001,21,2738
Andre Miller,WAS,11,108.0,1,3,33.300000000000004,1.0,2.0,50.0,50.0,3,1889
Andre Roberson,OKC,2,9.0,0,1,0.0,,,,0.0,0,203460
Andrei Kirilenko,BKN,10,144.0,0,0,,,,,,0,1905
Anthony Tolliver,CHA,4,21.0,1,2,50.0,1.0,2.0,50.0,75.0,3,201229
Aron Baynes,SAS,14,101.0,1,3,33.300000000000004,0.0,0.0,,33.300000000000004,2,203382
Austin Daye,SAS,1,6.0,0,0,,,,,,0,201948
Beno Udrih,MEM,7,115.0,5,14,35.699999999999996,4.0,10.0,40.0,50.0,14,2757
Bernard James,DAL,2,8.0,0,0,,,,,,0,203108
Bismack Biyombo,CHA,3,48.0,0,0,,,,,,0,202687
Blake Griffin,LAC,13,478.0,17,47,36.199999999999996,1.0,6.0,16.7,37.2,35,201933
Boris Diaw,SAS,23,604.0,23,53,43.4,17.0,40.0,42.5,59.4,63,2564
Bradley Beal,WAS,11,458.0,18,49,36.7,15.0,39.0,38.5,52.0,51,203078
Brandan Wright,DAL,6,90.0,1,3,33.300000000000004,,,,33.300000000000004,2,201148
C.J. Watson,IND,19,342.0,13,32,40.6,13.0,31.0,41.9,60.9,39,201228
CJ McCollum,POR,6,24.0,0,5,0.0,0.0,5.0,0.0,0.0,0,203468
Carlos Boozer,CHI,5,121.0,5,14,35.699999999999996,,,,35.699999999999996,10,2430
Caron Butler,OKC,18,419.0,20,54,37.0,20.0,51.0,39.2,55.60000000000001,60,2406
Cartier Martin,ATL,3,15.0,0,1,0.0,,,,0.0,0,201858
Chandler Parsons,HOU,6,250.0,11,29,37.9,10.0,26.0,38.5,55.2,32,202718
Chris Andersen,MIA,18,317.0,0,7,0.0,0.0,1.0,0.0,0.0,0,2365
Chris Bosh,MIA,20,686.0,50,116,43.1,29.0,73.0,39.7,55.60000000000001,129,2547
Chris Copeland,IND,12,82.0,5,14,35.699999999999996,5.0,14.0,35.699999999999996,53.6,15,203142
Chris Douglas-Roberts,CHA,4,70.0,4,7,57.099999999999994,4.0,7.0,57.099999999999994,85.7,12,201604
Chris Paul,LAC,13,472.0,10,21,47.599999999999994,9.0,18.0,50.0,69.0,29,101108
Chuck Hayes,TOR,5,38.0,0,1,0.0,,,,0.0,0,101236
Cody Zeller,CHA,4,53.0,0,0,,,,,,0,203469
Cory Joseph,SAS,17,87.0,0,4,0.0,0.0,2.0,0.0,0.0,0,202709
Courtney Lee,MEM,7,224.0,8,21,38.1,6.0,18.0,33.300000000000004,52.400000000000006,22,201584
D.J. Augustin,CHI,5,141.0,3,9,33.300000000000004,3.0,9.0,33.300000000000004,50.0,9,201571
DJ White,CHA,1,3.0,0,0,,,,,,0,201591
Damian Lillard,POR,11,466.0,8,18,44.4,8.0,17.0,47.099999999999994,66.7,24,203081
Danny Granger,LAC,13,134.0,5,20,25.0,5.0,19.0,26.3,37.5,15,101122
Danny Green,SAS,23,529.0,40,76,52.6,40.0,73.0,54.800000000000004,78.9,120,201980
Darren Collison,LAC,13,249.0,4,16,25.0,1.0,9.0,11.1,28.1,9,201954
David Lee,GSW,7,217.0,0,2,0.0,,,,0.0,0,101135
David West,IND,19,687.0,45,83,54.2,2.0,9.0,22.2,55.400000000000006,92,2561
DeAndre Jordan,LAC,13,442.0,0,0,,,,,,0,201599
DeJuan Blair,DAL,6,81.0,1,3,33.300000000000004,,,,33.300000000000004,2,201971
DeMar DeRozan,TOR,7,282.0,4,15,26.700000000000003,2.0,11.0,18.2,33.300000000000004,10,201942
DeMarre Carroll,ATL,7,246.0,9,20,45.0,8.0,19.0,42.1,65.0,26,201960
Dennis Schröder,ATL,2,7.0,1,1,100.0,1.0,1.0,100.0,150.0,3,203471
Derek Fisher,OKC,19,299.0,8,30,26.700000000000003,6.0,28.0,21.4,36.7,22,965
Deron Williams,BKN,12,428.0,12,46,26.1,10.0,38.0,26.3,37.0,34,101114
Devin Harris,DAL,7,176.0,2,8,25.0,2.0,8.0,25.0,37.5,6,2734
Dirk Nowitzki,DAL,7,263.0,15,41,36.6,0.0,10.0,0.0,36.6,30,1717
Donald Sloan,IND,4,15.0,0,0,,0.0,0.0,,,0,202388
Dorell Wright,POR,8,88.0,3,11,27.3,3.0,10.0,30.0,40.9,9,2748
Draymond Green,GSW,7,228.0,11,30,36.7,8.0,27.0,29.599999999999998,50.0,30,203110
Drew Gooden,WAS,10,146.0,6,18,33.300000000000004,0.0,4.0,0.0,33.300000000000004,12,2400
Dwight Howard,HOU,6,231.0,0,1,0.0,,,,0.0,0,2730
Dwyane Wade,MIA,20,693.0,6,17,35.3,3.0,8.0,37.5,44.1,15,2548
Earl Watson,POR,4,14.0,0,0,,0.0,0.0,,,0,2248
Ed Davis,MEM,7,25.0,0,0,,,,,,0,202334
Elton Brand,ATL,7,81.0,1,8,12.5,,,,12.5,2,1882
Evan Turner,IND,12,149.0,4,7,57.099999999999994,4.0,7.0,57.099999999999994,85.7,12,202323
Francisco Garcia,HOU,2,22.0,0,1,0.0,0.0,1.0,0.0,0.0,0,101128
Garrett Temple,WAS,10,9.0,0,0,,0.0,0.0,,,0,202066
Gary Neal,CHA,4,104.0,3,10,30.0,2.0,9.0,22.2,40.0,8,202390
George Hill,IND,19,687.0,23,61,37.7,21.0,57.0,36.8,54.900000000000006,67,201588
Gerald Henderson,CHA,4,119.0,1,11,9.1,0.0,8.0,0.0,9.1,2,201945
Glen Davis,LAC,13,158.0,8,10,80.0,,,,80.0,16,201175
Greg Oden,MIA,3,7.0,0,0,,,,,,0,201141
Greivis Vasquez,TOR,7,190.0,9,19,47.4,9.0,18.0,50.0,71.1,27,202349
Harrison Barnes,GSW,7,156.0,9,23,39.1,8.0,21.0,38.1,56.49999999999999,26,203084
Hasheem Thabeet,OKC,2,7.0,0,0,,,,,,0,201934
Hedo Turkoglu,LAC,5,41.0,3,10,30.0,3.0,9.0,33.300000000000004,45.0,9,2045
Hilton Armstrong,GSW,7,17.0,0,1,0.0,0.0,0.0,,0.0,0,200756
Ian Mahinmi,IND,19,241.0,0,2,0.0,,,,0.0,0,101133
JJ Redick,LAC,13,351.0,33,76,43.4,23.0,56.0,41.099999999999994,58.599999999999994,89,200755
Jae Crowder,DAL,7,81.0,2,9,22.2,2.0,6.0,33.300000000000004,33.300000000000004,6,203109
Jamaal Franklin,MEM,2,4.0,0,0,,,,,,0,203479
Jamal Crawford,LAC,13,313.0,18,41,43.9,16.0,39.0,41.0,63.4,52,2037
James Harden,HOU,6,263.0,11,26,42.3,9.0,24.0,37.5,59.599999999999994,31,201935
James Johnson,MEM,3,28.0,1,3,33.300000000000004,1.0,3.0,33.300000000000004,50.0,3,201949
James Jones,MIA,15,126.0,15,32,46.9,14.0,29.0,48.3,68.8,44,2592
Jannero Pargo,CHA,1,3.0,0,0,,,,,,0,2457
Jared Dudley,LAC,7,45.0,3,9,33.300000000000004,3.0,6.0,50.0,50.0,9,201162
Jeff Ayres,SAS,17,65.0,2,6,33.300000000000004,,,,33.300000000000004,4,201965
