PLAYER,TEAM,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID
AJ Price,MIN,28,99.0,5,15,33.300000000000004,5.0,12.0,41.699999999999996,50.0,15,201985
Aaron Brooks,DEN,72,1557.0,66,152,43.4,65.0,147.0,44.2,64.8,197,201166
Aaron Gray,SAC,37,354.0,8,11,72.7,0.0,1.0,0.0,72.7,16,201189
Adonis Thomas,PHI,6,38.0,1,7,14.299999999999999,1.0,4.0,25.0,21.4,3,203519
Al Harrington,WAS,34,511.0,36,99,36.4,32.0,92.0,34.8,52.5,104,1733
Al Horford,ATL,29,958.0,75,152,49.3,4.0,9.0,44.4,50.7,154,201143
Al Jefferson,CHA,73,2553.0,145,349,41.5,1.0,13.0,7.7,41.699999999999996,291,2744
Al-Farouq Aminu,NOP,80,2045.0,47,136,34.599999999999994,13.0,46.0,28.299999999999997,39.300000000000004,107,202329
Alan Anderson,BKN,78,1773.0,73,205,35.6,67.0,188.0,35.6,52.0,213,101187
Alec Burks,UTA,78,2193.0,56,125,44.800000000000004,39.0,90.0,43.3,60.4,151,202692
Alex Len,PHX,42,362.0,2,16,12.5,,,,12.5,4,203458
Alexey Shved,MIN,63,664.0,19,64,29.7,17.0,59.0,28.799999999999997,43.0,55,203144
Alexis Ajinca,NOP,56,951.0,32,67,47.8,0.0,0.0,,47.8,64,201582
Allen Crabbe,POR,15,100.0,5,14,35.699999999999996,5.0,13.0,38.5,53.6,15,203459
Alonzo Gee,CLE,65,1020.0,24,68,35.3,18.0,50.0,36.0,48.5,66,202087
Amar'e Stoudemire,NYK,65,1466.0,72,148,48.6,,,,48.6,144,2405
Amir Johnson,TOR,77,2214.0,49,133,36.8,17.0,57.0,29.799999999999997,43.2,115,101161
Anderson Varejao,CLE,65,1800.0,69,144,47.9,0.0,5.0,0.0,47.9,138,2760
Andray Blatche,BKN,73,1618.0,56,160,35.0,13.0,42.0,31.0,39.1,125,101154
Andre Drummond,DET,81,2619.0,1,6,16.7,0.0,2.0,0.0,16.7,2,203083
Andre Iguodala,GSW,63,2040.0,61,155,39.4,56.0,143.0,39.2,57.4,178,2738
Andre Miller,WAS,58,982.0,12,20,60.0,10.0,16.0,62.5,85.0,34,1889
Andre Roberson,OKC,40,399.0,2,14,14.299999999999999,2.0,13.0,15.4,21.4,6,203460
Andrea Bargnani,NYK,42,1257.0,110,264,41.699999999999996,29.0,106.0,27.400000000000002,47.199999999999996,249,200745
Andrei Kirilenko,BKN,45,857.0,3,27,11.1,1.0,5.0,20.0,13.0,7,1905
Andrew Bogut,GSW,67,1769.0,4,9,44.4,,,,44.4,8,101106
Andrew Bynum,IND,26,516.0,9,29,31.0,,,,31.0,18,101115
Andrew Nicholson,ORL,76,1174.0,88,223,39.5,27.0,83.0,32.5,45.5,203,203094
Andris Biedrins,UTA,6,45.0,0,0,,,,,,0,2740
Antawn Jamison,LAC,22,248.0,11,55,20.0,8.0,40.0,20.0,27.3,30,1712
Anthony Bennett,CLE,52,663.0,27,103,26.200000000000003,12.0,48.0,25.0,32.0,66,203461
Anthony Davis,NOP,67,2358.0,98,241,40.699999999999996,2.0,7.0,28.599999999999998,41.099999999999994,198,203076
Anthony Morrow,NOP,76,1426.0,108,242,44.6,77.0,175.0,44.0,60.5,293,201627
Anthony Randolph,DEN,43,527.0,27,76,35.5,18.0,53.0,34.0,47.4,72,201576
Anthony Tolliver,CHA,64,1298.0,103,246,41.9,101.0,236.0,42.8,62.4,307,201229
Archie Goodwin,PHX,52,533.0,7,28,25.0,5.0,26.0,19.2,33.900000000000006,19,203462
Arinze Onuaku,CLE,5,30.0,0,1,0.0,,,,0.0,0,202620
Arnett Moultrie,PHI,12,187.0,8,19,42.1,,,,42.1,16,203102
Aron Baynes,SAS,53,491.0,9,33,27.3,,,,27.3,18,203382
Arron Afflalo,ORL,73,2552.0,178,401,44.4,108.0,249.0,43.4,57.9,464,201167
Austin Daye,SAS,22,148.0,14,40,35.0,12.0,36.0,33.300000000000004,50.0,40,201948
Austin Rivers,NOP,69,1339.0,33,80,41.3,33.0,72.0,45.800000000000004,61.9,99,203085
Avery Bradley,BOS,60,1855.0,137,319,42.9,74.0,179.0,41.3,54.50000000000001,348,202340
Ben Gordon,CHA,19,279.0,10,30,33.300000000000004,7.0,21.0,33.300000000000004,45.0,27,2732
Ben McLemore,SAC,82,2187.0,113,332,34.0,84.0,248.0,33.900000000000006,46.7,310,203463
