PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
AJ Price,MIN,8,6,2,50,1,0,0.0,5,20.0,0,20.0,27.2
Aaron Brooks,DEN,56,30,26,1390,43,14,32.6,130,33.1,8,35.2,13.1
Aaron Gray,SAC,31,10,21,335,41,27,65.9,97,42.3,5,44.6,5.0
Adonis Thomas,PHI,2,1,1,18,0,0,0.0,1,0.0,0,0.0,0.0
Al Harrington,WAS,29,18,11,459,15,8,53.3,49,30.6,6,34.9,7.3
Al Horford,ATL,29,16,13,958,66,35,53.0,132,50.0,5,52.0,7.5
Al Jefferson,CHA,72,37,35,2517,156,88,56.4,341,45.7,4,46.3,7.9
Al-Farouq Aminu,NOP,78,33,45,2010,129,70,54.3,314,41.1,15,43.1,7.1
Alan Anderson,BKN,65,35,30,1581,40,18,45.0,131,30.5,3,31.3,10.6
Alec Burks,UTA,75,23,52,2127,59,34,57.6,228,25.9,10,27.1,11.1
Alex Len,PHX,34,22,12,339,39,25,64.1,93,41.9,3,43.3,5.3
Alexey Shved,MIN,42,21,21,546,21,9,42.9,69,30.4,2,31.3,8.9
Alexis Ajinca,NOP,54,21,33,944,94,60,63.8,231,40.7,5,41.6,6.3
Allen Crabbe,POR,4,2,2,52,1,0,0.0,5,20.0,0,20.0,6.8
Alonzo Gee,CLE,52,23,29,897,35,15,42.9,110,31.8,4,33.0,9.4
Amar'e Stoudemire,NYK,65,26,39,1466,112,71,63.4,299,37.5,12,39.0,6.6
Amir Johnson,TOR,76,42,34,2181,167,122,73.1,463,36.1,19,37.6,5.0
Anderson Varejao,CLE,65,25,40,1800,187,110,58.8,483,38.7,5,39.1,6.7
Andray Blatche,BKN,71,39,32,1575,114,75,65.8,248,46.0,6,47.1,6.8
Andre Drummond,DET,81,29,52,2619,440,315,71.6,805,54.7,19,56.0,4.7
Andre Iguodala,GSW,62,40,22,2022,53,21,39.6,158,33.5,4,34.4,11.2
Andre Miller,WAS,52,30,22,906,28,16,57.1,109,25.7,6,27.2,11.7
Andre Roberson,OKC,31,22,9,369,36,17,47.2,82,43.9,4,46.2,7.0
Andrea Bargnani,NYK,42,15,27,1257,69,34,49.3,171,40.4,7,42.1,9.3
Andrei Kirilenko,BKN,43,28,15,829,53,27,50.9,154,34.4,7,36.1,7.8
Andrew Bogut,GSW,66,39,27,1745,180,120,66.7,364,49.5,7,50.4,5.3
Andrew Bynum,IND,26,11,15,516,53,42,79.2,104,51.0,1,51.5,4.9
Andrew Nicholson,ORL,66,18,48,1109,53,31,58.5,116,45.7,3,46.9,7.8
Andris Biedrins,UTA,5,0,5,40,2,1,50.0,8,25.0,1,28.6,7.3
Antawn Jamison,LAC,20,13,7,231,9,7,77.8,31,29.0,1,30.0,4.8
Anthony Bennett,CLE,43,16,27,602,49,27,55.1,129,38.0,4,39.2,8.0
Anthony Davis,NOP,66,28,38,2354,207,128,61.8,415,49.9,5,50.5,6.2
Anthony Morrow,NOP,62,23,39,1221,29,11,37.9,89,32.6,7,35.4,11.8
Anthony Randolph,DEN,36,12,24,499,19,13,68.4,61,31.1,2,32.2,5.4
Anthony Tolliver,CHA,56,30,26,1191,33,7,21.2,80,41.3,2,42.3,12.8
Archie Goodwin,PHX,38,22,16,479,24,14,58.3,77,31.2,5,33.3,8.9
Arinze Onuaku,CLE,3,0,3,29,2,2,100.0,4,50.0,0,50.0,4.9
Arnett Moultrie,PHI,10,0,10,164,11,4,36.4,32,34.4,2,36.7,8.0
Aron Baynes,SAS,41,29,12,436,57,38,66.7,134,42.5,1,42.9,5.4
Arron Afflalo,ORL,71,20,51,2495,32,11,34.4,188,17.0,4,17.4,13.4
Austin Daye,SAS,14,9,5,133,5,3,60.0,11,45.5,0,45.5,3.2
Austin Rivers,NOP,53,21,32,1135,26,10,38.5,104,25.0,3,25.7,11.8
Avery Bradley,BOS,57,18,39,1775,48,20,41.7,168,28.6,5,29.4,9.3
Ben Gordon,CHA,16,8,8,253,3,2,66.7,24,12.5,0,12.5,13.6
Ben McLemore,SAC,73,25,48,2017,53,13,24.5,179,29.6,9,31.2,14.3
Beno Udrih,MEM,25,9,16,534,10,3,30.0,37,27.0,6,32.3,16.6
Bernard James,DAL,18,9,9,114,15,13,86.7,34,44.1,0,44.1,5.4
Bismack Biyombo,CHA,73,38,35,1032,103,71,68.9,282,36.5,5,37.2,5.8
