,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile
55290,,James Harden,HOU,72,35.0,719,877,1.22,,251,567,44.3,55.2,4.6,19.7,18.2,51.0,2018,iso,3.5,95.7
55291,,LeBron James,CLE,82,24.4,521,500,0.96,,196,440,44.5,49.9,8.3,9.8,8.6,43.8,2018,iso,2.5,70.9
55292,,Russell Westbrook,OKC,80,17.5,402,329,0.82,,122,335,36.4,40.0,7.5,11.4,10.7,38.8,2018,iso,2.2,42.6
55293,,Chris Paul,HOU,58,29.3,297,327,1.1,,116,270,43.0,53.7,4.0,6.7,5.4,44.1,2018,iso,1.7,90.8
55294,,Damian Lillard,POR,73,15.8,290,308,1.06,,87,212,41.0,45.5,7.6,21.4,18.3,49.3,2018,iso,2.1,87.9
55295,,Harrison Barnes,DAL,77,21.9,318,305,0.96,,117,264,44.3,46.8,7.5,13.2,11.6,45.9,2018,iso,3.8,70.6
55296,,Kevin Durant,GSW,68,15.5,247,261,1.06,,92,206,44.7,50.2,6.5,12.1,10.5,47.0,2018,iso,2.0,86.9
55297,,DeMar DeRozan,TOR,80,13.3,242,249,1.03,,89,198,44.9,46.7,5.4,17.4,16.5,49.2,2018,iso,4.5,84.0
55298,,Dennis Schroder,ATL,67,15.1,216,235,1.09,,86,176,48.9,52.6,6.9,14.8,13.4,50.9,2018,iso,3.2,90.1
55299,,Austin Rivers,LAC,61,21.8,215,228,1.06,,85,192,44.3,52.6,3.3,9.8,8.8,46.5,2018,iso,2.8,87.6
55300,,CJ McCollum,POR,81,13.0,228,228,1.0,,82,189,43.4,47.9,7.0,11.8,11.4,46.1,2018,iso,1.8,80.8
55301,,Giannis Antetokounmpo,MIL,75,13.9,265,223,0.84,,85,217,39.2,39.4,8.3,14.7,14.0,41.1,2018,iso,4.9,47.9
55302,,Kyrie Irving,BOS,60,16.0,212,220,1.04,,82,186,44.1,50.3,4.7,9.4,8.5,46.2,2018,iso,1.9,85.1
55303,,Carmelo Anthony,OKC,78,18.1,245,218,0.89,,86,213,40.4,42.3,4.1,11.8,11.4,43.3,2018,iso,2.9,58.2
55304,,Bradley Beal,WAS,82,12.9,236,204,0.86,,83,192,43.2,45.8,11.4,8.9,8.9,41.9,2018,iso,2.1,53.9
55305,,John Wall,WAS,41,22.9,213,202,0.95,,71,159,44.7,45.9,9.4,19.7,17.8,48.8,2018,iso,3.8,69.5
55306,,Spencer Dinwiddie,BKN,80,18.7,202,196,0.97,,59,154,38.3,44.2,7.9,20.3,20.3,44.6,2018,iso,4.5,72.7
55307,,Dennis Smith Jr.,DAL,69,18.7,244,196,0.8,,75,205,36.6,40.2,7.8,9.8,8.6,37.7,2018,iso,1.6,38.3
55308,,Michael Beasley,NYK,74,20.8,210,194,0.92,,80,175,45.7,46.6,8.6,11.4,11.0,46.2,2018,iso,3.3,65.2
55309,,Victor Oladipo,IND,75,10.3,176,181,1.03,,64,142,45.1,50.7,6.3,13.1,11.9,48.9,2018,iso,0.6,83.7
55310,,Jrue Holiday,NOP,81,11.2,173,173,1.0,,71,154,46.1,50.3,6.4,8.1,7.5,45.7,2018,iso,3.5,80.8
55311,,Paul George,OKC,79,11.5,199,173,0.87,,60,158,38.0,43.0,10.1,13.6,11.6,40.2,2018,iso,3.0,54.6
55312,,Jamal Crawford,MIN,80,19.8,174,152,0.87,,62,156,39.7,42.3,5.2,6.3,6.3,40.8,2018,iso,1.1,55.0
55313,,Jeff Teague,MIN,70,14.3,154,151,0.98,,55,129,42.6,48.8,6.5,11.0,10.4,45.5,2018,iso,1.3,74.1
55314,,Tyreke Evans,MEM,52,14.1,143,146,1.02,,53,125,42.4,49.2,4.9,10.5,10.5,44.8,2018,iso,2.8,83.0
55315,,Jimmy Butler,MIN,59,12.8,154,143,0.93,,49,120,40.8,42.5,8.4,17.5,14.9,45.5,2018,iso,3.9,67.0
55316,,Lou Williams,LAC,79,8.6,153,142,0.93,,45,115,39.1,44.3,11.1,14.4,12.4,43.1,2018,iso,0.7,66.0
55317,,Devin Booker,PHX,54,11.7,161,133,0.83,,49,135,36.3,41.1,8.7,7.5,6.8,37.9,2018,iso,0.0,45.0
55318,,Khris Middleton,MIL,82,9.3,149,131,0.88,,51,123,41.5,43.9,10.7,10.1,9.4,40.9,2018,iso,3.4,56.4
55319,,DeMarcus Cousins,NOP,48,12.7,162,127,0.78,,46,116,39.7,41.4,16.7,16.0,14.8,39.5,2018,iso,4.3,35.5
55320,,Eric Gordon,HOU,69,9.7,116,115,0.99,,40,86,46.5,49.4,12.1,17.2,14.7,48.3,2018,iso,3.4,75.5
55321,,Anthony Davis,NOP,75,7.6,142,115,0.81,,42,116,36.2,36.6,7.0,13.4,13.4,40.1,2018,iso,2.1,40.4
55322,,Brandon Ingram,LAL,59,14.2,147,114,0.78,,42,111,37.8,37.8,10.9,15.0,13.6,39.5,2018,iso,2.0,33.7
55323,,Ben Simmons,PHI,81,9.0,129,113,0.88,,47,95,49.5,49.5,14.7,14.0,10.9,46.5,2018,iso,2.3,56.0
55324,,Jamal Murray,DEN,81,10.3,136,112,0.82,,42,117,35.9,40.2,8.1,8.1,8.1,36.8,2018,iso,2.2,44.3
55325,,Donovan Mitchell,UTA,79,7.6,129,110,0.85,,41,113,36.3,41.2,4.7,10.9,10.1,38.8,2018,iso,3.1,51.8
55326,,James Johnson,MIA,73,14.3,118,105,0.89,,44,96,45.8,47.4,11.9,11.9,11.9,44.1,2018,iso,5.1,58.5
55327,,Caris LeVert,BKN,71,11.9,114,102,0.9,,38,87,43.7,44.8,12.3,17.5,16.7,44.7,2018,iso,6.1,59.6
55328,,Eric Bledsoe,MIL,71,7.3,95,101,1.06,,36,77,46.8,52.6,9.5,14.7,12.6,48.4,2018,iso,4.2,88.7
55329,,Zach Randolph,SAC,60,10.7,99,101,1.02,,44,88,50.0,50.0,5.1,9.1,9.1,50.5,2018,iso,3.0,82.6
55330,,Lance Stephenson,IND,82,13.8,124,100,0.81,,39,104,37.5,40.4,7.3,9.7,9.7,40.3,2018,iso,0.8,39.0
55331,,Rudy Gay,SAS,57,14.5,98,95,0.97,,38,84,45.2,45.2,5.1,13.3,13.3,48.0,2018,iso,4.1,72.0
55332,,,BKN,68,10.8,106,94,0.89,,40,91,44.0,44.0,7.5,10.4,10.4,44.3,2018,iso,3.8,57.8
55333,,Julius Randle,LAL,82,8.5,110,93,0.84,,35,77,45.5,45.5,15.5,15.5,15.5,44.5,2018,iso,0.9,49.3
55334,,Jayson Tatum,BOS,80,10.6,113,93,0.82,,36,97,37.1,37.6,5.3,9.7,8.8,40.7,2018,iso,0.9,44.0
55335,,D'Angelo Russell,BKN,48,12.3,107,92,0.86,,36,88,40.9,45.5,13.1,8.4,7.5,38.3,2018,iso,3.7,53.2
55336,,Andrew Wiggins,MIN,82,8.7,138,92,0.67,,34,113,30.1,32.3,7.2,10.9,8.7,34.1,2018,iso,0.0,17.9
55337,,Kyle Kuzma,LAL,77,6.4,81,91,1.12,,32,65,49.2,57.7,8.6,12.3,12.3,50.6,2018,iso,1.2,91.8
55338,,Kemba Walker,CHA,80,6.5,111,91,0.82,,37,103,35.9,39.3,2.7,6.3,4.5,37.8,2018,iso,1.8,42.9
55339,,Tobias Harris,LAC,32,14.0,84,90,1.07,,38,76,50.0,55.3,4.8,6.0,6.0,50.0,2018,iso,1.2,89.4
55340,,Kyle Lowry,TOR,78,6.1,75,86,1.15,,24,56,42.9,57.1,10.7,17.3,17.3,46.7,2018,iso,2.7,92.2
55341,,Marcus Morris Sr.,BOS,54,12.6,93,84,0.9,,33,80,41.3,42.5,3.2,10.8,8.6,45.2,2018,iso,0.0,61.7
55342,,Stephen Curry,GSW,51,6.9,78,82,1.05,,32,62,51.6,59.7,12.8,6.4,5.1,47.4,2018,iso,0.0,86.2
55343,,Blake Griffin,LAC,33,11.1,86,82,0.95,,30,73,41.1,47.3,5.8,11.6,9.3,43.0,2018,iso,2.3,70.2
55344,,Joel Embiid,PHI,63,6.6,99,81,0.82,,35,83,42.2,42.8,9.1,9.1,8.1,42.4,2018,iso,2.0,42.0
55345,,Aaron Gordon,ORL,58,9.0,96,79,0.82,,29,74,39.2,39.9,10.4,16.7,16.7,42.7,2018,iso,4.2,43.6
55346,,Will Barton,DEN,81,9.8,124,79,0.64,,27,99,27.3,29.8,12.1,10.5,10.5,29.8,2018,iso,2.4,14.5
55347,,Terry Rozier,BOS,80,8.7,82,78,0.95,,28,73,38.4,46.6,6.1,7.3,6.1,39.0,2018,iso,2.4,69.9
55348,,Andre Drummond,DET,78,8.3,104,76,0.73,,25,67,37.3,37.3,13.5,24.0,23.1,41.3,2018,iso,1.9,26.7
55349,,Jordan Clarkson,LAL,53,9.2,74,73,0.99,,29,59,49.2,50.8,13.5,13.5,13.5,45.9,2018,iso,6.8,75.2
55350,,Jeremy Lamb,CHA,80,8.2,83,73,0.88,,27,75,36.0,41.3,3.6,10.8,9.6,37.3,2018,iso,4.8,56.7
55351,,Reggie Jackson,DET,45,12.2,89,73,0.82,,26,74,35.1,39.9,5.6,12.4,12.4,38.2,2018,iso,1.1,43.3
55352,,Dion Waiters,MIA,30,17.3,89,71,0.8,,23,68,33.8,38.2,10.1,14.6,12.4,39.3,2018,iso,1.1,37.2
55353,,,MIN,82,4.4,66,68,1.03,,23,52,44.2,46.2,7.6,18.2,18.2,48.5,2018,iso,4.5,84.4
