TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,year
LA Clippers,82,82,30.3,897,1966,45.6,53.2,17.6,601,1147,52.4,12.6,296,819,36.1,open,2016
Golden State Warriors,82,82,28.0,964,1911,50.4,60.8,13.9,568,948,59.9,14.1,396,963,41.1,open,2016
Washington Wizards,82,82,28.5,836,1901,44.0,49.3,19.1,632,1273,49.6,9.4,204,628,32.5,open,2016
Denver Nuggets,82,82,29.0,816,1884,43.3,50.2,16.7,557,1085,51.3,12.3,259,799,32.4,open,2016
Dallas Mavericks,82,82,28.8,800,1881,42.5,50.0,15.5,518,1010,51.3,13.3,282,871,32.4,open,2016
New York Knicks,82,82,28.5,846,1864,45.4,51.8,17.6,608,1150,52.9,10.9,238,714,33.3,open,2016
Chicago Bulls,82,82,27.6,816,1850,44.1,51.2,17.0,553,1141,48.5,10.6,263,709,37.1,open,2016
Boston Celtics,81,81,26.7,786,1814,43.3,49.9,15.7,549,1063,51.6,11.1,237,751,31.6,open,2016
Indiana Pacers,82,82,27.3,772,1810,42.7,49.6,16.5,522,1089,47.9,10.9,250,721,34.7,open,2016
Charlotte Hornets,82,82,27.9,807,1808,44.6,53.1,15.0,500,971,51.5,12.9,307,837,36.7,open,2016
Phoenix Suns,82,82,27.5,763,1806,42.2,49.6,15.0,496,985,50.4,12.5,267,821,32.5,open,2016
New Orleans Pelicans,82,82,27.2,786,1801,43.6,49.5,17.5,574,1156,49.7,9.8,212,645,32.9,open,2016
Portland Trail Blazers,82,82,27.3,837,1800,46.5,54.5,15.2,548,1005,54.5,12.0,289,795,36.4,open,2016
Philadelphia 76ers,82,82,28.0,737,1799,41.0,48.7,14.7,458,947,48.4,13.3,279,852,32.7,open,2016
Cleveland Cavaliers,82,82,27.2,800,1773,45.1,53.2,14.6,515,953,54.0,12.6,285,820,34.8,open,2016
Orlando Magic,81,81,26.8,755,1765,42.8,48.3,18.0,560,1184,47.3,8.8,195,581,33.6,open,2016
Detroit Pistons,82,82,25.7,721,1728,41.7,49.2,13.7,461,918,50.2,12.1,260,810,32.1,open,2016
Oklahoma City Thunder,82,82,25.7,824,1727,47.7,54.8,15.7,579,1056,54.8,10.0,245,671,36.5,open,2016
Miami Heat,82,82,27.1,800,1724,46.4,51.3,19.0,630,1208,52.2,8.1,170,516,32.9,open,2016
Brooklyn Nets,82,82,26.6,761,1724,44.1,49.6,18.1,573,1177,48.7,8.4,188,547,34.4,open,2016
Los Angeles Lakers,82,82,26.5,693,1719,40.3,47.1,14.4,458,938,48.8,12.0,235,781,30.1,open,2016
Memphis Grizzlies,82,82,26.8,735,1714,42.9,47.8,19.0,568,1215,46.7,7.8,167,499,33.5,open,2016
Houston Rockets,82,82,26.3,729,1697,43.0,52.3,12.0,412,770,53.5,14.4,317,927,34.2,open,2016
Utah Jazz,82,82,27.3,741,1696,43.7,50.9,16.0,496,996,49.8,11.3,245,700,35.0,open,2016
Sacramento Kings,81,81,25.5,776,1677,46.3,51.7,16.8,593,1106,53.6,8.7,183,571,32.0,open,2016
San Antonio Spurs,82,82,25.7,772,1667,46.3,51.3,18.4,606,1192,50.8,7.3,166,475,34.9,open,2016
Minnesota Timberwolves,82,82,25.2,719,1570,45.8,50.6,17.9,569,1116,51.0,7.3,150,454,33.0,open,2016
Toronto Raptors,81,81,25.4,684,1559,43.9,51.5,14.6,447,897,49.8,10.8,237,662,35.8,open,2016
Milwaukee Bucks,82,82,23.9,671,1503,44.6,50.3,16.1,500,1009,49.6,7.9,171,494,34.6,open,2016
Atlanta Hawks,82,82,22.6,716,1474,48.6,55.0,14.6,527,948,55.6,8.1,189,526,35.9,open,2016
Oklahoma City Thunder,82,82,37.4,1366,2510,54.4,56.5,32.7,1261,2193,57.5,4.7,105,317,33.1,tight,2016
Milwaukee Bucks,82,82,39.6,1342,2486,54.0,55.1,36.5,1286,2288,56.2,3.2,56,198,28.3,tight,2016
Los Angeles Lakers,82,82,37.9,1120,2462,45.5,48.1,30.6,991,1990,49.8,7.3,129,472,27.3,tight,2016
Detroit Pistons,82,82,36.0,1213,2418,50.2,51.1,32.9,1167,2213,52.7,3.1,46,205,22.4,tight,2016
New York Knicks,82,82,36.6,1133,2396,47.3,49.0,32.7,1053,2139,49.2,3.9,80,257,31.1,tight,2016
Toronto Raptors,81,81,38.8,1185,2386,49.7,51.4,34.3,1103,2111,52.3,4.5,82,275,29.8,tight,2016
Miami Heat,82,82,37.3,1242,2374,52.3,53.2,35.1,1202,2235,53.8,2.2,40,139,28.8,tight,2016
Boston Celtics,81,81,34.4,1163,2332,49.9,51.2,30.6,1100,2077,53.0,3.8,63,255,24.7,tight,2016
Chicago Bulls,82,82,34.6,1135,2317,49.0,50.1,31.8,1084,2133,50.8,2.7,51,184,27.7,tight,2016
Indiana Pacers,82,82,34.9,1157,2312,50.0,51.8,30.4,1074,2015,53.3,4.5,83,297,27.9,tight,2016
Houston Rockets,82,82,35.9,1214,2311,52.5,55.2,29.7,1089,1914,56.9,6.2,125,397,31.5,tight,2016
Brooklyn Nets,82,82,34.7,1148,2253,51.0,52.0,32.2,1102,2092,52.7,2.5,46,161,28.6,tight,2016
Golden State Warriors,82,82,32.6,1188,2227,53.3,56.2,27.8,1060,1899,55.8,4.8,128,328,39.0,tight,2016
Denver Nuggets,82,82,34.3,1163,2223,52.3,53.4,31.3,1115,2030,54.9,3.0,48,193,24.9,tight,2016
Dallas Mavericks,82,82,33.9,1140,2215,51.5,53.0,29.9,1072,1954,54.9,4.0,68,261,26.1,tight,2016
Sacramento Kings,81,81,33.4,1198,2198,54.5,55.4,31.3,1158,2059,56.2,2.1,40,139,28.8,tight,2016
Cleveland Cavaliers,82,82,33.7,1132,2197,51.5,53.5,28.9,1045,1882,55.5,4.8,87,315,27.6,tight,2016
Philadelphia 76ers,82,82,34.2,1081,2193,49.3,51.6,29.1,980,1870,52.4,5.0,101,323,31.3,tight,2016
Phoenix Suns,82,82,32.5,1084,2137,50.7,52.5,28.6,1010,1880,53.7,3.9,74,257,28.8,tight,2016
New Orleans Pelicans,82,82,32.1,1087,2126,51.1,51.7,30.5,1061,2018,52.6,1.6,26,108,24.1,tight,2016
LA Clippers,82,82,32.5,1063,2113,50.3,52.5,27.7,971,1798,54.0,4.8,92,315,29.2,tight,2016
Charlotte Hornets,82,82,32.5,1051,2107,49.9,51.7,28.3,976,1835,53.2,4.2,75,272,27.6,tight,2016
Orlando Magic,81,81,31.2,1087,2054,52.9,53.5,29.3,1064,1931,55.1,1.9,23,123,18.7,tight,2016
Portland Trail Blazers,82,82,31.1,992,2052,48.3,50.2,26.7,917,1765,52.0,4.3,75,287,26.1,tight,2016
Washington Wizards,82,82,30.4,1082,2028,53.4,54.2,28.4,1049,1893,55.4,2.0,33,135,24.4,tight,2016
San Antonio Spurs,82,82,31.3,1124,2027,55.5,56.5,29.5,1082,1912,56.6,1.8,42,115,36.5,tight,2016
Minnesota Timberwolves,82,82,32.5,1060,2027,52.3,53.1,30.4,1026,1894,54.2,2.1,34,133,25.6,tight,2016
Atlanta Hawks,82,82,30.7,1094,1998,54.8,55.9,28.3,1050,1844,56.9,2.4,44,154,28.6,tight,2016
Memphis Grizzlies,82,82,30.6,1014,1954,51.9,52.8,28.5,980,1824,53.7,2.0,34,130,26.2,tight,2016
Utah Jazz,82,82,30.9,1002,1921,52.2,54.0,27.4,933,1703,54.8,3.5,69,218,31.7,tight,2016
Milwaukee Bucks,82,82,21.1,705,1324,53.2,53.5,20.5,699,1286,54.4,0.6,6,38,15.8,very_tight,2016
Minnesota Timberwolves,82,82,20.2,692,1259,55.0,55.2,19.7,685,1231,55.6,0.4,7,28,25.0,very_tight,2016
Memphis Grizzlies,82,82,19.2,645,1230,52.4,52.5,19.0,644,1215,53.0,0.2,1,15,6.7,very_tight,2016
Brooklyn Nets,82,82,18.4,658,1193,55.2,55.4,18.0,652,1171,55.7,0.3,6,22,27.3,very_tight,2016
Detroit Pistons,82,82,17.7,604,1188,50.8,50.9,17.3,602,1164,51.7,0.4,2,24,8.3,very_tight,2016
Portland Trail Blazers,82,82,17.7,626,1169,53.6,54.4,16.8,606,1111,54.5,0.9,20,58,34.5,very_tight,2016
Chicago Bulls,82,82,17.4,596,1166,51.1,51.5,17.1,588,1143,51.4,0.3,8,23,34.8,very_tight,2016
Utah Jazz,82,82,18.5,609,1148,53.0,53.3,18.0,603,1118,53.9,0.5,6,30,20.0,very_tight,2016
Phoenix Suns,82,82,17.4,573,1140,50.3,50.8,16.6,561,1092,51.4,0.7,12,48,25.0,very_tight,2016
San Antonio Spurs,82,82,17.1,633,1110,57.0,57.3,16.9,628,1093,57.5,0.3,5,17,29.4,very_tight,2016
Los Angeles Lakers,82,82,16.9,555,1097,50.6,51.1,16.2,543,1054,51.5,0.7,12,43,27.9,very_tight,2016
Philadelphia 76ers,82,82,16.9,618,1085,57.0,57.1,16.6,615,1063,57.9,0.3,3,22,13.6,very_tight,2016
Indiana Pacers,82,82,16.3,602,1082,55.6,56.1,15.9,593,1053,56.3,0.4,9,29,31.0,very_tight,2016
Sacramento Kings,81,81,16.4,565,1077,52.5,52.6,16.1,563,1061,53.1,0.2,2,16,12.5,very_tight,2016
Boston Celtics,81,81,15.7,578,1065,54.3,54.5,15.4,573,1045,54.8,0.3,5,20,25.0,very_tight,2016
New York Knicks,82,82,16.2,534,1061,50.3,50.4,15.8,532,1034,51.5,0.4,2,27,7.4,very_tight,2016
Denver Nuggets,82,82,16.3,563,1058,53.2,53.4,16.0,558,1036,53.9,0.3,5,22,22.7,very_tight,2016
Miami Heat,82,82,16.4,604,1046,57.7,57.8,16.2,603,1030,58.5,0.3,1,16,6.3,very_tight,2016
Oklahoma City Thunder,82,82,15.5,578,1040,55.6,56.0,14.9,569,1000,56.9,0.6,9,40,22.5,very_tight,2016
Orlando Magic,81,81,15.6,590,1029,57.3,57.5,15.4,587,1012,58.0,0.3,3,17,17.6,very_tight,2016
New Orleans Pelicans,82,82,15.5,551,1024,53.8,53.9,15.3,549,1011,54.3,0.2,2,13,15.4,very_tight,2016
Toronto Raptors,81,81,16.4,575,1008,57.0,57.7,15.8,562,973,57.8,0.6,13,35,37.1,very_tight,2016
Golden State Warriors,82,82,14.6,529,996,53.1,53.5,14.1,522,959,54.4,0.5,7,37,18.9,very_tight,2016
Houston Rockets,82,82,15.3,544,984,55.3,55.7,14.8,535,953,56.1,0.5,9,31,29.0,very_tight,2016
Charlotte Hornets,82,82,14.8,526,960,54.8,56.1,13.7,501,886,56.5,1.1,25,74,33.8,very_tight,2016
Washington Wizards,82,82,14.0,526,938,56.1,56.3,13.8,521,922,56.5,0.2,5,16,31.3,very_tight,2016
Cleveland Cavaliers,82,82,14.2,506,926,54.6,55.2,13.5,495,879,56.3,0.7,11,47,23.4,very_tight,2016
LA Clippers,82,82,12.8,477,835,57.1,58.0,12.3,462,799,57.8,0.6,15,36,41.7,very_tight,2016
Atlanta Hawks,82,82,12.6,453,823,55.0,55.3,12.4,449,805,55.8,0.3,4,18,22.2,very_tight,2016
Dallas Mavericks,82,82,11.8,427,771,55.4,55.5,11.4,425,743,57.2,0.4,2,28,7.1,very_tight,2016
Atlanta Hawks,82,82,34.0,905,2216,40.8,53.9,9.2,327,599,54.6,24.8,578,1617,35.7,wide_open,2016
Washington Wizards,82,82,27.1,794,1810,43.9,56.8,9.3,327,619,52.8,17.8,467,1191,39.2,wide_open,2016
Orlando Magic,81,81,26.4,766,1738,44.1,55.8,10.3,360,676,53.3,16.1,406,1062,38.2,wide_open,2016
Golden State Warriors,82,82,24.8,808,1689,47.8,64.0,6.4,262,437,60.0,18.3,546,1252,43.6,wide_open,2016
San Antonio Spurs,82,82,25.8,760,1674,45.4,56.1,11.9,403,773,52.1,13.9,357,901,39.6,wide_open,2016
Dallas Mavericks,82,82,25.5,693,1664,41.6,55.3,7.6,239,495,48.3,17.9,454,1169,38.8,wide_open,2016
New Orleans Pelicans,82,82,25.1,729,1663,43.8,57.7,7.4,267,491,54.4,17.7,462,1172,39.4,wide_open,2016
Sacramento Kings,81,81,24.7,715,1622,44.1,57.3,8.2,287,540,53.1,16.5,428,1082,39.6,wide_open,2016
Cleveland Cavaliers,82,82,24.9,728,1621,44.9,60.2,6.0,231,394,58.6,18.8,497,1227,40.5,wide_open,2016
Charlotte Hornets,82,82,24.7,652,1599,40.8,55.3,6.0,186,387,48.1,18.7,466,1212,38.4,wide_open,2016
LA Clippers,82,82,24.4,703,1585,44.4,56.8,8.9,309,576,53.6,15.5,394,1009,39.0,wide_open,2016
Portland Trail Blazers,82,82,23.9,706,1581,44.7,59.8,6.1,226,401,56.4,17.9,480,1180,40.7,wide_open,2016
Boston Celtics,81,81,23.2,649,1576,41.2,53.8,7.5,251,512,49.0,15.7,398,1064,37.4,wide_open,2016
Memphis Grizzlies,82,82,23.3,625,1492,41.9,52.0,9.7,323,623,51.8,13.6,302,869,34.8,wide_open,2016
Phoenix Suns,82,82,22.6,630,1484,42.5,55.4,7.8,245,509,48.1,14.8,385,975,39.5,wide_open,2016
Houston Rockets,82,82,22.5,607,1451,41.8,56.5,4.4,180,285,63.2,18.1,427,1166,36.6,wide_open,2016
Utah Jazz,82,82,23.2,605,1443,41.9,54.9,7.1,231,443,52.1,16.1,374,1000,37.4,wide_open,2016
Oklahoma City Thunder,82,82,21.3,604,1432,42.2,53.3,7.8,285,522,54.6,13.6,319,910,35.1,wide_open,2016
Indiana Pacers,82,82,21.4,610,1415,43.1,54.4,8.9,290,590,49.2,12.5,320,825,38.8,wide_open,2016
Detroit Pistons,82,82,20.6,573,1386,41.3,56.9,4.4,141,293,48.1,16.3,432,1093,39.5,wide_open,2016
Minnesota Timberwolves,82,82,22.2,622,1382,45.0,54.6,10.6,358,660,54.2,11.6,264,722,36.6,wide_open,2016
Chicago Bulls,82,82,20.4,618,1370,45.1,57.1,8.1,289,546,52.9,12.3,329,824,39.9,wide_open,2016
Philadelphia 76ers,82,82,20.9,534,1344,39.7,53.9,4.7,153,299,51.2,16.3,381,1045,36.5,wide_open,2016
Denver Nuggets,82,82,20.4,551,1322,41.7,54.7,6.3,207,409,50.6,14.1,344,913,37.7,wide_open,2016
Brooklyn Nets,82,82,20.3,568,1319,43.1,54.1,8.5,277,553,50.1,11.8,291,766,38.0,wide_open,2016
New York Knicks,82,82,18.7,508,1221,41.6,53.5,7.1,218,463,47.1,11.6,290,758,38.3,wide_open,2016
Los Angeles Lakers,82,82,18.8,512,1220,42.0,52.7,8.0,249,522,47.7,10.7,263,698,37.7,wide_open,2016
Miami Heat,82,82,19.1,503,1215,41.4,53.2,6.5,216,415,52.0,12.6,287,800,35.9,wide_open,2016
Toronto Raptors,81,81,19.4,525,1193,44.0,59.4,4.7,157,291,54.0,14.7,368,902,40.8,wide_open,2016
Milwaukee Bucks,82,82,15.4,427,964,44.3,55.0,6.8,220,429,51.3,8.5,207,535,38.7,wide_open,2016
