,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
0,"Sat, Apr 15, 2023",1:00p,Brooklyn Nets,101,Philadelphia 76ers,121,Box Score,,20913,Wells Fargo Center,
1,"Sat, Apr 15, 2023",3:30p,Atlanta Hawks,99,Boston Celtics,112,Box Score,,19156,TD Garden,
2,"Sat, Apr 15, 2023",6:00p,New York Knicks,101,Cleveland Cavaliers,97,Box Score,,19432,Rocket Mortgage Fieldhouse,
3,"Sat, Apr 15, 2023",8:30p,Golden State Warriors,123,Sacramento Kings,126,Box Score,,18253,Golden 1 Center,
4,"Sun, Apr 16, 2023",3:00p,Los Angeles Lakers,128,Memphis Grizzlies,112,Box Score,,18487,FedEx Forum,
5,"Sun, Apr 16, 2023",5:30p,Miami Heat,130,Milwaukee Bucks,117,Box Score,,17381,Fiserv Forum,
6,"Sun, Apr 16, 2023",8:00p,Los Angeles Clippers,115,Phoenix Suns,110,Box Score,,17071,Footprint Center,
7,"Sun, Apr 16, 2023",10:30p,Minnesota Timberwolves,80,Denver Nuggets,109,Box Score,,19628,Ball Arena,
8,"Mon, Apr 17, 2023",7:30p,Brooklyn Nets,84,Philadelphia 76ers,96,Box Score,,20958,Wells Fargo Center,
9,"Mon, Apr 17, 2023",10:00p,Golden State Warriors,106,Sacramento Kings,114,Box Score,,18253,Golden 1 Center,
10,"Tue, Apr 18, 2023",7:00p,Atlanta Hawks,106,Boston Celtics,119,Box Score,,19156,TD Garden,
11,"Tue, Apr 18, 2023",7:30p,New York Knicks,90,Cleveland Cavaliers,107,Box Score,,19432,Rocket Mortgage Fieldhouse,
12,"Tue, Apr 18, 2023",10:00p,Los Angeles Clippers,109,Phoenix Suns,123,Box Score,,17071,Footprint Center,
13,"Wed, Apr 19, 2023",7:30p,Los Angeles Lakers,93,Memphis Grizzlies,103,Box Score,,17928,FedEx Forum,
14,"Wed, Apr 19, 2023",9:00p,Miami Heat,122,Milwaukee Bucks,138,Box Score,,17576,Fiserv Forum,
15,"Wed, Apr 19, 2023",10:00p,Minnesota Timberwolves,113,Denver Nuggets,122,Box Score,,19683,Ball Arena,
16,"Thu, Apr 20, 2023",7:30p,Philadelphia 76ers,102,Brooklyn Nets,97,Box Score,,17910,Barclays Center,
17,"Thu, Apr 20, 2023",10:00p,Sacramento Kings,97,Golden State Warriors,114,Box Score,,18064,Chase Center,
18,"Thu, Apr 20, 2023",10:30p,Phoenix Suns,129,Los Angeles Clippers,124,Box Score,,19068,Crypto.com Arena,
19,"Fri, Apr 21, 2023",7:00p,Boston Celtics,122,Atlanta Hawks,130,Box Score,,18536,State Farm Arena,
20,"Fri, Apr 21, 2023",8:30p,Cleveland Cavaliers,79,New York Knicks,99,Box Score,,19812,Madison Square Garden (IV),
21,"Fri, Apr 21, 2023",9:30p,Denver Nuggets,120,Minnesota Timberwolves,111,Box Score,,19536,Target Center,
22,"Sat, Apr 22, 2023",1:00p,Philadelphia 76ers,96,Brooklyn Nets,88,Box Score,,18037,Barclays Center,
23,"Sat, Apr 22, 2023",3:30p,Phoenix Suns,112,Los Angeles Clippers,100,Box Score,,19068,Crypto.com Arena,
24,"Sat, Apr 22, 2023",7:30p,Milwaukee Bucks,99,Miami Heat,121,Box Score,,19734,Kaseya Center,
25,"Sat, Apr 22, 2023",10:00p,Memphis Grizzlies,101,Los Angeles Lakers,111,Box Score,,18997,Crypto.com Arena,
26,"Sun, Apr 23, 2023",1:00p,Cleveland Cavaliers,93,New York Knicks,102,Box Score,,19812,Madison Square Garden (IV),
27,"Sun, Apr 23, 2023",3:30p,Sacramento Kings,125,Golden State Warriors,126,Box Score,,18064,Chase Center,
28,"Sun, Apr 23, 2023",7:00p,Boston Celtics,129,Atlanta Hawks,121,Box Score,,19144,State Farm Arena,
29,"Sun, Apr 23, 2023",9:30p,Denver Nuggets,108,Minnesota Timberwolves,114,Box Score,OT,18978,Target Center,
30,"Mon, Apr 24, 2023",7:30p,Milwaukee Bucks,114,Miami Heat,119,Box Score,,19614,Kaseya Center,
31,"Mon, Apr 24, 2023",10:00p,Memphis Grizzlies,111,Los Angeles Lakers,117,Box Score,OT,18997,Crypto.com Arena,
32,"Tue, Apr 25, 2023",7:30p,Atlanta Hawks,119,Boston Celtics,117,Box Score,,19156,TD Garden,
33,"Tue, Apr 25, 2023",9:00p,Minnesota Timberwolves,109,Denver Nuggets,112,Box Score,,19691,Ball Arena,
34,"Tue, Apr 25, 2023",10:00p,Los Angeles Clippers,130,Phoenix Suns,136,Box Score,,17071,Footprint Center,
35,"Wed, Apr 26, 2023",7:00p,New York Knicks,106,Cleveland Cavaliers,95,Box Score,,19432,Rocket Mortgage Fieldhouse,
36,"Wed, Apr 26, 2023",7:30p,Los Angeles Lakers,99,Memphis Grizzlies,116,Box Score,,18117,FedEx Forum,
37,"Wed, Apr 26, 2023",9:30p,Miami Heat,128,Milwaukee Bucks,126,Box Score,OT,18113,Fiserv Forum,
38,"Wed, Apr 26, 2023",10:00p,Golden State Warriors,123,Sacramento Kings,116,Box Score,,18253,Golden 1 Center,
39,"Thu, Apr 27, 2023",8:30p,Boston Celtics,128,Atlanta Hawks,120,Box Score,,19176,State Farm Arena,
40,"Fri, Apr 28, 2023",8:00p,Sacramento Kings,118,Golden State Warriors,99,Box Score,,18064,Chase Center,
41,"Fri, Apr 28, 2023",10:30p,Memphis Grizzlies,85,Los Angeles Lakers,125,Box Score,,18997,Crypto.com Arena,
42,"Sat, Apr 29, 2023",8:30p,Phoenix Suns,107,Denver Nuggets,125,Box Score,,19762,Ball Arena,
43,"Sun, Apr 30, 2023",1:00p,Miami Heat,108,New York Knicks,101,Box Score,,19812,Madison Square Garden (IV),
44,"Sun, Apr 30, 2023",3:30p,Golden State Warriors,120,Sacramento Kings,100,Box Score,,18253,Golden 1 Center,
45,"Mon, May 1, 2023",7:30p,Philadelphia 76ers,119,Boston Celtics,115,Box Score,,19156,TD Garden,
46,"Mon, May 1, 2023",10:00p,Phoenix Suns,87,Denver Nuggets,97,Box Score,,19592,Ball Arena,
47,"Tue, May 2, 2023",7:30p,Miami Heat,105,New York Knicks,111,Box Score,,19812,Madison Square Garden (IV),
48,"Tue, May 2, 2023",10:00p,Los Angeles Lakers,117,Golden State Warriors,112,Box Score,,18064,Chase Center,
49,"Wed, May 3, 2023",8:00p,Philadelphia 76ers,87,Boston Celtics,121,Box Score,,19156,TD Garden,
50,"Thu, May 4, 2023",9:00p,Los Angeles Lakers,100,Golden State Warriors,127,Box Score,,18064,Chase Center,
51,"Fri, May 5, 2023",7:30p,Boston Celtics,114,Philadelphia 76ers,102,Box Score,,21290,Wells Fargo Center,
52,"Fri, May 5, 2023",10:00p,Denver Nuggets,114,Phoenix Suns,121,Box Score,,17071,Footprint Center,
53,"Sat, May 6, 2023",3:30p,New York Knicks,86,Miami Heat,105,Box Score,,19927,Kaseya Center,
54,"Sat, May 6, 2023",8:30p,Golden State Warriors,97,Los Angeles Lakers,127,Box Score,,18997,Crypto.com Arena,
55,"Sun, May 7, 2023",3:30p,Boston Celtics,115,Philadelphia 76ers,116,Box Score,OT,21264,Wells Fargo Center,
56,"Sun, May 7, 2023",8:00p,Denver Nuggets,124,Phoenix Suns,129,Box Score,,17071,Footprint Center,
57,"Mon, May 8, 2023",7:30p,New York Knicks,101,Miami Heat,109,Box Score,,19769,Kaseya Center,
58,"Mon, May 8, 2023",10:00p,Golden State Warriors,101,Los Angeles Lakers,104,Box Score,,18997,Crypto.com Arena,
59,"Tue, May 9, 2023",7:30p,Philadelphia 76ers,115,Boston Celtics,103,Box Score,,19156,TD Garden,
60,"Tue, May 9, 2023",10:00p,Phoenix Suns,102,Denver Nuggets,118,Box Score,,19773,Ball Arena,
61,"Wed, May 10, 2023",7:30p,Miami Heat,103,New York Knicks,112,Box Score,,19812,Madison Square Garden (IV),
62,"Wed, May 10, 2023",10:00p,Los Angeles Lakers,106,Golden State Warriors,121,Box Score,,18064,Chase Center,
63,"Thu, May 11, 2023",7:30p,Boston Celtics,95,Philadelphia 76ers,86,Box Score,,21337,Wells Fargo Center,
64,"Thu, May 11, 2023",10:00p,Denver Nuggets,125,Phoenix Suns,100,Box Score,,17071,Footprint Center,
65,"Fri, May 12, 2023",7:30p,New York Knicks,92,Miami Heat,96,Box Score,,19737,Kaseya Center,
66,"Fri, May 12, 2023",10:00p,Golden State Warriors,101,Los Angeles Lakers,122,Box Score,,18997,Crypto.com Arena,
67,"Sun, May 14, 2023",3:30p,Philadelphia 76ers,88,Boston Celtics,112,Box Score,,19156,TD Garden,
68,"Tue, May 16, 2023",8:30p,Los Angeles Lakers,126,Denver Nuggets,132,Box Score,,19633,Ball Arena,
69,"Wed, May 17, 2023",8:30p,Miami Heat,123,Boston Celtics,116,Box Score,,19156,TD Garden,
70,"Thu, May 18, 2023",8:30p,Los Angeles Lakers,103,Denver Nuggets,108,Box Score,,19742,Ball Arena,
71,"Fri, May 19, 2023",8:30p,Miami Heat,111,Boston Celtics,105,Box Score,,19156,TD Garden,
72,"Sat, May 20, 2023",8:30p,Denver Nuggets,119,Los Angeles Lakers,108,Box Score,,18997,Crypto.com Arena,
73,"Sun, May 21, 2023",8:30p,Boston Celtics,102,Miami Heat,128,Box Score,,20088,Kaseya Center,
74,"Mon, May 22, 2023",8:30p,Denver Nuggets,113,Los Angeles Lakers,111,Box Score,,18997,Crypto.com Arena,
75,"Tue, May 23, 2023",8:30p,Boston Celtics,116,Miami Heat,99,Box Score,,20147,Kaseya Center,
76,"Thu, May 25, 2023",8:30p,Miami Heat,97,Boston Celtics,110,Box Score,,19156,TD Garden,
77,"Sat, May 27, 2023",8:30p,Boston Celtics,104,Miami Heat,103,Box Score,,20201,Kaseya Center,
78,"Mon, May 29, 2023",8:30p,Miami Heat,103,Boston Celtics,84,Box Score,,19156,TD Garden,
79,"Thu, Jun 1, 2023",8:30p,Miami Heat,93,Denver Nuggets,104,Box Score,,19528,Ball Arena,
80,"Sun, Jun 4, 2023",8:00p,Miami Heat,111,Denver Nuggets,108,Box Score,,19537,Ball Arena,
81,"Wed, Jun 7, 2023",8:30p,Denver Nuggets,109,Miami Heat,94,Box Score,,20019,Kaseya Center,
82,"Fri, Jun 9, 2023",8:30p,Denver Nuggets,108,Miami Heat,95,Box Score,,20184,Kaseya Center,
83,"Mon, Jun 12, 2023",8:30p,Miami Heat,89,Denver Nuggets,94,Box Score,,19537,Ball Arena,
