Player,Team,Age,GP,Min,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots
Aaron Gordon,DEN,26,75,2375,53,130,68,31,19,50,62.0,38.0,1,260,139,399
Aaron Henry,PHI,22,6,17,0,0,1,0,0,0,0.0,0.0,0,3,2,5
Aaron Holiday,PHX,25,63,1021,8,21,83,12,16,28,42.9,57.1,1,76,90,166
Aaron Nesmith,BOS,22,52,574,4,10,29,5,8,13,38.5,61.5,4,95,56,151
Aaron Wiggins,OKC,23,50,1209,14,30,65,10,16,26,38.5,61.5,0,153,149,302
Abdel Nader,PHX,28,14,145,1,2,13,2,2,4,50.0,50.0,0,25,12,37
Ade Murkey,SAC,24,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Admiral Schofield,ORL,25,38,469,20,44,10,4,1,5,80.0,20.0,2,48,43,91
Ahmad Caver,IND,25,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Al Horford,BOS,36,69,2005,138,316,66,21,23,44,47.7,52.3,0,506,250,756
Alec Burks,NYK,30,81,2318,15,33,136,27,32,59,45.8,54.2,0,217,235,452
Aleem Ford,ORL,24,5,74,0,0,4,2,1,3,66.7,33.3,1,8,7,15
Aleksej Pokusevski,OKC,20,61,1233,23,52,72,8,13,21,38.1,61.9,0,196,162,358
Alex Caruso,CHI,28,41,1147,25,53,138,7,20,27,25.9,74.1,7,94,105,199
Alex Len,SAC,29,39,620,137,320,32,7,4,11,63.6,36.4,0,237,47,284
Alfonzo McKinnie,CHI,29,17,206,5,12,9,5,2,7,71.4,28.6,0,20,15,35
Alize Johnson,NOP,26,23,167,16,37,7,6,2,8,75.0,25.0,0,24,18,42
Alperen Sengun,HOU,19,72,1489,159,390,121,25,15,40,62.5,37.5,11,386,146,532
Amir Coffey,LAC,25,69,1567,14,29,75,15,12,27,55.6,44.4,4,123,79,202
Andre Drummond,BKN,28,73,1437,210,477,156,25,15,40,62.5,37.5,0,378,100,478
Andre Iguodala,GSW,38,31,603,15,35,56,8,7,15,53.3,46.7,1,57,37,94
Andrew Wiggins,GSW,27,73,2330,30,75,106,25,14,39,64.1,35.9,1,298,314,612
Anfernee Simons,POR,23,57,1681,11,26,44,13,14,27,48.1,51.9,1,90,141,231
Anthony Davis,LAL,29,40,1404,91,207,97,22,13,35,62.9,37.1,2,278,159,437
Anthony Edwards,MIN,20,72,2466,12,29,180,34,46,80,42.5,57.5,1,189,183,372
Anthony Gill,WAS,29,44,463,33,71,11,8,5,13,61.5,38.5,1,64,49,113
Anthony Lamb,HOU,24,2,8,0,0,1,0,0,0,0.0,0.0,0,0,0,0
Armoni Brooks,TOR,24,54,844,0,0,62,6,6,12,50.0,50.0,1,41,66,107
Arnoldas Kulboka,CHA,24,2,5,0,0,0,0,0,0,0.0,0.0,0,0,1,1
Austin Reaves,LAL,24,61,1418,10,26,69,11,10,21,52.4,47.6,15,190,153,343
Austin Rivers,DEN,29,67,1480,3,8,97,6,14,20,30.0,70.0,0,94,81,175
Avery Bradley,LAL,31,62,1406,27,64,96,6,18,24,25.0,75.0,2,75,91,166
Ayo Dosunmu,CHI,22,77,2110,16,33,104,22,35,57,38.6,61.4,1,239,129,368
BJ Johnson,ORL,26,4,65,0,0,1,1,0,1,100.0,0.0,0,8,1,9
Bam Adebayo,MIA,24,56,1825,212,538,136,30,21,51,58.8,41.2,3,276,163,439
Ben McLemore,POR,29,64,1285,6,13,66,14,14,28,50.0,50.0,1,60,102,162
Bismack Biyombo,PHX,29,36,506,99,222,34,4,7,11,36.4,63.6,0,151,32,183
Blake Griffin,BKN,33,56,958,90,207,53,12,11,23,52.2,47.8,26,153,100,253
Boban Marjanovic,DAL,33,23,128,11,24,1,2,0,2,100.0,0.0,0,37,7,44
Bobby Portis,MIL,27,72,2028,125,298,116,31,18,49,63.3,36.7,0,391,260,651
Bogdan Bogdanovic,ATL,29,63,1849,28,63,123,10,15,25,40.0,60.0,1,164,204,368
Bojan Bogdanovic,UTA,33,69,2131,20,53,51,18,15,33,54.5,45.5,1,133,162,295
Bol Bol,ORL,22,14,81,0,0,3,2,3,5,40.0,60.0,0,7,16,23
Bones Hyland,DEN,21,69,1310,8,23,81,9,20,29,31.0,69.0,0,109,127,236
Brad Wanamaker,WAS,32,23,320,0,0,15,0,4,4,0.0,100.0,0,23,26,49
Bradley Beal,WAS,29,40,1439,20,43,77,24,21,45,53.3,46.7,7,90,93,183
Brandon Boston Jr.,LAC,20,51,760,1,3,43,7,7,14,50.0,50.0,0,52,70,122
Brandon Clarke,MEM,25,64,1246,130,285,77,16,19,35,45.7,54.3,0,267,126,393
Brandon Goodwin,CLE,26,36,502,3,6,44,9,12,21,42.9,57.1,0,34,31,65
Brandon Ingram,NOP,24,55,1869,26,62,74,19,16,35,54.3,45.7,2,163,168,331
Brandon Knight,DAL,30,5,65,0,0,3,1,1,2,50.0,50.0,0,3,7,10
Brandon Williams,POR,22,24,640,3,8,45,16,5,21,76.2,23.8,0,52,85,137
Braxton Key,DET,25,11,197,8,17,20,2,5,7,28.6,71.4,2,29,21,50
Brodric Thomas,BOS,25,12,60,1,3,5,0,3,3,0.0,100.0,0,5,4,9
Brook Lopez,MIL,34,13,298,38,86,17,4,1,5,80.0,20.0,0,105,30,135
Bruce Brown,BKN,25,72,1774,68,163,166,30,21,51,58.8,41.2,0,190,168,358
Bruno Fernando,HOU,23,30,153,12,28,6,3,3,6,50.0,50.0,0,39,16,55
Bryn Forbes,DEN,28,75,1286,7,16,38,15,13,28,53.6,46.4,0,38,56,94
Buddy Hield,IND,29,81,2499,36,80,139,36,24,60,60.0,40.0,0,277,191,468
CJ Elleby,POR,22,58,1174,14,34,60,14,16,30,46.7,53.3,3,108,105,213
CJ McCollum,NOP,30,62,2145,12,25,96,30,23,53,56.6,43.4,1,177,218,395
CJ Miles,BOS,35,1,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Cade Cunningham,DET,20,64,2088,27,64,147,31,34,65,47.7,52.3,2,252,188,440
Caleb Martin,MIA,26,60,1372,23,62,111,22,18,40,55.0,45.0,9,125,172,297
Cam Reddish,NYK,22,49,1012,4,9,111,11,19,30,36.7,63.3,1,80,117,197
Cam Thomas,BKN,20,67,1176,5,11,54,5,17,22,22.7,77.3,0,105,103,208
Cameron Johnson,PHX,26,66,1730,29,63,84,17,21,38,44.7,55.3,6,193,144,337
Cameron McGriff,POR,24,3,46,2,5,2,3,2,5,60.0,40.0,0,3,3,6
Cameron Oliver,ATL,25,2,43,9,20,4,0,0,0,0.0,0.0,0,7,2,9
Cameron Payne,PHX,27,58,1278,7,19,95,17,12,29,58.6,41.4,5,85,105,190
Caris LeVert,CLE,27,58,1780,11,25,90,25,25,50,50.0,50.0,2,127,162,289
Carlik Jones,DEN,24,5,23,0,0,2,0,0,0,0.0,0.0,0,1,1,2
Carmelo Anthony,LAL,38,69,1793,50,115,79,9,13,22,40.9,59.1,0,192,164,356
Carsen Edwards,DET,24,4,79,2,4,5,1,2,3,33.3,66.7,0,5,7,12
Cassius Stanley,DET,22,9,155,2,5,6,3,1,4,75.0,25.0,1,16,12,28
Cassius Winston,WAS,24,7,39,0,0,2,0,0,0,0.0,0.0,0,3,0,3
Cat Barber,ATL,27,3,13,0,0,0,0,0,0,0.0,0.0,0,1,0,1
Cedi Osman,CLE,27,66,1462,15,34,84,10,11,21,47.6,52.4,1,116,98,214
Chandler Hutchison,PHX,26,6,22,0,0,1,0,0,0,0.0,0.0,0,1,1,2
Charles Bassey,PHI,21,23,168,18,40,8,4,0,4,100.0,0.0,0,39,8,47
Charlie Brown Jr.,PHI,25,22,178,2,4,18,0,3,3,0.0,100.0,0,21,12,33
Chaundee Brown Jr.,ATL,23,5,104,2,6,4,0,0,0,0.0,0.0,1,8,6,14
Cheick Diallo,DET,25,3,31,6,12,1,2,0,2,100.0,0.0,0,7,0,7
Chimezie Metu,SAC,25,60,1279,35,78,103,12,10,22,54.5,45.5,1,185,157,342
Chris Boucher,TOR,29,80,1690,75,178,96,20,12,32,62.5,37.5,13,347,152,499
Chris Chiozza,GSW,26,34,372,5,13,19,2,1,3,66.7,33.3,1,22,31,53
Chris Duarte,IND,25,55,1541,12,26,90,14,24,38,36.8,63.2,1,145,152,297
Chris Paul,PHX,37,65,2139,25,63,175,23,39,62,37.1,62.9,2,56,112,168
Chris Silva,MIA,25,10,91,10,26,8,0,3,3,0.0,100.0,2,12,1,13
Christian Wood,HOU,26,68,2094,128,309,84,15,20,35,42.9,57.1,0,445,272,717
Chuma Okeke,ORL,23,70,1749,38,87,147,19,28,47,40.4,59.6,0,221,177,398
Clint Capela,ATL,28,74,2042,285,641,101,29,18,47,61.7,38.3,14,572,145,717
Coby White,CHI,22,61,1675,24,53,55,18,18,36,50.0,50.0,3,210,152,362
Cody Martin,CHA,26,71,1866,32,80,165,29,33,62,46.8,53.2,19,138,154,292
Cody Zeller,POR,29,27,355,71,164,22,10,4,14,71.4,28.6,1,60,19,79
Cole Anthony,ORL,22,65,2059,11,27,83,24,23,47,51.1,48.9,7,149,155,304
Collin Sexton,CLE,23,11,316,0,0,16,3,5,8,37.5,62.5,0,26,16,42
Corey Kispert,WAS,23,77,1801,22,49,47,20,21,41,48.8,51.2,0,237,116,353
Cory Joseph,DET,30,65,1600,20,48,83,17,19,36,47.2,52.8,4,159,122,281
Craig Sword,WAS,28,3,19,0,0,4,0,2,2,0.0,100.0,0,1,1,2
D'Angelo Russell,MIN,26,65,2077,23,60,123,17,16,33,51.5,48.5,5,128,168,296
D.J. Augustin,LAL,34,55,883,5,13,26,8,8,16,50.0,50.0,1,20,44,64
D.J. Wilson,TOR,26,4,54,2,5,5,0,1,1,0.0,100.0,0,17,6,23
DaQuan Jeffries,MEM,24,3,9,0,0,0,0,1,1,0.0,100.0,0,2,0,2
Daishen Nix,HOU,20,24,261,1,2,19,0,2,2,0.0,100.0,0,9,13,22
Dakota Mathias,MEM,26,6,16,0,0,1,0,1,1,0.0,100.0,0,0,1,1
Dalano Banton,TOR,22,64,696,11,28,56,8,15,23,34.8,65.2,0,82,74,156
Damian Jones,SAC,27,56,1017,146,337,54,14,5,19,73.7,26.3,1,312,126,438
Damian Lillard,POR,31,29,1056,4,9,41,9,7,16,56.3,43.8,2,52,64,116
Damion Lee,GSW,29,63,1257,18,45,58,11,10,21,52.4,47.6,5,89,139,228
Damyean Dotson,NYK,28,2,21,0,0,0,0,0,0,0.0,0.0,0,0,1,1
Daniel Gafford,WAS,23,72,1444,243,536,85,21,14,35,60.0,40.0,1,522,119,641
Daniel Oturu,TOR,22,3,27,2,5,1,0,0,0,0.0,0.0,0,5,2,7
Daniel Theis,BOS,30,47,977,96,240,49,8,13,21,38.1,61.9,0,246,123,369
Danilo Gallinari,ATL,33,66,1672,63,143,61,15,15,30,50.0,50.0,3,180,126,306
Danny Green,PHI,35,62,1353,21,50,122,9,18,27,33.3,66.7,2,196,134,330
Danuel House Jr.,UTA,29,42,727,6,15,41,11,10,21,52.4,47.6,1,97,59,156
Darius Bazley,OKC,22,69,1924,73,158,81,20,19,39,51.3,48.7,0,309,291,600
