TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,round,year
Phoenix Suns,6,6,9.3,22,49,44.9,44.9,9.0,22,47,46.8,0.4,0,2,0.0,very_tight,3,2021
Milwaukee Bucks,6,6,8.7,25,48,52.1,53.1,8.3,24,46,52.2,0.4,1,2,50.0,very_tight,3,2021
LA Clippers,6,6,8.3,21,41,51.2,51.2,8.1,21,40,52.5,0.2,0,1,0.0,very_tight,3,2021
Atlanta Hawks,6,6,7.6,19,40,47.5,47.5,7.6,19,40,47.5,0.0,0,0,-,very_tight,3,2021
Milwaukee Bucks,6,6,39.5,126,219,57.5,58.4,35.0,122,194,62.9,4.5,4,25,16.0,tight,3,2021
Phoenix Suns,6,6,41.0,118,215,54.9,57.7,37.0,106,194,54.6,4.0,12,21,57.1,tight,3,2021
LA Clippers,6,6,42.1,94,209,45.0,47.6,33.5,83,166,50.0,8.7,11,43,25.6,tight,3,2021
Atlanta Hawks,6,6,35.4,100,187,53.5,55.3,32.4,93,171,54.4,3.0,7,16,43.8,tight,3,2021
Atlanta Hawks,6,6,36.4,79,192,41.1,49.7,16.3,46,86,53.5,20.1,33,106,31.1,open,3,2021
Phoenix Suns,6,6,36.2,76,190,40.0,46.8,18.5,50,97,51.5,17.7,26,93,28.0,open,3,2021
Milwaukee Bucks,6,6,30.7,71,170,41.8,49.4,14.8,45,82,54.9,15.9,26,88,29.5,open,3,2021
LA Clippers,6,6,31.0,68,154,44.2,54.2,12.9,37,64,57.8,18.1,31,90,34.4,open,3,2021
Milwaukee Bucks,6,6,21.1,42,117,35.9,51.7,2.3,5,13,38.5,18.8,37,104,35.6,wide_open,3,2021
Atlanta Hawks,6,6,20.6,44,109,40.4,55.0,3.4,12,18,66.7,17.2,32,91,35.2,wide_open,3,2021
LA Clippers,6,6,18.5,36,92,39.1,55.4,2.2,6,11,54.5,16.3,30,81,37.0,wide_open,3,2021
Phoenix Suns,6,6,13.5,31,71,43.7,58.5,3.8,10,20,50.0,9.7,21,51,41.2,wide_open,3,2021
