Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch
Aaron Gordon,DEN,50,29,21,1384,618,2415,1291,146,3.62,2.83,0.256,63,113,192,0.619,0.451,0.938
Aaron Holiday,IND,66,30,36,1176,475,1620,1020,80,2.97,2.61,0.293,11,0,22,0.727,0.0,0.591
Aaron Nesmith,BOS,46,22,24,669,218,767,435,21,1.67,0.81,0.284,8,1,33,0.5,0.0,0.97
Abdel Nader,PHX,24,16,8,355,160,389,261,12,1.91,1.19,0.411,0,0,17,0.0,0.0,1.176
Adam Mokoka,CHI,14,3,11,56,15,58,43,1,1.37,0.78,0.259,1,0,1,0.0,0.0,2.0
Al Horford,OKC,28,11,17,782,398,1500,1079,54,2.15,0.73,0.265,75,109,97,0.4,0.55,0.753
Al-Farouq Aminu,CHI,23,5,18,434,102,693,316,24,2.04,1.02,0.147,23,24,41,0.217,0.208,0.561
Alec Burks,NYK,49,27,22,1255,623,1904,1210,111,3.5,2.78,0.327,18,2,35,0.444,1.0,0.8
Aleksej Pokusevski,OKC,45,13,32,1090,367,1861,1036,74,2.39,1.63,0.197,12,5,46,0.5,0.4,0.609
Alen Smailagic,GSW,15,10,5,84,28,139,73,4,1.76,0.51,0.201,5,3,12,0.4,0.0,0.583
Alex Caruso,LAL,58,32,26,1216,370,2553,1088,146,3.44,2.7,0.145,32,3,48,0.531,0.0,0.667
Alex Len,WAS,64,30,34,979,423,1403,811,31,1.33,0.45,0.301,98,35,317,0.633,0.571,0.94
Alfonzo McKinnie,LAL,39,22,17,258,122,314,197,9,1.72,0.76,0.389,2,0,32,0.0,0.0,1.156
Alize Johnson,BKN,18,10,8,189,94,288,129,12,2.56,1.82,0.326,6,2,47,0.667,0.0,0.894
Amida Brimah,IND,5,2,3,29,13,46,25,1,1.32,0.35,0.283,1,4,10,0.0,0.0,1.3
Amir Coffey,LAC,44,32,12,395,140,473,346,21,2.61,1.69,0.296,2,0,6,1.0,0.0,1.0
Anderson Varejao,CLE,5,1,4,36,13,79,39,3,1.96,0.66,0.165,8,5,9,0.625,0.6,0.444
Andre Drummond,LAL,46,19,27,1242,687,2439,1379,87,2.15,0.89,0.282,189,294,461,0.466,0.49,0.837
Andre Iguodala,MIA,63,37,26,1339,275,2246,962,109,2.91,1.93,0.122,51,27,78,0.235,0.296,0.308
Andre Roberson,BKN,5,4,1,63,6,83,40,2,1.31,0.63,0.072,6,0,7,0.167,0.0,0.286
Andrew Wiggins,GSW,71,38,33,2364,1320,3405,2353,170,2.99,2.2,0.388,33,122,171,0.515,0.615,0.971
Anfernee Simons,POR,64,37,27,1104,502,1807,646,147,4.89,4.37,0.278,6,1,10,0.0,0.0,0.4
Anthony Davis,LAL,36,23,13,1162,786,2219,1428,94,2.54,1.11,0.354,150,332,230,0.687,0.554,1.017
Anthony Edwards,MIN,72,23,49,2314,1392,3898,2293,241,3.7,3.11,0.357,55,15,98,0.964,0.667,0.929
Anthony Gill,WAS,26,11,15,218,80,292,169,7,1.5,0.51,0.274,7,2,34,0.571,1.5,0.824
Anthony Lamb,HOU,24,3,21,415,133,622,314,21,2.04,1.29,0.214,10,8,40,0.6,0.375,0.625
Anthony Tolliver,PHI,11,7,4,99,17,94,61,2,1.54,0.63,0.181,0,0,3,0.0,0.0,0.0
Anzejs Pasecniks,WAS,1,1,0,6,0,20,15,1,1.79,0.8,0.0,0,3,1,0.0,0.0,0.0
Armoni Brooks,HOU,20,3,17,520,223,738,471,32,2.58,1.82,0.302,3,1,9,0.0,0.0,0.556
Aron Baynes,TOR,53,20,33,980,324,1462,873,32,1.29,0.28,0.222,90,16,205,0.522,0.25,0.8
Ashton Hagans,MIN,2,0,2,4,0,3,1,0,3.97,4.0,0.0,0,0,0,0.0,0.0,0.0
Austin Rivers,DEN,36,20,16,845,285,1202,812,72,3.57,2.86,0.237,7,0,8,0.571,0.0,0.25
Avery Bradley,HOU,27,6,21,602,173,800,486,33,2.46,1.97,0.216,7,1,30,0.286,0.0,0.833
Axel Toupane,MIL,8,2,6,61,14,63,34,2,1.85,0.98,0.222,3,0,4,0.667,0.0,1.0
Bam Adebayo,MIA,64,34,30,2143,1197,4124,2583,198,2.88,1.55,0.29,410,363,516,0.48,0.364,0.975
Ben McLemore,LAL,53,20,33,905,406,1198,803,31,1.57,0.74,0.339,20,2,27,0.65,0.0,0.815
Ben Simmons,PHI,58,42,16,1877,829,4755,1573,336,4.24,3.24,0.174,121,161,226,0.471,0.472,0.721
Bismack Biyombo,CHA,66,28,38,1349,331,1693,1103,42,1.5,0.39,0.196,155,31,418,0.258,0.29,0.667
Blake Griffin,BKN,46,24,22,1187,505,2173,1373,94,2.58,1.51,0.232,88,137,92,0.443,0.606,0.804
Boban Marjanovic,DAL,33,14,19,271,156,458,262,12,1.61,0.41,0.341,37,65,122,0.514,0.662,0.967
Bobby Portis,MIL,66,44,22,1372,754,2278,1127,62,1.62,0.63,0.331,93,121,253,0.71,0.678,0.909
Bogdan Bogdanovic,ATL,44,30,14,1305,720,2069,1325,105,3.04,2.11,0.348,33,10,43,0.788,0.0,0.698
Bojan Bogdanovic,UTA,72,52,20,2216,1225,2986,2154,113,2.26,1.55,0.41,28,100,70,0.679,0.64,1.071
Bol Bol,DEN,32,21,11,160,69,198,119,7,2.11,1.23,0.348,3,3,4,1.333,2.0,1.5
Brad Wanamaker,CHA,61,29,32,1053,336,2237,1055,140,3.76,3.56,0.15,6,3,33,0.667,0.0,0.939
Bradley Beal,WAS,60,32,28,2147,1878,4140,2851,230,3.33,2.77,0.454,78,27,139,0.667,0.407,0.993
Brandon Clarke,MEM,59,32,27,1415,610,1797,1124,44,1.47,0.73,0.339,157,16,289,0.586,0.5,0.983
Brandon Goodwin,ATL,47,25,22,620,228,1386,555,112,4.84,4.21,0.165,4,1,13,1.25,0.0,0.385
Brandon Ingram,NOP,61,29,32,2092,1450,3830,2450,238,3.74,2.73,0.379,53,31,51,0.774,0.742,0.745
Brian Bowen II,IND,6,1,5,15,3,15,8,1,1.91,0.8,0.2,0,0,1,0.0,0.0,0.0
Brodric Thomas,CLE,32,6,26,399,125,575,316,31,3.28,2.75,0.217,11,0,19,0.727,0.0,1.0
Brook Lopez,MIL,70,46,24,1902,859,1990,1246,46,1.4,0.39,0.432,82,110,280,0.841,0.718,1.071
Bruce Brown,BKN,65,45,20,1451,573,1988,978,71,2.16,1.38,0.288,133,5,288,0.617,0.4,0.885
Bruno Caboclo,HOU,6,1,5,36,17,74,43,2,1.72,0.68,0.23,3,0,9,1.333,0.0,0.556
Bruno Fernando,ATL,33,20,13,226,51,351,168,9,1.58,0.59,0.145,24,13,42,0.5,0.077,0.833
Bryn Forbes,MIL,70,45,25,1354,701,1382,981,47,2.03,1.31,0.507,6,2,17,0.0,0.0,0.412
Buddy Hield,SAC,71,31,40,2433,1176,3872,2298,176,2.72,2.1,0.304,15,0,35,0.333,0.0,0.771
CJ Elleby,POR,30,19,11,192,68,259,113,16,3.65,3.02,0.263,2,1,13,0.0,0.0,1.0
CJ McCollum,POR,47,28,19,1600,1087,3062,1331,245,4.79,4.3,0.355,26,2,36,0.423,0.5,0.5
Caleb Martin,CHA,53,23,30,818,264,1116,743,43,2.32,1.39,0.237,20,0,31,0.65,0.0,0.452
Cam Reddish,ATL,26,10,16,750,292,909,565,38,2.52,1.73,0.321,17,0,41,1.118,0.0,1.171
Cam Reynolds,HOU,5,3,2,40,15,49,33,1,1.54,0.86,0.306,1,0,4,0.0,0.0,0.5
Cameron Johnson,PHX,60,43,17,1437,573,1898,1246,50,1.57,0.81,0.302,33,2,57,0.485,0.0,0.667
Cameron Oliver,HOU,4,1,3,87,43,164,87,4,1.35,0.28,0.262,8,5,11,0.75,0.4,1.455
Cameron Payne,PHX,60,42,18,1079,505,2713,1020,215,4.75,4.03,0.186,8,0,20,0.5,0.0,0.5
Caris LeVert,IND,47,24,23,1485,948,2949,1555,194,3.96,3.69,0.321,41,3,57,0.585,0.0,0.702
Carmelo Anthony,POR,69,39,30,1690,924,2072,1383,100,2.88,1.46,0.446,50,218,49,0.28,0.784,0.857
Carsen Edwards,BOS,31,14,17,276,123,362,217,15,2.4,1.75,0.34,2,0,8,2.0,0.0,1.25
Cassius Stanley,IND,24,10,14,93,36,129,88,6,2.69,2.26,0.279,1,0,12,2.0,0.0,1.083
Cassius Winston,WAS,22,10,12,98,41,217,74,16,4.4,3.99,0.189,0,0,0,0.0,0.0,0.0
Cedi Osman,CLE,59,17,42,1511,613,2550,1637,118,2.77,2.04,0.24,28,4,62,0.571,0.5,0.677
Chandler Hutchison,WAS,25,11,14,346,107,437,219,15,2.04,1.13,0.245,10,2,30,1.0,1.0,0.833
Charlie Brown Jr.,OKC,9,1,8,152,40,138,91,5,2.05,1.26,0.29,2,0,3,0.0,0.0,0.667
Chasson Randle,ORL,41,10,31,837,266,1673,462,161,5.76,5.28,0.159,3,0,8,0.667,0.0,0.5
Chimezie Metu,SAC,36,14,22,488,226,808,462,24,1.79,0.66,0.28,58,32,91,0.517,0.406,1.044
Chris Boucher,TOR,60,25,35,1453,818,2329,1290,62,1.6,0.46,0.351,92,14,285,0.783,0.5,1.077
Chris Chiozza,BKN,22,12,10,232,88,574,200,44,4.57,4.21,0.153,2,0,4,0.0,0.0,0.0
Chris Paul,PHX,70,49,21,2200,1149,5418,1783,503,5.56,4.84,0.212,18,22,24,0.556,0.682,0.333
Chris Silva,SAC,15,8,7,92,32,164,77,5,1.7,0.65,0.195,15,2,20,0.267,0.0,1.05
Christian Wood,HOU,41,12,29,1326,860,2502,1461,90,2.15,1.0,0.344,128,117,271,0.711,0.59,1.185
Chuma Okeke,ORL,45,15,30,1133,349,1784,937,60,2.0,1.07,0.196,30,51,63,0.3,0.647,0.714
Clint Capela,ATL,63,34,29,1898,956,2966,1513,70,1.42,0.33,0.322,214,101,777,0.519,0.564,0.977
Coby White,CHI,69,30,39,2156,1041,4576,1668,376,4.93,4.37,0.227,45,8,29,0.356,0.0,0.552
Cody Martin,CHA,52,26,26,849,207,1167,703,48,2.45,1.48,0.177,16,2,55,0.625,1.0,0.509
Cody Zeller,CHA,48,21,27,1005,451,1661,1035,45,1.63,0.6,0.272,165,27,289,0.503,0.333,0.792
Cole Anthony,ORL,47,13,34,1273,605,2876,759,288,6.0,5.67,0.21,13,1,40,0.462,2.0,0.625
Collin Sexton,CLE,60,18,42,2115,1460,4596,2247,352,4.59,4.05,0.318,75,13,132,0.88,0.615,0.962
Cory Joseph,DET,63,25,38,1446,517,2624,1109,190,4.35,4.39,0.197,30,2,48,0.267,0.0,0.521
Cristiano Felicio,CHI,18,6,12,84,23,184,101,7,2.12,0.61,0.125,15,1,21,0.267,0.0,0.81
D'Angelo Russell,MIN,42,16,26,1196,796,2872,1317,212,4.43,3.71,0.277,27,20,39,0.704,0.8,0.872
D.J. Augustin,HOU,57,28,29,1129,438,2121,924,182,5.15,5.26,0.207,7,0,9,0.286,0.0,0.444
D.J. Wilson,HOU,35,13,22,433,183,715,375,21,1.78,0.67,0.256,38,7,69,0.447,0.286,0.638
DaQuan Jeffries,SAS,31,6,25,493,127,513,309,15,1.73,0.86,0.248,13,1,22,0.462,2.0,0.773
Dakota Mathias,PHI,8,4,4,123,48,177,140,6,2.09,1.43,0.271,4,0,1,0.5,0.0,0.0
Damian Jones,SAC,39,24,15,546,183,677,426,17,1.54,0.48,0.27,78,14,127,0.692,0.429,0.976
Damian Lillard,POR,67,39,28,2398,1928,5449,1752,559,6.16,5.62,0.354,21,25,46,1.0,1.0,0.63
Damion Lee,GSW,57,28,29,1079,373,1697,1002,51,1.79,0.93,0.22,10,1,23,0.2,0.0,1.261
Damyean Dotson,CLE,46,14,32,907,308,1518,832,96,3.79,3.12,0.203,13,0,11,0.615,0.0,0.727
Daniel Gafford,WAS,54,31,23,791,380,1192,573,29,1.47,0.3,0.319,80,28,266,0.663,0.929,1.158
Daniel Oturu,LAC,30,21,9,161,54,186,111,7,2.16,1.01,0.29,12,13,41,0.167,0.308,0.683
Daniel Theis,CHI,65,28,37,1601,627,2357,1426,62,1.59,0.4,0.266,142,27,257,0.521,0.704,1.128
Danilo Gallinari,ATL,51,29,22,1222,676,2107,1288,80,2.28,0.91,0.321,38,150,46,0.711,0.513,1.152
Danny Green,PHI,69,46,23,1934,654,2638,1545,69,1.57,0.68,0.248,14,3,46,0.429,0.667,0.478
Dante Exum,HOU,6,3,3,116,23,181,93,12,3.93,3.22,0.127,2,0,8,1.0,0.0,1.0
Danuel House Jr.,HOU,36,8,28,932,315,1321,717,53,2.4,1.48,0.238,15,2,39,0.867,0.0,0.872
Dario Saric,PHX,50,37,13,870,437,1637,1063,46,1.68,0.7,0.267,135,114,202,0.489,0.482,0.782
Darius Bazley,OKC,55,16,39,1714,754,2947,1464,132,2.68,1.89,0.256,36,11,97,0.611,0.455,0.856
Darius Garland,CLE,54,18,36,1790,941,4162,1806,334,4.82,4.36,0.226,33,3,36,0.485,0.0,0.694
