PLAYER,TEAM,GP,W,L,MIN,Touches,ElbowTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,50,29,21,1384,2415,63,16,23,69.6,4,4,100.0,39,61.9,34,54.0,8,23.5,3,4.8,2,3.2
Aaron Holiday,IND,66,30,36,1176,1620,11,3,5,60.0,2,2,100.0,8,72.7,4,36.4,2,50.0,1,9.1,1,9.1
Aaron Nesmith,BOS,46,22,24,669,767,8,2,4,50.0,0,0,0.0,4,50.0,4,50.0,0,0.0,0,0.0,0,0.0
Abdel Nader,PHX,24,16,8,355,389,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Adam Mokoka,CHI,14,3,11,56,58,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,OKC,28,11,17,782,1500,75,13,25,52.0,3,4,75.0,30,40.0,46,61.3,11,23.9,2,2.7,2,2.7
Al-Farouq Aminu,CHI,23,5,18,434,693,23,2,6,33.3,0,2,0.0,5,21.7,15,65.2,4,26.7,0,0.0,1,4.3
Alec Burks,NYK,49,27,22,1255,1904,18,2,8,25.0,3,4,75.0,8,44.4,6,33.3,1,16.7,0,0.0,2,11.1
Aleksej Pokusevski,OKC,45,13,32,1090,1861,12,3,9,33.3,0,0,0.0,6,50.0,3,25.0,0,0.0,0,0.0,0,0.0
Alen Smailagic,GSW,15,10,5,84,139,5,1,2,50.0,0,0,0.0,2,40.0,2,40.0,0,0.0,1,20.0,0,0.0
Alex Caruso,LAL,58,32,26,1216,2553,32,7,10,70.0,3,4,75.0,17,53.1,17,53.1,4,23.5,2,6.3,2,6.3
Alex Len,WAS,64,30,34,979,1403,98,21,33,63.6,20,31,64.5,62,63.3,42,42.9,8,19.0,7,7.1,15,15.3
Alfonzo McKinnie,LAL,39,22,17,258,314,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Alize Johnson,BKN,18,10,8,189,288,6,2,4,50.0,0,0,0.0,4,66.7,2,33.3,1,50.0,0,0.0,0,0.0
