PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Aaron Gordon,DEN,50,29,21,1384,120,51,158,32.3,18,66,27.3,38.0
Aaron Holiday,IND,66,30,36,1176,94,40,107,37.4,14,46,30.4,43.9
Aaron Nesmith,BOS,46,22,24,669,25,11,31,35.5,3,15,20.0,40.3
Abdel Nader,PHX,24,16,8,355,4,2,6,33.3,0,2,0.0,33.3
Adam Mokoka,CHI,14,3,11,56,0,0,2,0.0,0,2,0.0,0.0
Al Horford,OKC,28,11,17,782,29,14,34,41.2,1,6,16.7,42.6
Al-Farouq Aminu,CHI,23,5,18,434,8,4,9,44.4,0,3,0.0,44.4
Alec Burks,NYK,49,27,22,1255,230,92,215,42.8,46,99,46.5,53.5
Aleksej Pokusevski,OKC,45,13,32,1090,81,38,125,30.4,5,38,13.2,32.4
Alen Smailagic,GSW,15,10,5,84,2,1,2,50.0,0,0,-,50.0
Alex Caruso,LAL,58,32,26,1216,40,18,58,31.0,4,17,23.5,34.5
Alex Len,WAS,64,30,34,979,2,1,2,50.0,0,1,0.0,50.0
Alfonzo McKinnie,LAL,39,22,17,258,10,5,13,38.5,0,2,0.0,38.5
Alize Johnson,BKN,18,10,8,189,6,3,6,50.0,0,0,-,50.0
Amida Brimah,IND,5,2,3,29,0,0,0,-,-,-,-,-
Amir Coffey,LAC,44,32,12,395,17,7,14,50.0,3,4,75.0,60.7
Anderson Varejao,CLE,5,1,4,36,0,0,2,0.0,0,0,-,0.0
Andre Drummond,LAL,46,19,27,1242,14,7,11,63.6,0,0,-,63.6
Andre Iguodala,MIA,63,37,26,1339,31,11,41,26.8,9,30,30.0,37.8
Andre Roberson,BKN,5,4,1,63,0,0,0,-,0,0,-,-
Andrew Wiggins,GSW,71,38,33,2364,292,128,331,38.7,36,92,39.1,44.1
Anfernee Simons,POR,64,37,27,1104,182,68,187,36.4,46,137,33.6,48.7
Anthony Davis,LAL,36,23,13,1162,146,72,184,39.1,2,12,16.7,39.7
Anthony Edwards,MIN,72,23,49,2314,326,122,394,31.0,82,249,32.9,41.4
Anthony Gill,WAS,26,11,15,218,6,2,4,50.0,2,3,66.7,75.0
Anthony Lamb,HOU,24,3,21,415,9,3,9,33.3,3,8,37.5,50.0
Anthony Tolliver,PHI,11,7,4,99,0,0,2,0.0,0,1,0.0,0.0
