PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Aaron Gordon,DEN,50,29,21,1384,207,48,23.2,289,71.6,24,78.1,6.3
Aaron Holiday,IND,48,22,26,946,74,4,5.4,122,60.7,15,69.2,9.2
Aaron Nesmith,BOS,35,15,20,585,99,26,26.3,155,63.9,10,68.3,6.2
Abdel Nader,PHX,21,13,8,344,55,9,16.4,80,68.8,10,78.6,6.3
Adam Mokoka,CHI,4,0,4,37,4,1,25.0,6,66.7,0,66.7,9.5
Al Horford,OKC,28,11,17,782,159,52,32.7,243,65.4,16,70.0,5.6
Al-Farouq Aminu,CHI,23,5,18,434,88,22,25.0,132,66.7,15,75.2,7.1
Alec Burks,NYK,49,27,22,1255,206,39,18.9,282,73.0,19,78.3,7.3
Aleksej Pokusevski,OKC,43,13,30,1065,182,31,17.0,289,63.0,26,69.2,5.0
Alen Smailagic,GSW,8,6,2,63,10,3,30.0,15,66.7,2,76.9,3.5
Alex Caruso,LAL,57,32,25,1188,139,20,14.4,222,62.6,19,68.5,8.4
Alex Len,WAS,57,25,32,936,182,57,31.3,313,58.1,28,63.9,5.0
Alfonzo McKinnie,LAL,25,14,11,208,32,8,25.0,52,61.5,3,65.3,4.3
Alize Johnson,BKN,15,8,7,184,63,14,22.2,94,67.0,10,75.0,4.8
Amida Brimah,IND,3,1,2,23,6,2,33.3,15,40.0,3,50.0,3.1
Amir Coffey,LAC,19,15,4,318,34,12,35.3,57,59.6,6,66.7,9.4
Anderson Varejao,CLE,5,1,4,36,13,5,38.5,18,72.2,1,76.5,2.8
Andre Drummond,LAL,45,18,27,1220,385,125,32.5,529,72.8,30,77.2,4.1
Andre Iguodala,MIA,59,35,24,1274,183,41,22.4,310,59.0,27,64.7,6.8
Andre Roberson,BKN,5,4,1,63,8,0,0.0,17,47.1,3,57.1,4.6
Andrew Wiggins,GSW,71,38,33,2364,265,59,22.3,468,56.6,56,64.3,6.8
Anfernee Simons,POR,49,32,17,940,126,20,15.9,171,73.7,9,77.8,6.8
