PLAYER,TEAM,GP,W,L,MIN,Touches,PostUps,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,50,29,21,1384,2415,113,16,42,38.1,18,24,75.0,51,45.1,39,34.5,9,8.0,8,7.1,12,10.6
Aaron Holiday,IND,66,30,36,1176,1620,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Aaron Nesmith,BOS,46,22,24,669,767,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Abdel Nader,PHX,24,16,8,355,389,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Adam Mokoka,CHI,14,3,11,56,58,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,OKC,28,11,17,782,1500,109,29,64,45.3,0,0,0.0,60,55.0,32,29.4,8,7.3,6,5.5,0,0.0
Al-Farouq Aminu,CHI,23,5,18,434,693,24,2,7,28.6,0,0,0.0,5,20.8,12,50.0,5,20.8,4,16.7,0,0.0
Alec Burks,NYK,49,27,22,1255,1904,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Aleksej Pokusevski,OKC,45,13,32,1090,1861,5,0,1,0.0,2,2,100.0,2,40.0,2,40.0,0,0.0,0,0.0,1,20.0
Alen Smailagic,GSW,15,10,5,84,139,3,0,0,0.0,0,0,0.0,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0
Alex Caruso,LAL,58,32,26,1216,2553,3,0,0,0.0,0,0,0.0,0,0.0,3,100.0,1,33.3,0,0.0,0,0.0
Alex Len,WAS,64,30,34,979,1403,35,7,12,58.3,6,8,75.0,20,57.1,13,37.1,1,2.9,5,14.3,4,11.4
Alfonzo McKinnie,LAL,39,22,17,258,314,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alize Johnson,BKN,18,10,8,189,288,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Amida Brimah,IND,5,2,3,29,46,4,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0
Amir Coffey,LAC,44,32,12,395,473,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anderson Varejao,CLE,5,1,4,36,79,5,1,4,25.0,1,2,50.0,3,60.0,0,0.0,0,0.0,0,0.0,1,20.0
Andre Drummond,LAL,46,19,27,1242,2439,294,56,138,40.6,26,46,56.5,144,49.0,89,30.3,17,5.8,29,9.9,23,7.8
Andre Iguodala,MIA,63,37,26,1339,2246,27,3,6,50.0,1,2,50.0,8,29.6,17,63.0,3,11.1,1,3.7,1,3.7
Andre Roberson,BKN,5,4,1,63,83,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andrew Wiggins,GSW,71,38,33,2364,3405,122,32,63,50.8,8,12,66.7,75,61.5,44,36.1,8,6.6,3,2.5,6,4.9
Anfernee Simons,POR,64,37,27,1104,1807,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Anthony Davis,LAL,36,23,13,1162,2219,332,76,149,51.0,29,38,76.3,184,55.4,130,39.2,28,8.4,18,5.4,19,5.7
Anthony Edwards,MIN,72,23,49,2314,3898,15,5,8,62.5,0,0,0.0,10,66.7,4,26.7,0,0.0,3,20.0,0,0.0
Anthony Gill,WAS,26,11,15,218,292,2,1,1,100.0,0,0,0.0,3,150.0,1,50.0,0,0.0,0,0.0,0,0.0
Anthony Lamb,HOU,24,3,21,415,622,8,0,1,0.0,3,4,75.0,3,37.5,4,50.0,0,0.0,1,12.5,2,25.0
Anthony Tolliver,PHI,11,7,4,99,94,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anzejs Pasecniks,WAS,1,1,0,6,20,3,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,2,66.7,0,0.0
