,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile
64191,,Damian Lillard,POR,67,19.1,331,366,1.11,,110,249,44.2,53.4,9.7,16.9,13.3,48.0,2021,iso,2.1,89.5
64192,,Julius Randle,NYK,71,22.7,393,354,0.9,,137,326,42.0,44.9,8.9,10.9,10.2,43.0,2021,iso,2.8,58.1
64193,,Russell Westbrook,WAS,65,24.0,415,325,0.78,,124,314,39.5,40.8,13.5,13.7,13.5,39.5,2021,iso,2.9,33.5
64194,,Luka Doncic,DAL,66,16.7,306,320,1.05,,114,246,46.3,55.5,10.8,11.1,8.8,45.8,2021,iso,2.3,80.2
64195,,James Harden,BKN,36,33.6,287,313,1.09,,97,223,43.5,53.1,9.4,15.3,14.6,46.0,2021,iso,2.4,87.5
64196,,Giannis Antetokounmpo,MIL,62,17.8,277,297,1.07,,104,212,49.1,53.3,8.7,18.1,14.8,51.6,2021,iso,3.2,85.1
64197,,Kyrie Irving,BKN,54,17.6,231,257,1.11,,105,208,50.5,55.8,5.2,7.8,6.1,50.2,2021,iso,3.0,90.3
64198,,Jayson Tatum,BOS,64,18.6,303,248,0.82,,89,262,34.0,40.5,7.9,6.6,5.6,34.7,2021,iso,1.0,41.5
64199,,DeMar DeRozan,SAS,61,15.2,185,221,1.2,,81,148,54.7,55.1,5.9,21.1,20.0,57.8,2021,iso,7.0,95.6
64200,,Paul George,LAC,54,14.7,180,193,1.07,,70,149,47.0,55.0,8.3,9.4,7.8,47.8,2021,iso,0.6,85.5
64201,,John Wall,HOU,40,22.9,219,193,0.88,,70,178,39.3,43.0,8.7,11.9,11.0,41.6,2021,iso,1.8,55.2
64202,,Kawhi Leonard,LAC,52,17.0,193,182,0.94,,67,159,42.1,44.3,6.2,12.4,9.8,46.1,2021,iso,1.0,64.9
64203,,Chris Paul,PHX,70,15.6,172,181,1.05,,71,158,44.9,51.6,3.5,4.7,4.1,45.9,2021,iso,0.0,81.0
64204,,Carmelo Anthony,POR,69,19.4,176,181,1.03,,63,145,43.4,47.2,5.1,15.3,15.3,47.7,2021,iso,2.8,78.2
64205,,Devin Booker,PHX,67,12.7,209,177,0.85,,65,160,40.6,42.2,11.5,13.9,13.9,42.6,2021,iso,2.4,48.0
64206,,,OKC,35,22.7,175,172,0.98,,60,139,43.2,47.8,9.7,12.6,12.0,44.6,2021,iso,2.3,71.8
64207,,Pascal Siakam,TOR,56,15.1,184,172,0.94,,66,146,45.2,45.5,9.2,15.2,13.6,47.3,2021,iso,3.8,62.5
64208,,Joel Embiid,PHI,51,12.3,160,170,1.06,,66,125,52.8,54.0,10.6,15.6,13.8,52.5,2021,iso,4.4,82.7
64209,,Anthony Edwards,MIN,72,11.9,176,170,0.97,,55,144,38.2,48.3,8.0,13.1,12.5,40.9,2021,iso,2.8,69.4
64210,,Khris Middleton,MIL,68,13.3,178,170,0.95,,64,151,42.4,48.0,7.3,9.0,7.9,43.3,2021,iso,1.7,66.9
64211,,LeBron James,LAL,45,18.1,197,166,0.84,,65,168,38.7,45.2,10.2,8.1,8.1,36.5,2021,iso,3.6,46.0
64212,,Zion Williamson,NOP,61,10.9,156,161,1.03,,57,99,57.6,57.6,14.7,24.4,23.1,56.4,2021,iso,2.6,78.6
64213,,Zach LaVine,CHI,58,9.6,138,157,1.14,,60,120,50.0,57.1,6.5,9.4,9.4,49.3,2021,iso,2.9,91.9
64214,,Donovan Mitchell,UTA,53,11.4,156,157,1.01,,56,132,42.4,49.2,7.1,10.9,9.0,44.2,2021,iso,2.6,76.6
64215,,CJ McCollum,POR,47,14.2,142,155,1.09,,61,130,46.9,53.5,3.5,10.6,9.9,46.5,2021,iso,5.6,88.7
64216,,Brandon Ingram,NOP,61,12.3,170,153,0.9,,52,131,39.7,41.6,10.0,16.5,15.9,42.9,2021,iso,4.1,57.5
64217,,De'Aaron Fox,SAC,58,11.6,170,147,0.86,,53,138,38.4,40.6,5.9,15.9,15.9,43.5,2021,iso,3.5,51.6
64218,,Bradley Beal,WAS,60,8.8,154,145,0.94,,57,128,44.5,47.3,10.4,10.4,9.1,43.5,2021,iso,3.9,64.5
64219,,Andrew Wiggins,GSW,71,10.5,135,140,1.04,,54,113,47.8,52.2,8.1,11.9,11.9,48.1,2021,iso,3.7,79.4
64220,,Kevin Durant,BKN,35,14.1,116,137,1.18,,46,88,52.3,60.8,12.9,15.5,12.9,50.9,2021,iso,4.3,94.0
64221,,Trae Young,ATL,64,7.8,125,133,1.06,,42,95,44.2,50.0,8.0,19.2,17.6,48.8,2021,iso,3.2,83.1
