PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
Jonas Valanciunas,NOP,31,23,22,40.4,56,88,63.6,63.6,40.4,56,88,63.6,0.0,0,0,-
Rudy Gobert,MIN,31,20,20,53.7,55,88,62.5,62.5,53.7,55,88,62.5,0.0,0,0,-
John Collins,UTA,26,21,21,36.8,45,88,51.1,51.1,36.8,45,88,51.1,0.0,0,0,-
Bennedict Mathurin,IND,21,20,19,39.9,46,87,52.9,53.4,37.6,45,82,54.9,2.3,1,5,20.0
Lauri Markkanen,UTA,26,15,15,34.1,44,86,51.2,52.9,28.2,41,71,57.7,6.0,3,15,20.0
Jeremy Sochan,SAS,20,20,19,43.4,33,86,38.4,39.5,41.9,31,83,37.3,1.5,2,3,66.7
Domantas Sabonis,SAC,27,18,18,38.3,50,85,58.8,58.8,38.3,50,85,58.8,0.0,0,0,-
Ausar Thompson,DET,20,21,20,42.7,47,85,55.3,55.3,42.7,47,85,55.3,0.0,0,0,-
Spencer Dinwiddie,BKN,30,19,18,37.8,36,84,42.9,47.6,24.8,28,55,50.9,13.1,8,29,27.6
Bruce Brown,IND,27,20,20,42.7,45,82,54.9,56.7,39.1,42,75,56.0,3.6,3,7,42.9
Reggie Jackson,DEN,33,20,17,39.0,45,82,54.9,57.9,34.8,40,73,54.8,4.3,5,9,55.6
Andrew Wiggins,GSW,28,17,17,41.8,37,82,45.1,45.7,39.3,36,77,46.8,2.6,1,5,20.0
Mark Williams,CHA,21,18,17,55.1,56,81,69.1,69.1,55.1,56,81,69.1,0.0,0,0,-
Cole Anthony,ORL,23,20,20,35.5,44,81,54.3,55.6,32.9,42,75,56.0,2.6,2,6,33.3
Shaedon Sharpe,POR,20,19,19,28.2,43,81,53.1,54.9,26.8,40,77,51.9,1.4,3,4,75.0
Jalen Duren,DET,20,14,14,63.2,54,79,68.4,68.4,63.2,54,79,68.4,0.0,0,0,-
Ivica Zubac,LAC,26,20,19,50.3,50,79,63.3,63.3,50.3,50,79,63.3,0.0,0,0,-
Russell Westbrook,LAC,35,20,20,36.7,38,79,48.1,48.1,36.7,38,79,48.1,0.0,0,0,-
Deandre Ayton,POR,25,17,16,46.2,46,78,59.0,59.0,46.2,46,78,59.0,0.0,0,0,-
Jalen Williams,OKC,22,16,16,37.4,44,77,57.1,57.1,37.4,44,77,57.1,0.0,0,0,-
Terry Rozier,CHA,29,10,10,40.5,40,77,51.9,53.9,33.7,37,64,57.8,6.8,3,13,23.1
Chet Holmgren,OKC,21,19,18,33.6,45,76,59.2,60.5,31.9,43,72,59.7,1.8,2,4,50.0
Tim Hardaway Jr.,DAL,31,17,15,34.1,30,75,40.0,47.3,17.3,19,38,50.0,16.8,11,37,29.7
Brandon Miller,CHA,21,17,17,36.4,28,75,37.3,37.3,34.5,28,71,39.4,1.9,0,4,0.0
Tyus Jones,WAS,27,20,18,39.2,42,74,56.8,57.4,37.6,41,71,57.7,1.6,1,3,33.3
Aaron Gordon,DEN,28,16,16,41.1,41,74,55.4,55.4,40.6,41,73,56.2,0.6,0,1,0.0
Gordon Hayward,CHA,33,18,17,32.0,39,73,53.4,54.8,30.3,37,69,53.6,1.8,2,4,50.0
De'Andre Hunter,ATL,26,19,17,35.4,33,73,45.2,46.6,28.6,31,59,52.5,6.8,2,14,14.3
Jakob Poeltl,TOR,28,20,20,50.4,55,71,77.5,77.5,50.4,55,71,77.5,0.0,0,0,-
Clint Capela,ATL,29,19,19,46.1,43,71,60.6,60.6,46.1,43,71,60.6,0.0,0,0,-
Naz Reid,MIN,24,20,20,37.2,39,71,54.9,54.9,34.0,39,65,60.0,3.1,0,6,0.0
Collin Sexton,UTA,24,21,21,36.5,35,70,50.0,50.0,34.9,35,67,52.2,1.6,0,3,0.0
Caris LeVert,CLE,29,16,16,32.4,38,69,55.1,56.5,30.0,36,64,56.3,2.3,2,5,40.0
Fred VanVleet,HOU,29,17,17,28.6,24,69,34.8,38.4,21.2,19,51,37.3,7.5,5,18,27.8
Deni Avdija,WAS,22,20,19,37.6,38,68,55.9,55.9,37.0,38,67,56.7,0.6,0,1,0.0
Jaime Jaquez Jr.,MIA,22,21,19,34.7,35,68,51.5,51.5,33.7,35,66,53.0,1.0,0,2,0.0
Immanuel Quickley,NYK,24,20,20,28.9,30,68,44.1,44.9,26.0,29,61,47.5,3.0,1,7,14.3
Malcolm Brogdon,POR,30,14,14,31.2,28,68,41.2,41.2,29.8,28,65,43.1,1.4,0,3,0.0
Kristaps Porzingis,BOS,28,15,15,37.4,45,67,67.2,67.2,35.8,45,64,70.3,1.7,0,3,0.0
Jusuf Nurkic,PHX,29,21,20,34.7,40,67,59.7,59.7,34.7,40,67,59.7,0.0,0,0,-
Khris Middleton,MIL,32,18,18,37.0,36,67,53.7,56.7,31.5,32,57,56.1,5.5,4,10,40.0
P.J. Washington,CHA,25,18,16,29.5,27,67,40.3,41.0,26.0,26,59,44.1,3.5,1,8,12.5
Jabari Smith Jr.,HOU,20,18,18,36.3,39,66,59.1,62.1,30.2,35,55,63.6,6.0,4,11,36.4
Coby White,CHI,23,21,20,24.5,30,65,46.2,47.7,22.3,28,59,47.5,2.3,2,6,33.3
Marvin Bagley III,DET,24,19,18,50.4,41,64,64.1,64.1,50.4,41,64,64.1,0.0,0,0,-
Christian Braun,DEN,22,20,20,43.0,33,64,51.6,51.6,43.0,33,64,51.6,0.0,0,0,-
Kentavious Caldwell-Pope,DEN,30,20,17,37.6,28,64,43.8,46.1,34.7,25,59,42.4,2.9,3,5,60.0
Tyler Herro,MIA,23,8,8,42.1,26,64,40.6,43.8,34.2,22,52,42.3,7.9,4,12,33.3
Talen Horton-Tucker,UTA,23,21,20,33.5,25,64,39.1,40.6,31.4,23,60,38.3,2.1,2,4,50.0
Moritz Wagner,ORL,26,20,19,40.4,49,63,77.8,77.8,40.4,49,63,77.8,0.0,0,0,-
Buddy Hield,IND,30,20,20,28.8,35,63,55.6,61.1,20.5,28,45,62.2,8.2,7,18,38.9
Norman Powell,LAC,30,20,18,37.1,30,63,47.6,50.0,30.6,27,52,51.9,6.5,3,11,27.3
Obi Toppin,IND,25,20,19,36.7,48,62,77.4,77.4,35.5,48,60,80.0,1.2,0,2,0.0
Daniel Gafford,WAS,25,18,16,56.4,47,62,75.8,75.8,56.4,47,62,75.8,0.0,0,0,-
Brook Lopez,MIL,35,22,20,27.2,39,61,63.9,65.6,24.1,37,54,68.5,3.1,2,7,28.6
Dillon Brooks,HOU,27,18,17,32.8,32,61,52.5,52.5,31.2,32,58,55.2,1.6,0,3,0.0
Jarrett Allen,CLE,25,16,15,48.8,43,60,71.7,71.7,48.8,43,60,71.7,0.0,0,0,-
Killian Hayes,DET,22,20,18,33.1,29,60,48.3,48.3,33.1,29,60,48.3,0.0,0,0,-
Zach Collins,SAS,26,20,19,26.9,39,59,66.1,66.9,26.0,38,57,66.7,0.9,1,2,50.0
Bobby Portis,MIL,28,22,21,28.1,36,59,61.0,61.0,27.6,36,58,62.1,0.5,0,1,0.0
Jonathan Kuminga,GSW,21,18,18,39.9,32,59,54.2,54.2,38.5,32,57,56.1,1.4,0,2,0.0
Dyson Daniels,NOP,20,23,21,38.1,30,59,50.8,51.7,37.4,29,58,50.0,0.6,1,1,100
Isaiah Stewart,DET,22,21,19,31.6,29,59,49.2,50.0,31.0,28,58,48.3,0.5,1,1,100
Keyonte George,UTA,20,21,21,29.4,26,59,44.1,46.6,25.9,23,52,44.2,3.5,3,7,42.9
Andre Drummond,CHI,30,21,21,60.4,32,58,55.2,55.2,60.4,32,58,55.2,0.0,0,0,-
