PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
Tyrese Haliburton,IND,23,14,14,36.7,41,88,46.6,66.5,4.6,6,11,54.5,32.1,35,77,45.5
Tyrese Maxey,PHI,23,16,16,27.6,38,88,43.2,61.9,3.8,5,12,41.7,23.8,33,76,43.4
LaMelo Ball,CHA,22,14,14,29.5,40,86,46.5,65.1,4.5,8,13,61.5,25.0,32,73,43.8
Trae Young,ATL,25,13,13,36.6,40,85,47.1,64.7,5.6,10,13,76.9,31.0,30,72,41.7
Eric Gordon,PHX,34,15,15,42.5,32,77,41.6,61.0,1.1,2,2,100,41.4,30,75,40.0
Buddy Hield,IND,30,15,15,44.2,34,73,46.6,68.5,1.8,2,3,66.7,42.4,32,70,45.7
Coby White,CHI,23,16,16,39.7,32,73,43.8,64.4,1.6,2,3,66.7,38.0,30,70,42.9
Grayson Allen,PHX,28,16,16,53.3,37,72,51.4,75.0,3.7,3,5,60.0,49.6,34,67,50.7
Dorian Finney-Smith,BKN,30,15,15,54.5,35,72,48.6,70.8,2.3,3,3,100,52.3,32,69,46.4
Royce O'Neale,BKN,30,15,14,68.6,28,72,38.9,58.3,1.9,0,2,0.0,66.7,28,70,40.0
Desmond Bane,MEM,25,15,15,24.3,32,71,45.1,59.2,5.5,12,16,75.0,18.8,20,55,36.4
Jordan Poole,WAS,24,15,15,28.5,31,69,44.9,61.6,5.4,8,13,61.5,23.1,23,56,41.1
Stephen Curry,GSW,35,14,14,25.5,34,68,50.0,69.9,3.4,7,9,77.8,22.1,27,59,45.8
Cade Cunningham,DET,22,16,16,21.3,30,68,44.1,63.2,2.8,4,9,44.4,18.4,26,59,44.1
Nikola Vucevic,CHI,33,16,16,28.5,21,68,30.9,41.2,5.9,7,14,50.0,22.6,14,54,25.9
Immanuel Quickley,NYK,24,15,15,36.8,27,67,40.3,57.5,6.0,4,11,36.4,30.8,23,56,41.1
Jaren Jackson Jr.,MEM,24,15,15,28.3,22,66,33.3,47.7,2.1,3,5,60.0,26.2,19,61,31.1
Zach Collins,SAS,26,16,16,36.8,19,64,29.7,42.2,5.2,3,9,33.3,31.6,16,55,29.1
Kyle Kuzma,WAS,28,16,16,20.8,35,63,55.6,71.4,5.3,15,16,93.8,15.5,20,47,42.6
Shaedon Sharpe,POR,20,14,14,30.5,22,61,36.1,49.2,7.0,6,14,42.9,23.5,16,47,34.0
Mike Conley,MIN,36,15,15,53.1,30,60,50.0,69.2,8.0,7,9,77.8,45.1,23,51,45.1
Scottie Barnes,TOR,22,15,15,25.9,25,59,42.4,57.6,3.9,7,9,77.8,21.9,18,50,36.0
Shai Gilgeous-Alexander,OKC,25,14,14,19.3,28,56,50.0,63.4,6.6,13,19,68.4,12.8,15,37,40.5
Dario Saric,GSW,29,15,14,44.1,26,56,46.4,67.9,1.6,2,2,100,42.5,24,54,44.4
Keegan Murray,SAC,23,12,11,38.1,18,56,32.1,45.5,3.4,3,5,60.0,34.7,15,51,29.4
Herbert Jones,NOP,25,14,13,51.4,22,55,40.0,54.5,10.3,6,11,54.5,41.1,16,44,36.4
Franz Wagner,ORL,22,15,15,21.8,21,55,38.2,56.4,1.2,1,3,33.3,20.6,20,52,38.5
Sam Hauser,BOS,25,16,15,50.0,32,54,59.3,87.0,2.8,2,3,66.7,47.2,30,51,58.8
D'Angelo Russell,LAL,27,17,17,23.8,29,54,53.7,72.2,4.0,9,9,100,19.8,20,45,44.4
Grant Williams,DAL,24,15,14,46.2,27,54,50.0,73.1,4.3,2,5,40.0,41.9,25,49,51.0
Karl-Anthony Towns,MIN,28,15,15,22.3,25,54,46.3,64.8,2.9,5,7,71.4,19.4,20,47,42.6
John Collins,UTA,26,16,16,30.3,23,54,42.6,59.3,5.6,5,10,50.0,24.7,18,44,40.9
Brook Lopez,MIL,35,16,16,34.0,22,54,40.7,55.6,6.3,6,10,60.0,27.7,16,44,36.4
Fred VanVleet,HOU,29,14,13,26.1,29,53,54.7,78.3,2.0,4,4,100,24.1,25,49,51.0
Austin Reaves,LAL,25,17,17,29.9,25,53,47.2,62.3,6.2,9,11,81.8,23.7,16,42,38.1
Malcolm Brogdon,POR,30,9,9,35.8,20,53,37.7,51.9,8.8,5,13,38.5,27.0,15,40,37.5
Derrick Jones Jr.,DAL,26,15,14,57.6,20,53,37.7,54.7,3.3,2,3,66.7,54.3,18,50,36.0
De'Anthony Melton,PHI,25,16,16,33.3,18,53,34.0,50.9,1.3,0,2,0.0,32.1,18,51,35.3
Anthony Edwards,MIN,22,15,14,16.9,26,52,50.0,61.5,7.1,14,22,63.6,9.7,12,30,40.0
Zach LaVine,CHI,28,15,15,20.2,22,52,42.3,54.8,6.2,9,16,56.3,14.0,13,36,36.1
Jrue Holiday,BOS,33,15,15,30.8,20,52,38.5,52.9,4.1,5,7,71.4,26.6,15,45,33.3
Dennis Schroder,TOR,30,15,15,26.0,18,52,34.6,48.1,3.5,4,7,57.1,22.5,14,45,31.1
Saddiq Bey,ATL,24,14,14,38.1,24,51,47.1,66.7,3.0,4,4,100,35.1,20,47,42.6
Cedi Osman,SAS,28,16,15,48.6,20,51,39.2,57.8,3.8,1,4,25.0,44.8,19,47,40.4
Myles Turner,IND,27,15,13,28.4,21,50,42.0,60.0,2.3,3,4,75.0,26.1,18,46,39.1
Corey Kispert,WAS,24,15,15,40.7,20,50,40.0,58.0,1.6,2,2,100,39.0,18,48,37.5
Kawhi Leonard,LAC,32,15,15,19.8,27,49,55.1,72.4,4.5,10,11,90.9,15.4,17,38,44.7
Jaime Jaquez Jr.,MIA,22,17,15,32.2,24,49,49.0,65.3,6.6,8,10,80.0,25.7,16,39,41.0
Alperen Sengun,HOU,21,14,14,23.4,22,49,44.9,54.1,9.1,13,19,68.4,14.4,9,30,30.0
Tim Hardaway Jr.,DAL,31,15,14,25.3,21,49,42.9,64.3,2.1,0,4,0.0,23.2,21,45,46.7
Chet Holmgren,OKC,21,15,14,28.5,20,49,40.8,59.2,2.9,2,5,40.0,25.6,18,44,40.9
Lauri Markkanen,UTA,26,15,14,19.0,23,48,47.9,69.8,2.0,2,5,40.0,17.1,21,43,48.8
Kevin Huerter,SAC,25,13,13,34.8,18,48,37.5,51.0,5.1,5,7,71.4,29.7,13,41,31.7
Keldon Johnson,SAS,24,15,14,22.6,21,47,44.7,62.8,2.9,4,6,66.7,19.7,17,41,41.5
Kristaps Porzingis,BOS,28,15,11,25.7,18,46,39.1,52.2,4.5,6,8,75.0,21.2,12,38,31.6
Cole Anthony,ORL,23,15,14,28.2,17,46,37.0,50.0,6.7,5,11,45.5,21.5,12,35,34.3
Dyson Daniels,NOP,20,17,16,35.1,14,46,30.4,42.4,3.1,3,4,75.0,32.1,11,42,26.2
Kyrie Irving,DAL,31,12,12,19.4,23,45,51.1,72.2,2.6,4,6,66.7,16.8,19,39,48.7
Joel Embiid,PHI,29,15,15,14.2,20,45,44.4,56.7,4.4,9,14,64.3,9.8,11,31,35.5
Deni Avdija,WAS,22,16,14,31.3,19,45,42.2,54.4,9.7,8,14,57.1,21.5,11,31,35.5
Jordan Hawkins,NOP,21,17,15,23.6,17,45,37.8,55.6,1.0,1,2,50.0,22.5,16,43,37.2
Pascal Siakam,TOR,29,15,15,19.9,14,45,31.1,42.2,3.5,4,8,50.0,16.4,10,37,27.0
Harrison Barnes,SAC,31,14,14,36.1,22,44,50.0,72.7,1.6,2,2,100,34.4,20,42,47.6
Josh Green,DAL,23,15,14,47.8,18,44,40.9,60.2,2.2,1,2,50.0,45.7,17,42,40.5
Jevon Carter,CHI,28,16,15,52.4,14,44,31.8,46.6,6.0,1,5,20.0,46.4,13,39,33.3
Malik Monk,SAC,25,14,13,30.3,19,43,44.2,65.1,1.4,1,2,50.0,28.9,18,41,43.9
